Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Marc Emery,Peter Fragiskatos,Stephen Gallant,Mary Ann Hodge,Dirka Prout,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35052,"London North Centre/London-Centre-Nord"," 14B","London",Merged with No./Fusionné avec le n°18B,,,,,,,186
35052,"London North Centre/London-Centre-Nord"," 15","London",7,72,60,8,32,1,180,622
35052,"London North Centre/London-Centre-Nord"," 16","London",14,50,20,3,22,1,110,606
35052,"London North Centre/London-Centre-Nord"," 17A","London",Merged with No./Fusionné avec le n°14A,,,,,,,196
35052,"London North Centre/London-Centre-Nord"," 17B","London",Merged with No./Fusionné avec le n°18B,,,,,,,187
35052,"London North Centre/London-Centre-Nord"," 18A","London",Merged with No./Fusionné avec le n°14A,,,,,,,235
35052,"London North Centre/London-Centre-Nord"," 18B","London",7,64,46,1,29,0,147,205
35052,"London North Centre/London-Centre-Nord"," 19","London",Merged with No./Fusionné avec le n°18B,,,,,,,436
35052,"London North Centre/London-Centre-Nord"," 20A","London",Merged with No./Fusionné avec le n°36A,,,,,,,262
35052,"London North Centre/London-Centre-Nord"," 20B","London",Merged with No./Fusionné avec le n°36B,,,,,,,213
35052,"London North Centre/London-Centre-Nord"," 21","London",5,65,38,6,38,2,154,508
35052,"London North Centre/London-Centre-Nord"," 22","London",12,40,28,5,57,0,142,478
35052,"London North Centre/London-Centre-Nord"," 23A","London",Merged with No./Fusionné avec le n°30A,,,,,,,216
35052,"London North Centre/London-Centre-Nord"," 23B","London",15,141,61,10,55,0,282,232
35052,"London North Centre/London-Centre-Nord"," 24A","London",Merged with No./Fusionné avec le n°30A,,,,,,,228
35052,"London North Centre/London-Centre-Nord"," 24B","London",Merged with No./Fusionné avec le n°23B,,,,,,,196
35052,"London North Centre/London-Centre-Nord"," 25A","London",Merged with No./Fusionné avec le n°144A,,,,,,,199
35052,"London North Centre/London-Centre-Nord"," 25B","London",Merged with No./Fusionné avec le n°26B,,,,,,,175
35052,"London North Centre/London-Centre-Nord"," 26A","London",Merged with No./Fusionné avec le n°144A,,,,,,,237
35052,"London North Centre/London-Centre-Nord"," 26B","London",12,44,16,2,49,1,124,187
35052,"London North Centre/London-Centre-Nord"," 27","London",7,84,60,7,61,0,219,458
35052,"London North Centre/London-Centre-Nord"," 28","London",16,77,42,4,56,0,195,460
35052,"London North Centre/London-Centre-Nord"," 29","London",9,54,54,4,44,0,165,479
35052,"London North Centre/London-Centre-Nord"," 30A","London",14,137,73,4,73,0,301,277
35052,"London North Centre/London-Centre-Nord"," 30B","London",Merged with No./Fusionné avec le n°23B,,,,,,,223
35052,"London North Centre/London-Centre-Nord"," 31","London",16,91,67,5,61,0,240,451
35052,"London North Centre/London-Centre-Nord"," 32A","London",Merged with No./Fusionné avec le n°34A,,,,,,,226
35052,"London North Centre/London-Centre-Nord"," 32B","London",11,70,65,0,47,0,193,201
35052,"London North Centre/London-Centre-Nord"," 33A","London",Merged with No./Fusionné avec le n°34A,,,,,,,218
35052,"London North Centre/London-Centre-Nord"," 33B","London",Merged with No./Fusionné avec le n°32B,,,,,,,174
35052,"London North Centre/London-Centre-Nord"," 34A","London",4,43,22,1,32,1,103,231
35052,"London North Centre/London-Centre-Nord"," 34B","London",Merged with No./Fusionné avec le n°32B,,,,,,,201
35052,"London North Centre/London-Centre-Nord"," 35A","London",Merged with No./Fusionné avec le n°36A,,,,,,,187
35052,"London North Centre/London-Centre-Nord"," 35B","London",Merged with No./Fusionné avec le n°36B,,,,,,,185
35052,"London North Centre/London-Centre-Nord"," 36A","London",7,40,45,0,28,0,120,211
35052,"London North Centre/London-Centre-Nord"," 36B","London",5,42,40,2,31,0,120,192
35052,"London North Centre/London-Centre-Nord"," 37A","London",Merged with No./Fusionné avec le n°36A,,,,,,,173
35052,"London North Centre/London-Centre-Nord"," 37B","London",Merged with No./Fusionné avec le n°36B,,,,,,,184
35052,"London North Centre/London-Centre-Nord"," 38","London",Merged with No./Fusionné avec le n°43,,,,,,,263
35052,"London North Centre/London-Centre-Nord"," 39A","London",Merged with No./Fusionné avec le n°41A,,,,,,,187
