Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Kyle Free,Mohamed Hammoud,Lindsay Mathyssen,Mattias Vanderley,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35051,"London--Fanshawe/London--Fanshawe"," 73","London",12,28,60,36,2,138,367
35051,"London--Fanshawe/London--Fanshawe"," 74","London",29,38,111,38,3,219,480
35051,"London--Fanshawe/London--Fanshawe"," 75","London",12,20,82,37,1,152,479
35051,"London--Fanshawe/London--Fanshawe"," 76","London",12,35,64,38,0,149,440
35051,"London--Fanshawe/London--Fanshawe"," 77","London",11,28,71,63,0,173,426
35051,"London--Fanshawe/London--Fanshawe"," 78","London",20,42,93,68,0,223,405
35051,"London--Fanshawe/London--Fanshawe"," 79","London",30,57,87,75,0,249,471
35051,"London--Fanshawe/London--Fanshawe"," 80","London",26,47,98,52,0,223,473
35051,"London--Fanshawe/London--Fanshawe"," 81","London",18,40,113,45,2,218,475
35051,"London--Fanshawe/London--Fanshawe"," 82","London",12,42,82,35,1,172,363
35051,"London--Fanshawe/London--Fanshawe"," 83","London",23,29,91,32,2,177,399
35051,"London--Fanshawe/London--Fanshawe"," 84","London",21,28,65,28,3,145,342
35051,"London--Fanshawe/London--Fanshawe"," 85","London",13,18,67,23,4,125,372
35051,"London--Fanshawe/London--Fanshawe"," 86","London",11,30,72,21,1,135,399
35051,"London--Fanshawe/London--Fanshawe"," 87","London",15,30,88,42,1,176,492
35051,"London--Fanshawe/London--Fanshawe"," 88","London",17,36,81,34,2,170,472
35051,"London--Fanshawe/London--Fanshawe"," 89","London",20,25,71,31,0,147,380
35051,"London--Fanshawe/London--Fanshawe"," 90","London",19,21,70,32,1,143,393
35051,"London--Fanshawe/London--Fanshawe"," 91","London",18,40,86,29,1,174,513
35051,"London--Fanshawe/London--Fanshawe"," 92","London",13,36,56,33,5,143,394
35051,"London--Fanshawe/London--Fanshawe"," 93","London",16,37,67,40,2,162,391
35051,"London--Fanshawe/London--Fanshawe"," 94","London",32,39,96,57,3,227,520
35051,"London--Fanshawe/London--Fanshawe"," 95","London",31,36,63,51,1,182,488
35051,"London--Fanshawe/London--Fanshawe"," 96","London",27,28,90,40,4,189,525
35051,"London--Fanshawe/London--Fanshawe"," 97","London",10,28,71,48,3,160,384
35051,"London--Fanshawe/London--Fanshawe"," 98","London",9,20,67,27,1,124,459
35051,"London--Fanshawe/London--Fanshawe"," 99","London",19,29,65,36,1,150,514
35051,"London--Fanshawe/London--Fanshawe"," 100","London",18,17,47,20,1,103,355
35051,"London--Fanshawe/London--Fanshawe"," 101","London",11,30,55,35,0,131,473
35051,"London--Fanshawe/London--Fanshawe"," 102","London",21,37,80,32,0,170,435
35051,"London--Fanshawe/London--Fanshawe"," 103","London",16,35,55,25,1,132,382
35051,"London--Fanshawe/London--Fanshawe"," 104","London",15,31,107,43,0,196,487
35051,"London--Fanshawe/London--Fanshawe"," 105","London",22,26,75,34,0,157,400
35051,"London--Fanshawe/London--Fanshawe"," 106","London",29,18,81,39,2,169,436
35051,"London--Fanshawe/London--Fanshawe"," 107","London",27,44,53,33,5,162,388
35051,"London--Fanshawe/London--Fanshawe"," 108","London",14,38,64,23,10,149,475
35051,"London--Fanshawe/London--Fanshawe"," 109","London",5,24,62,50,2,143,372
35051,"London--Fanshawe/London--Fanshawe"," 110","London",16,20,70,31,2,139,399
35051,"London--Fanshawe/London--Fanshawe"," 111","London",22,48,66,36,4,176,530
35051,"London--Fanshawe/London--Fanshawe"," 112","London",15,22,60,18,1,116,469
35051,"London--Fanshawe/London--Fanshawe"," 113","London",18,17,59,22,0,116,364
35051,"London--Fanshawe/London--Fanshawe"," 114","London",11,35,58,27,0,131,434
35051,"London--Fanshawe/London--Fanshawe"," 115","London",10,26,81,39,0,156,437
35051,"London--Fanshawe/London--Fanshawe"," 116","London",24,41,76,35,0,176,531
35051,"London--Fanshawe/London--Fanshawe"," 117","London",15,35,81,55,2,188,529
35051,"London--Fanshawe/London--Fanshawe"," 118","London",12,40,73,26,2,153,441
35051,"London--Fanshawe/London--Fanshawe"," 119","London",24,98,83,60,1,266,645
35051,"London--Fanshawe/London--Fanshawe"," 120","London",10,34,43,49,0,136,449
35051,"London--Fanshawe/London--Fanshawe"," 121","London",20,60,92,97,1,270,674
35051,"London--Fanshawe/London--Fanshawe"," 122","London",5,42,76,24,1,148,404
35051,"London--Fanshawe/London--Fanshawe"," 123","London",21,36,87,62,2,208,499
35051,"London--Fanshawe/London--Fanshawe"," 124","London",19,45,54,27,0,145,493
35051,"London--Fanshawe/London--Fanshawe"," 125","London",9,41,86,33,0,169,423
35051,"London--Fanshawe/London--Fanshawe"," 126","London",10,29,43,37,0,119,386
35051,"London--Fanshawe/London--Fanshawe"," 127","London",20,54,68,37,3,182,460
35051,"London--Fanshawe/London--Fanshawe"," 128","London",12,37,84,43,4,180,456
35051,"London--Fanshawe/London--Fanshawe"," 129","London",12,26,61,30,2,131,472
35051,"London--Fanshawe/London--Fanshawe"," 130","London",17,53,100,55,4,229,481
35051,"London--Fanshawe/London--Fanshawe"," 131","London",16,74,92,53,2,237,497
35051,"London--Fanshawe/London--Fanshawe"," 132","London",26,82,157,110,8,383,959
35051,"London--Fanshawe/London--Fanshawe"," 133","London",13,42,74,38,0,167,405
35051,"London--Fanshawe/London--Fanshawe"," 134","London",25,48,103,37,0,213,441
35051,"London--Fanshawe/London--Fanshawe"," 135","London",6,25,66,36,0,133,472
35051,"London--Fanshawe/London--Fanshawe"," 136","London",14,24,47,32,4,121,341
35051,"London--Fanshawe/London--Fanshawe"," 137","London",5,20,38,17,0,80,273
35051,"London--Fanshawe/London--Fanshawe"," 138","London",21,27,49,25,2,124,417
35051,"London--Fanshawe/London--Fanshawe"," 139","London",17,37,69,35,1,159,370
35051,"London--Fanshawe/London--Fanshawe"," 140","London",19,45,77,30,1,172,519
35051,"London--Fanshawe/London--Fanshawe"," 141","London",16,34,65,40,2,157,440
35051,"London--Fanshawe/London--Fanshawe"," 142","London",22,34,81,42,5,184,373
35051,"London--Fanshawe/London--Fanshawe"," 143","London",7,30,35,17,1,90,207
35051,"London--Fanshawe/London--Fanshawe"," 144","London",19,42,137,41,7,246,527
35051,"London--Fanshawe/London--Fanshawe"," 145","London",13,34,86,49,2,184,409
35051,"London--Fanshawe/London--Fanshawe"," 146","London",16,60,94,35,4,209,540
35051,"London--Fanshawe/London--Fanshawe"," 147","London",6,51,53,33,1,144,346
35051,"London--Fanshawe/London--Fanshawe"," 148","London",16,41,64,32,1,154,388
35051,"London--Fanshawe/London--Fanshawe"," 149","London",12,25,39,37,5,118,346
35051,"London--Fanshawe/London--Fanshawe"," 150","London",14,59,98,54,1,226,516
35051,"London--Fanshawe/London--Fanshawe"," 151","London",22,75,79,42,4,222,554
35051,"London--Fanshawe/London--Fanshawe"," 152","London",7,49,66,48,0,170,388
35051,"London--Fanshawe/London--Fanshawe"," 153","London",13,34,73,25,2,147,487
35051,"London--Fanshawe/London--Fanshawe"," 154","London",12,39,38,40,1,130,331
35051,"London--Fanshawe/London--Fanshawe"," 155","London",17,40,81,47,1,186,500
35051,"London--Fanshawe/London--Fanshawe"," 156","London",13,26,67,28,3,137,333
35051,"London--Fanshawe/London--Fanshawe"," 157","London",19,49,56,35,1,160,427
35051,"London--Fanshawe/London--Fanshawe"," 158","London",11,35,64,43,1,154,417
35051,"London--Fanshawe/London--Fanshawe"," 159","London",15,35,56,24,2,132,424
35051,"London--Fanshawe/London--Fanshawe"," 160","London",12,28,25,57,1,123,288
35051,"London--Fanshawe/London--Fanshawe"," 161","London",12,33,78,50,0,173,422
35051,"London--Fanshawe/London--Fanshawe"," 162","London",18,41,83,48,1,191,471
35051,"London--Fanshawe/London--Fanshawe"," 163","London",14,42,57,30,0,143,388
35051,"London--Fanshawe/London--Fanshawe"," 164","London",18,57,61,49,1,186,486
35051,"London--Fanshawe/London--Fanshawe"," 165","London",13,61,59,59,0,192,474
35051,"London--Fanshawe/London--Fanshawe"," 166","London",7,65,60,64,1,197,456
35051,"London--Fanshawe/London--Fanshawe"," 167","London",6,40,76,32,2,156,461
35051,"London--Fanshawe/London--Fanshawe"," 168","London",13,29,65,30,0,137,396
35051,"London--Fanshawe/London--Fanshawe"," 169","London",20,57,75,66,0,218,521
35051,"London--Fanshawe/London--Fanshawe"," 170","London",7,59,89,51,3,209,505
35051,"London--Fanshawe/London--Fanshawe"," 171","London",7,34,83,54,1,179,407
35051,"London--Fanshawe/London--Fanshawe"," 172","London",13,43,70,53,1,180,429
35051,"London--Fanshawe/London--Fanshawe"," 173","London",16,56,69,51,2,194,460
35051,"London--Fanshawe/London--Fanshawe"," 174","London",20,32,68,35,2,157,563
35051,"London--Fanshawe/London--Fanshawe"," 175","London",9,43,69,20,1,142,426
35051,"London--Fanshawe/London--Fanshawe"," 176","London",6,50,54,39,1,150,455
35051,"London--Fanshawe/London--Fanshawe"," 177","London",9,44,54,22,4,133,498
35051,"London--Fanshawe/London--Fanshawe"," 178","London",13,61,46,17,3,140,455
35051,"London--Fanshawe/London--Fanshawe"," 179","London",12,18,66,27,2,125,391
35051,"London--Fanshawe/London--Fanshawe"," 180","London",12,38,84,46,0,180,406
35051,"London--Fanshawe/London--Fanshawe"," 181","London",16,41,84,36,0,177,468
