Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ann Francis,Jonathan Gray,Milan Kona-Mancini,Afia Lassy,Rémi Lebeuf,Francis Scarpaleggia,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24036,"Lac-Saint-Louis/Lac-Saint-Louis"," 1","Pointe-Claire",24,34,11,6,6,93,1,175,488
24036,"Lac-Saint-Louis/Lac-Saint-Louis"," 2","Pointe-Claire",21,26,0,9,4,86,2,148,386
24036,"Lac-Saint-Louis/Lac-Saint-Louis"," 3","Pointe-Claire",42,26,5,6,4,74,3,160,351
24036,"Lac-Saint-Louis/Lac-Saint-Louis"," 4","Pointe-Claire",43,34,8,14,8,140,3,250,635
24036,"Lac-Saint-Louis/Lac-Saint-Louis"," 5","Pointe-Claire",28,17,4,5,8,102,1,165,425
24036,"Lac-Saint-Louis/Lac-Saint-Louis"," 6","Pointe-Claire",21,31,4,13,9,93,0,171,409
24036,"Lac-Saint-Louis/Lac-Saint-Louis"," 7","Pointe-Claire",43,38,7,10,13,108,3,222,473
24036,"Lac-Saint-Louis/Lac-Saint-Louis"," 8","Montréal",23,15,3,11,28,59,2,141,462
24036,"Lac-Saint-Louis/Lac-Saint-Louis"," 9","Montréal",21,25,2,8,16,77,2,151,450
24036,"Lac-Saint-Louis/Lac-Saint-Louis"," 10","Montréal",19,16,5,15,16,55,2,128,496
24036,"Lac-Saint-Louis/Lac-Saint-Louis"," 11","Montréal",22,25,6,11,17,116,1,198,423
24036,"Lac-Saint-Louis/Lac-Saint-Louis"," 12","Montréal",20,13,4,7,5,70,6,125,362
24036,"Lac-Saint-Louis/Lac-Saint-Louis"," 13","Montréal",28,30,9,13,22,96,6,204,404
24036,"Lac-Saint-Louis/Lac-Saint-Louis"," 14","Montréal",40,14,4,2,5,81,8,154,384
24036,"Lac-Saint-Louis/Lac-Saint-Louis"," 15","Montréal",26,21,2,8,10,74,1,142,333
24036,"Lac-Saint-Louis/Lac-Saint-Louis"," 16","Pointe-Claire",13,10,3,1,4,54,1,86,522
24036,"Lac-Saint-Louis/Lac-Saint-Louis"," 17","Pointe-Claire",65,60,6,10,18,119,1,279,508
24036,"Lac-Saint-Louis/Lac-Saint-Louis"," 18","Pointe-Claire",42,27,6,8,6,106,2,197,610
24036,"Lac-Saint-Louis/Lac-Saint-Louis"," 19","Pointe-Claire",46,44,6,3,8,117,2,226,462
24036,"Lac-Saint-Louis/Lac-Saint-Louis"," 20","Kirkland",33,17,3,3,1,70,0,127,383
24036,"Lac-Saint-Louis/Lac-Saint-Louis"," 21","Pointe-Claire",38,42,12,6,14,147,5,264,583
24036,"Lac-Saint-Louis/Lac-Saint-Louis"," 22","Pointe-Claire",27,39,6,6,10,78,1,167,370
24036,"Lac-Saint-Louis/Lac-Saint-Louis"," 23","Pointe-Claire",29,37,16,3,12,144,2,243,525
24036,"Lac-Saint-Louis/Lac-Saint-Louis"," 24","Pointe-Claire",25,30,8,13,6,91,2,175,379
24036,"Lac-Saint-Louis/Lac-Saint-Louis"," 25","Pointe-Claire",37,42,11,13,5,136,0,244,616
24036,"Lac-Saint-Louis/Lac-Saint-Louis"," 26","Pointe-Claire",21,44,9,8,13,100,2,197,425
24036,"Lac-Saint-Louis/Lac-Saint-Louis"," 27","Pointe-Claire",26,53,10,7,5,85,3,189,431
24036,"Lac-Saint-Louis/Lac-Saint-Louis"," 28","Pointe-Claire",24,34,4,5,13,77,0,157,404
24036,"Lac-Saint-Louis/Lac-Saint-Louis"," 29","Pointe-Claire",24,53,8,9,8,111,3,216,449
24036,"Lac-Saint-Louis/Lac-Saint-Louis"," 30","Pointe-Claire",30,24,6,4,12,66,0,142,341
24036,"Lac-Saint-Louis/Lac-Saint-Louis"," 31","Pointe-Claire",33,27,6,7,16,111,0,200,452
24036,"Lac-Saint-Louis/Lac-Saint-Louis"," 32","Pointe-Claire",18,39,4,8,8,76,1,154,363
24036,"Lac-Saint-Louis/Lac-Saint-Louis"," 33","Montréal",12,19,2,4,12,58,2,109,352
24036,"Lac-Saint-Louis/Lac-Saint-Louis"," 34","Montréal",31,21,1,7,9,69,0,138,383
24036,"Lac-Saint-Louis/Lac-Saint-Louis"," 35","Montréal",23,18,2,2,3,92,0,140,371
24036,"Lac-Saint-Louis/Lac-Saint-Louis"," 36","Montréal",25,28,3,3,5,80,0,144,521
24036,"Lac-Saint-Louis/Lac-Saint-Louis"," 37","Montréal",32,25,5,6,9,95,3,175,409
24036,"Lac-Saint-Louis/Lac-Saint-Louis"," 38","Montréal",31,22,6,2,9,110,1,181,460
24036,"Lac-Saint-Louis/Lac-Saint-Louis"," 39","Montréal",45,27,7,10,9,77,2,177,420
24036,"Lac-Saint-Louis/Lac-Saint-Louis"," 40","Montréal",21,28,5,10,10,90,3,167,392
24036,"Lac-Saint-Louis/Lac-Saint-Louis"," 41","Pointe-Claire",28,35,3,6,5,68,0,145,377
24036,"Lac-Saint-Louis/Lac-Saint-Louis"," 42","Pointe-Claire",21,38,9,5,10,68,0,151,361
24036,"Lac-Saint-Louis/Lac-Saint-Louis"," 43","Pointe-Claire",19,24,11,6,7,72,2,141,366
24036,"Lac-Saint-Louis/Lac-Saint-Louis"," 44","Pointe-Claire",35,34,3,5,8,81,1,167,416
24036,"Lac-Saint-Louis/Lac-Saint-Louis"," 45","Pointe-Claire",25,46,7,5,5,93,2,183,389
24036,"Lac-Saint-Louis/Lac-Saint-Louis"," 46","Pointe-Claire",25,35,3,2,7,74,0,146,322
24036,"Lac-Saint-Louis/Lac-Saint-Louis"," 47","Pointe-Claire",25,20,8,2,2,65,2,124,353
24036,"Lac-Saint-Louis/Lac-Saint-Louis"," 48","Pointe-Claire",20,21,6,6,3,63,0,119,446
24036,"Lac-Saint-Louis/Lac-Saint-Louis"," 49","Montréal",32,19,4,10,9,66,2,142,445
24036,"Lac-Saint-Louis/Lac-Saint-Louis"," 50","Montréal",21,21,4,3,4,60,1,114,373
24036,"Lac-Saint-Louis/Lac-Saint-Louis"," 51","Montréal",22,28,5,9,7,83,3,157,453
24036,"Lac-Saint-Louis/Lac-Saint-Louis"," 52","Montréal",20,17,1,4,8,66,3,119,348
24036,"Lac-Saint-Louis/Lac-Saint-Louis"," 53","Montréal",43,27,3,5,11,96,1,186,466
24036,"Lac-Saint-Louis/Lac-Saint-Louis"," 54","Montréal",20,19,4,8,7,84,2,144,365
