Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Indira Bains,Sean Carson,Anna Di Carlo,Afam Elue,Sasha Kane,James Maloney,Bill McLachlan,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 435","Toronto",57,0,0,2,44,83,13,3,202,430
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 436","Toronto",57,0,1,4,31,82,8,0,183,399
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 437","Toronto",65,1,1,5,26,99,12,0,209,435
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 438","Toronto",53,0,1,4,8,95,7,1,169,352
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 439","Toronto",49,0,0,3,16,103,6,0,177,354
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 440","Toronto",54,2,0,4,50,88,10,0,208,360
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 441","Toronto",25,2,0,3,18,80,6,0,134,255
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 442","Toronto",40,0,0,4,33,86,6,3,172,294
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 443","Toronto",43,0,0,4,25,74,11,1,158,312
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 444","Toronto",70,0,2,4,26,92,9,1,204,367
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 445","Toronto",68,0,1,7,23,91,8,1,199,354
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 446","Toronto",37,0,0,2,25,62,7,2,135,235
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 500","Mobile poll/Bureau itinérant",11,1,0,0,1,20,0,0,33,75
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 501","Mobile poll/Bureau itinérant",4,0,0,1,0,4,0,0,9,40
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 502","Mobile poll/Bureau itinérant",13,0,0,1,4,50,0,1,69,109
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 503","Mobile poll/Bureau itinérant",21,0,0,0,0,3,0,1,25,60
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 504","Mobile poll/Bureau itinérant",32,0,1,0,7,64,1,4,109,165
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 505","Mobile poll/Bureau itinérant",16,0,1,0,3,23,1,0,44,78
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 506","Mobile poll/Bureau itinérant",4,0,1,0,2,3,0,2,12,21
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 507","Mobile poll/Bureau itinérant",19,0,0,3,9,33,4,2,70,146
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 508","Mobile poll/Bureau itinérant",18,0,0,1,8,27,2,3,59,192
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 509","Mobile poll/Bureau itinérant",6,0,0,0,5,10,1,2,24,94
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 510","Mobile poll/Bureau itinérant",18,0,0,0,3,1,25,3,50,81
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 511","Mobile poll/Bureau itinérant",3,0,0,0,1,4,0,0,8,68
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 512","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°505,,,,,,,,,63
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 600","Toronto",364,3,2,24,126,566,39,4,1128,
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 601","Toronto",123,1,0,7,83,263,34,1,512,
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 602","Toronto",487,0,2,16,63,554,17,1,1140,
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 603","Toronto",570,2,2,23,78,592,17,0,1284,
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 604","Toronto",309,0,0,14,64,449,11,2,849,
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 605","Toronto",281,3,2,10,71,401,43,0,811,
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 606","Toronto",100,0,0,3,49,169,27,1,349,
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 607","Toronto",241,0,1,7,89,405,33,2,778,
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 608","Toronto",687,5,0,50,190,833,109,6,1880,
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 609","Toronto",328,0,3,23,114,509,61,2,1040,
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 610","Toronto",248,0,2,10,67,362,40,0,729,
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 611","Toronto",366,2,2,26,144,589,52,8,1189,
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 612","Toronto",340,2,2,26,141,586,56,3,1156,
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 613","Toronto",440,2,3,15,148,563,60,10,1241,
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 614","Toronto",325,0,1,11,87,500,45,2,971,
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 615","Toronto",292,2,0,17,156,508,50,0,1025,
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 616","Toronto",126,1,0,8,109,333,40,0,617,
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 617","Toronto",372,5,9,52,250,828,64,3,1583,
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 618","Toronto",460,3,1,25,82,581,26,1,1179,
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 619","Toronto",230,3,0,7,85,355,28,2,710,
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 620","Toronto",234,3,1,10,64,406,30,6,754,
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 621","Toronto",325,2,2,30,147,435,33,0,974,
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 622","Toronto",210,4,8,6,141,371,28,3,771,
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore",,Group 1/Groupe 1, 188,3,1,18,140,352,25,31,758,394
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore",,Group 2/Groupe 2, 880,1,3,51,429,1800,50,82,3296,
