Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Indira Bains,Sean Carson,Anna Di Carlo,Afam Elue,Sasha Kane,James Maloney,Bill McLachlan,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 49","Toronto",47,0,0,3,11,55,1,2,119,378
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 50","Toronto",31,0,0,0,15,59,3,1,109,409
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 51","Toronto",97,2,0,8,33,104,10,1,255,703
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 52","Toronto",57,0,1,3,28,108,3,0,200,364
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 53","Toronto",53,1,2,5,23,62,13,2,161,460
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 54","Toronto",43,1,0,0,9,41,3,2,99,404
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 55","Toronto",37,0,0,3,15,61,8,0,124,375
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 56","Toronto",70,0,2,2,29,103,9,0,215,355
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 57","Toronto",56,0,0,7,27,55,2,0,147,486
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 58","Toronto",69,0,0,5,24,96,7,1,202,453
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 59","Toronto",65,0,0,2,12,81,7,1,168,417
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 60","Toronto",50,0,0,4,23,72,6,0,155,379
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 61","Toronto",42,0,2,4,11,68,6,0,133,399
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 62","Toronto",44,0,0,4,25,72,4,0,149,458
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 63","Toronto",58,0,1,5,21,81,4,0,170,555
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 64","Toronto",97,0,1,13,36,186,15,1,349,629
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 65","Toronto",63,0,0,6,50,91,11,2,223,500
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 66","Toronto",85,0,0,8,60,155,15,2,325,637
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 67","Toronto",45,0,2,2,18,71,7,1,146,367
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 68","Toronto",44,0,0,2,23,81,5,1,156,449
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 69","Toronto",63,0,2,3,33,74,8,2,185,468
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 70","Toronto",38,0,0,2,14,46,3,0,103,321
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 71","Toronto",56,0,1,3,12,64,5,1,142,446
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 72","Toronto",58,0,0,1,13,88,5,1,166,512
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 73","Toronto",54,0,0,7,36,90,8,0,195,640
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 74","Toronto",61,0,1,7,22,65,7,2,165,451
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 75","Toronto",50,0,0,5,18,91,5,1,170,443
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 76","Toronto",42,0,0,4,25,75,7,0,153,499
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 77","Toronto",64,0,1,2,26,69,16,0,178,557
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 78","Toronto",31,0,0,4,23,38,12,0,108,401
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 79A","Toronto",73,0,0,6,35,87,15,0,216,703
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 79B","Toronto",54,0,1,6,30,77,10,1,179,410
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 79C","Toronto",76,0,0,5,33,91,12,2,219,479
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 80","Toronto",50,1,0,6,23,89,16,0,185,509
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 81","Toronto",47,1,0,2,34,91,13,3,191,564
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 82","Toronto",34,0,0,3,28,64,14,0,143,489
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 83","Toronto",35,0,1,1,28,49,11,1,126,510
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 84","Toronto",74,1,1,6,42,105,16,1,246,571
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 85","Toronto",71,0,0,4,33,60,8,1,177,450
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 86","Toronto",49,0,1,1,17,63,7,0,138,375
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 87","Toronto",60,0,2,1,18,58,12,1,152,417
