Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Mark Gerretsen,Waji Khan,Gary Oosterhof,Vic Sahai,Shelley Sayle-Udall,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35044,"Kingston and the Islands/Kingston et les Îles"," 1","Kingston",127,11,121,69,6,0,334,589
35044,"Kingston and the Islands/Kingston et les Îles"," 2","Kingston",91,8,78,53,16,6,252,570
35044,"Kingston and the Islands/Kingston et les Îles"," 3","Frontenac Islands",81,5,67,27,14,1,195,292
35044,"Kingston and the Islands/Kingston et les Îles"," 4","Frontenac Islands",89,2,52,21,7,1,172,263
35044,"Kingston and the Islands/Kingston et les Îles"," 5","Kingston",52,5,53,29,7,0,146,405
35044,"Kingston and the Islands/Kingston et les Îles"," 6","Kingston",68,3,47,53,9,4,184,573
35044,"Kingston and the Islands/Kingston et les Îles"," 7A","Kingston",93,3,46,37,5,0,184,578
35044,"Kingston and the Islands/Kingston et les Îles"," 7B","Kingston",82,4,53,31,0,0,170,517
35044,"Kingston and the Islands/Kingston et les Îles"," 8","Kingston",67,3,35,39,5,0,149,510
35044,"Kingston and the Islands/Kingston et les Îles"," 9","Kingston",72,3,58,53,6,2,194,591
35044,"Kingston and the Islands/Kingston et les Îles"," 10","Kingston",73,7,75,45,9,3,212,567
35044,"Kingston and the Islands/Kingston et les Îles"," 11","Kingston",28,3,33,45,8,0,117,340
35044,"Kingston and the Islands/Kingston et les Îles"," 12","Kingston",50,2,41,52,4,2,151,469
35044,"Kingston and the Islands/Kingston et les Îles"," 13","Kingston",33,4,27,56,10,0,130,439
35044,"Kingston and the Islands/Kingston et les Îles"," 14","Kingston",54,2,33,55,14,0,158,468
35044,"Kingston and the Islands/Kingston et les Îles"," 15","Kingston",25,2,34,59,10,0,130,495
35044,"Kingston and the Islands/Kingston et les Îles"," 16","Kingston",84,5,78,51,5,0,223,562
35044,"Kingston and the Islands/Kingston et les Îles"," 17","Kingston",67,1,58,43,1,1,171,524
35044,"Kingston and the Islands/Kingston et les Îles"," 18","Kingston",42,3,28,42,8,0,123,419
35044,"Kingston and the Islands/Kingston et les Îles"," 19","Kingston",36,6,27,32,19,1,121,347
35044,"Kingston and the Islands/Kingston et les Îles"," 20","Kingston",29,4,26,47,4,2,112,431
35044,"Kingston and the Islands/Kingston et les Îles"," 21","Kingston",108,6,89,81,7,2,293,845
35044,"Kingston and the Islands/Kingston et les Îles"," 22A","Kingston",32,4,29,21,2,0,88,296
35044,"Kingston and the Islands/Kingston et les Îles"," 22B","Kingston",67,5,25,25,7,1,130,247
35044,"Kingston and the Islands/Kingston et les Îles"," 23","Kingston",64,3,46,41,8,2,164,513
35044,"Kingston and the Islands/Kingston et les Îles"," 24","Kingston",54,6,36,60,12,5,173,535
35044,"Kingston and the Islands/Kingston et les Îles"," 25","Kingston",40,6,20,60,13,1,140,576
35044,"Kingston and the Islands/Kingston et les Îles"," 26","Kingston",58,3,29,58,13,1,162,554
35044,"Kingston and the Islands/Kingston et les Îles"," 27","Kingston",30,3,30,26,3,1,93,365
35044,"Kingston and the Islands/Kingston et les Îles"," 28","Kingston",117,4,85,47,11,2,266,693
35044,"Kingston and the Islands/Kingston et les Îles"," 29","Kingston",65,7,56,41,7,3,179,490
35044,"Kingston and the Islands/Kingston et les Îles"," 30","Kingston",62,4,38,50,13,0,167,438
35044,"Kingston and the Islands/Kingston et les Îles"," 31","Kingston",48,1,26,46,4,1,126,349
35044,"Kingston and the Islands/Kingston et les Îles"," 32","Kingston",48,4,31,39,6,0,128,398
35044,"Kingston and the Islands/Kingston et les Îles"," 33","Kingston",56,3,56,35,0,0,150,522
35044,"Kingston and the Islands/Kingston et les Îles"," 34","Kingston",46,4,40,37,6,2,135,407
35044,"Kingston and the Islands/Kingston et les Îles"," 35","Kingston",106,4,73,40,7,2,232,646
35044,"Kingston and the Islands/Kingston et les Îles"," 36A","Kingston",112,2,90,74,14,1,293,697
35044,"Kingston and the Islands/Kingston et les Îles"," 36B","Kingston",101,3,54,33,10,0,201,349
35044,"Kingston and the Islands/Kingston et les Îles"," 36C","Kingston",75,1,39,28,4,1,148,274
35044,"Kingston and the Islands/Kingston et les Îles"," 37","Kingston",79,3,64,36,7,0,189,467
35044,"Kingston and the Islands/Kingston et les Îles"," 38","Kingston",109,3,45,43,3,1,204,413
35044,"Kingston and the Islands/Kingston et les Îles"," 39","Kingston",56,8,41,56,7,1,169,490
35044,"Kingston and the Islands/Kingston et les Îles"," 40","Kingston",58,3,47,21,8,3,140,407
35044,"Kingston and the Islands/Kingston et les Îles"," 41","Kingston",36,3,26,31,5,0,101,256
35044,"Kingston and the Islands/Kingston et les Îles"," 42","Kingston",73,10,61,36,5,0,185,562
35044,"Kingston and the Islands/Kingston et les Îles"," 43","Kingston",66,2,38,27,4,0,137,398
35044,"Kingston and the Islands/Kingston et les Îles"," 44","Kingston",61,4,89,54,12,3,223,680
35044,"Kingston and the Islands/Kingston et les Îles"," 45","Kingston",44,4,73,56,18,0,195,617
35044,"Kingston and the Islands/Kingston et les Îles"," 46","Kingston",71,6,23,50,14,0,164,462
35044,"Kingston and the Islands/Kingston et les Îles"," 47","Kingston",52,3,26,57,4,2,144,392
35044,"Kingston and the Islands/Kingston et les Îles"," 48","Kingston",88,6,44,72,5,3,218,558
35044,"Kingston and the Islands/Kingston et les Îles"," 49","Kingston",44,2,15,53,13,1,128,506
35044,"Kingston and the Islands/Kingston et les Îles"," 50","Kingston",41,7,31,52,15,0,146,536
35044,"Kingston and the Islands/Kingston et les Îles"," 51","Kingston",69,6,20,43,7,4,149,359
35044,"Kingston and the Islands/Kingston et les Îles"," 52","Kingston",57,1,36,69,10,0,173,453
35044,"Kingston and the Islands/Kingston et les Îles"," 53","Kingston",23,3,24,51,8,3,112,438
35044,"Kingston and the Islands/Kingston et les Îles"," 54","Kingston",81,4,42,43,13,1,184,568
35044,"Kingston and the Islands/Kingston et les Îles"," 55","Kingston",71,4,45,51,9,1,181,574
35044,"Kingston and the Islands/Kingston et les Îles"," 56","Kingston",98,2,43,43,9,4,199,570
35044,"Kingston and the Islands/Kingston et les Îles"," 57","Kingston",75,6,35,77,4,0,197,572
35044,"Kingston and the Islands/Kingston et les Îles"," 58A","Kingston",77,6,80,80,8,1,252,683
35044,"Kingston and the Islands/Kingston et les Îles"," 58B","Kingston",79,0,63,55,5,0,202,600
35044,"Kingston and the Islands/Kingston et les Îles"," 59","Kingston",56,5,41,55,11,2,170,517
35044,"Kingston and the Islands/Kingston et les Îles"," 60","Kingston",97,7,52,56,6,1,219,636
35044,"Kingston and the Islands/Kingston et les Îles"," 61","Kingston",72,5,93,35,12,0,217,596
35044,"Kingston and the Islands/Kingston et les Îles"," 62","Kingston",90,5,75,62,6,0,238,800
35044,"Kingston and the Islands/Kingston et les Îles"," 63","Kingston",51,1,46,61,11,0,170,462
35044,"Kingston and the Islands/Kingston et les Îles"," 64","Kingston",70,2,60,49,12,0,193,560
35044,"Kingston and the Islands/Kingston et les Îles"," 65","Kingston",72,4,38,26,6,1,147,381
35044,"Kingston and the Islands/Kingston et les Îles"," 66","Kingston",29,2,12,40,3,0,86,345
35044,"Kingston and the Islands/Kingston et les Îles"," 67","Kingston",59,7,19,95,4,0,184,488
35044,"Kingston and the Islands/Kingston et les Îles"," 68","Kingston",43,8,20,118,7,0,196,481
35044,"Kingston and the Islands/Kingston et les Îles"," 69","Kingston",37,3,23,22,4,1,90,288
35044,"Kingston and the Islands/Kingston et les Îles"," 70","Kingston",24,3,33,35,1,0,96,316
35044,"Kingston and the Islands/Kingston et les Îles"," 71","Kingston",78,6,42,32,2,0,160,371
35044,"Kingston and the Islands/Kingston et les Îles"," 72","Kingston",57,2,43,32,8,1,143,453
35044,"Kingston and the Islands/Kingston et les Îles"," 73","Kingston",69,5,34,60,8,1,177,454
35044,"Kingston and the Islands/Kingston et les Îles"," 74","Kingston",21,2,26,27,1,0,77,306
35044,"Kingston and the Islands/Kingston et les Îles"," 75","Kingston",51,2,18,92,11,1,175,558
35044,"Kingston and the Islands/Kingston et les Îles"," 76","Kingston",50,1,16,63,9,0,139,446
35044,"Kingston and the Islands/Kingston et les Îles"," 77","Kingston",22,3,7,55,4,2,93,390
35044,"Kingston and the Islands/Kingston et les Îles"," 78","Kingston",44,8,32,93,1,0,178,518
35044,"Kingston and the Islands/Kingston et les Îles"," 79","Kingston",40,6,19,107,10,1,183,581
35044,"Kingston and the Islands/Kingston et les Îles"," 80","Kingston",54,6,23,69,8,0,160,470
35044,"Kingston and the Islands/Kingston et les Îles"," 81","Kingston",68,2,17,161,5,2,255,625
35044,"Kingston and the Islands/Kingston et les Îles"," 82","Kingston",44,6,27,126,5,0,208,505
35044,"Kingston and the Islands/Kingston et les Îles"," 83","Kingston",83,10,79,210,8,1,391,766
35044,"Kingston and the Islands/Kingston et les Îles"," 84","Kingston",50,6,24,56,7,0,143,335
35044,"Kingston and the Islands/Kingston et les Îles"," 85","Kingston",74,3,35,49,9,1,171,376
35044,"Kingston and the Islands/Kingston et les Îles"," 86","Kingston",80,7,27,67,13,2,196,427
35044,"Kingston and the Islands/Kingston et les Îles"," 87","Kingston",117,6,40,63,6,0,232,587
35044,"Kingston and the Islands/Kingston et les Îles"," 88","Kingston",50,0,30,10,2,12,104,154
35044,"Kingston and the Islands/Kingston et les Îles"," 89A","Kingston",30,2,24,11,3,0,70,304
35044,"Kingston and the Islands/Kingston et les Îles"," 89B","Kingston",50,1,26,32,5,0,114,206
35044,"Kingston and the Islands/Kingston et les Îles"," 90A","Kingston",59,4,30,49,8,0,150,386
35044,"Kingston and the Islands/Kingston et les Îles"," 90B","Kingston",48,3,29,23,2,0,105,166
35044,"Kingston and the Islands/Kingston et les Îles"," 91A","Kingston",70,6,43,36,4,5,164,427
35044,"Kingston and the Islands/Kingston et les Îles"," 91B","Kingston",59,2,29,24,1,0,115,208
35044,"Kingston and the Islands/Kingston et les Îles"," 92","Kingston",42,2,16,34,9,1,104,322
35044,"Kingston and the Islands/Kingston et les Îles"," 93","Kingston",65,5,28,68,10,3,179,464
35044,"Kingston and the Islands/Kingston et les Îles"," 94","Kingston",57,11,31,58,11,1,169,380
35044,"Kingston and the Islands/Kingston et les Îles"," 95","Kingston",63,4,38,45,2,3,155,524
35044,"Kingston and the Islands/Kingston et les Îles"," 96","Kingston",69,3,42,38,2,1,155,352
35044,"Kingston and the Islands/Kingston et les Îles"," 97","Kingston",68,5,46,35,4,0,158,414
35044,"Kingston and the Islands/Kingston et les Îles"," 98","Kingston",79,2,55,44,5,2,187,432
35044,"Kingston and the Islands/Kingston et les Îles"," 99","Kingston",86,2,50,36,5,0,179,439
35044,"Kingston and the Islands/Kingston et les Îles"," 100","Kingston",66,5,29,31,4,0,135,420
35044,"Kingston and the Islands/Kingston et les Îles"," 101","Kingston",67,13,30,156,4,0,270,517
35044,"Kingston and the Islands/Kingston et les Îles"," 102","Kingston",79,4,32,71,6,2,194,609
35044,"Kingston and the Islands/Kingston et les Îles"," 103","Kingston",63,5,30,127,5,1,231,669
35044,"Kingston and the Islands/Kingston et les Îles"," 104","Kingston",72,3,29,36,6,7,153,293
35044,"Kingston and the Islands/Kingston et les Îles"," 105","Kingston",55,2,38,40,4,0,139,345
35044,"Kingston and the Islands/Kingston et les Îles"," 106","Kingston",66,5,44,36,5,1,157,424
35044,"Kingston and the Islands/Kingston et les Îles"," 107","Kingston",72,2,43,33,2,0,152,397
35044,"Kingston and the Islands/Kingston et les Îles"," 108","Kingston",69,10,45,40,6,1,171,453
35044,"Kingston and the Islands/Kingston et les Îles"," 109","Kingston",58,6,37,47,10,0,158,461
35044,"Kingston and the Islands/Kingston et les Îles"," 110","Kingston",55,7,28,47,7,1,145,452
35044,"Kingston and the Islands/Kingston et les Îles"," 111","Kingston",55,8,45,86,5,3,202,569
35044,"Kingston and the Islands/Kingston et les Îles"," 112","Kingston",156,7,82,55,5,8,313,608
35044,"Kingston and the Islands/Kingston et les Îles"," 113","Kingston",85,8,23,136,5,0,257,490
35044,"Kingston and the Islands/Kingston et les Îles"," 114","Kingston",50,2,20,58,2,1,133,322
35044,"Kingston and the Islands/Kingston et les Îles"," 115","Kingston",76,7,29,162,5,1,280,594
35044,"Kingston and the Islands/Kingston et les Îles"," 116","Kingston",57,2,39,36,7,1,142,477
35044,"Kingston and the Islands/Kingston et les Îles"," 117","Kingston",32,1,23,25,10,0,91,343
35044,"Kingston and the Islands/Kingston et les Îles"," 118","Kingston",91,10,58,60,18,2,239,708
35044,"Kingston and the Islands/Kingston et les Îles"," 119","Kingston",47,6,33,51,12,1,150,485
35044,"Kingston and the Islands/Kingston et les Îles"," 120","Kingston",52,5,29,54,18,0,158,544
35044,"Kingston and the Islands/Kingston et les Îles"," 121","Kingston",49,3,26,39,5,0,122,383
35044,"Kingston and the Islands/Kingston et les Îles"," 122","Kingston",85,4,27,122,5,1,244,637
35044,"Kingston and the Islands/Kingston et les Îles"," 123","Kingston",116,8,84,193,18,1,420,800
35044,"Kingston and the Islands/Kingston et les Îles"," 124","Kingston",88,17,82,142,8,0,337,531
35044,"Kingston and the Islands/Kingston et les Îles"," 125","Kingston",103,11,65,164,2,0,345,588
35044,"Kingston and the Islands/Kingston et les Îles"," 126","Kingston",47,9,24,78,6,2,166,456
35044,"Kingston and the Islands/Kingston et les Îles"," 127","Kingston",66,8,26,73,7,0,180,442
35044,"Kingston and the Islands/Kingston et les Îles"," 128","Kingston",87,12,42,61,4,2,208,465
35044,"Kingston and the Islands/Kingston et les Îles"," 129","Kingston",79,6,41,126,7,0,259,588
35044,"Kingston and the Islands/Kingston et les Îles"," 130","Kingston",204,20,175,303,12,2,716,594
35044,"Kingston and the Islands/Kingston et les Îles"," 131","Kingston",53,4,30,34,2,0,123,329
35044,"Kingston and the Islands/Kingston et les Îles"," 132","Kingston",67,7,47,30,8,0,159,421
35044,"Kingston and the Islands/Kingston et les Îles"," 133A","Kingston",Merged with No./Fusionné avec le n°134,,,,,,,169
35044,"Kingston and the Islands/Kingston et les Îles"," 133B","Kingston",35,2,10,13,1,1,62,184
35044,"Kingston and the Islands/Kingston et les Îles"," 133C","Kingston",17,5,5,10,0,0,37,119
35044,"Kingston and the Islands/Kingston et les Îles"," 134","Kingston",72,9,40,122,2,1,246,333
35044,"Kingston and the Islands/Kingston et les Îles"," 135","Kingston",49,3,27,93,2,0,174,430
35044,"Kingston and the Islands/Kingston et les Îles"," 136","Kingston",92,5,38,85,1,3,224,448
35044,"Kingston and the Islands/Kingston et les Îles"," 137","Kingston",49,3,10,35,1,4,102,278
35044,"Kingston and the Islands/Kingston et les Îles"," 138","Kingston",47,5,20,30,4,0,106,270
35044,"Kingston and the Islands/Kingston et les Îles"," 139","Kingston",74,5,28,47,4,0,158,440
35044,"Kingston and the Islands/Kingston et les Îles"," 140","Kingston",72,10,22,62,2,1,169,414
35044,"Kingston and the Islands/Kingston et les Îles"," 141","Kingston",66,5,31,52,2,2,158,358
35044,"Kingston and the Islands/Kingston et les Îles"," 142","Kingston",56,9,32,55,5,1,158,453
35044,"Kingston and the Islands/Kingston et les Îles"," 143","Kingston",50,5,26,78,6,1,166,427
35044,"Kingston and the Islands/Kingston et les Îles"," 144","Kingston",56,2,27,18,4,1,108,299
35044,"Kingston and the Islands/Kingston et les Îles"," 145","Kingston",39,1,37,24,11,0,112,306
35044,"Kingston and the Islands/Kingston et les Îles"," 146","Kingston",65,4,37,54,6,1,167,464
35044,"Kingston and the Islands/Kingston et les Îles"," 147","Kingston",50,1,53,70,8,1,183,501
35044,"Kingston and the Islands/Kingston et les Îles"," 148","Kingston",61,4,41,36,5,0,147,413
35044,"Kingston and the Islands/Kingston et les Îles"," 149","Kingston",51,2,40,35,4,3,135,400
35044,"Kingston and the Islands/Kingston et les Îles"," 150","Kingston",33,5,34,46,13,1,132,357
35044,"Kingston and the Islands/Kingston et les Îles"," 151","Kingston",86,7,46,67,12,2,220,480
35044,"Kingston and the Islands/Kingston et les Îles"," 152","Kingston",73,5,40,51,6,3,178,408
35044,"Kingston and the Islands/Kingston et les Îles"," 153","Kingston",52,7,39,44,5,0,147,440
35044,"Kingston and the Islands/Kingston et les Îles"," 154","Kingston",65,4,26,34,4,0,133,443
35044,"Kingston and the Islands/Kingston et les Îles"," 155","Kingston",39,1,31,56,7,1,135,565
35044,"Kingston and the Islands/Kingston et les Îles"," 156","Kingston",39,4,21,71,2,1,138,497
35044,"Kingston and the Islands/Kingston et les Îles"," 157","Kingston",45,2,21,60,7,1,136,508
35044,"Kingston and the Islands/Kingston et les Îles"," 158","Kingston",26,1,12,35,4,0,78,336
35044,"Kingston and the Islands/Kingston et les Îles"," 159","Kingston",43,4,22,25,8,0,102,385
35044,"Kingston and the Islands/Kingston et les Îles"," 160","Kingston",Void/Supprimé,,,,,,,
35044,"Kingston and the Islands/Kingston et les Îles"," 161","Kingston",127,19,109,213,2,0,470,963
35044,"Kingston and the Islands/Kingston et les Îles"," 162","Kingston",95,5,51,74,4,0,229,484
35044,"Kingston and the Islands/Kingston et les Îles"," 163","Kingston",76,6,34,109,8,2,235,545
35044,"Kingston and the Islands/Kingston et les Îles"," 164","Kingston",84,9,48,142,8,2,293,652
35044,"Kingston and the Islands/Kingston et les Îles"," 165","Kingston",174,23,179,305,9,2,692,1082
35044,"Kingston and the Islands/Kingston et les Îles"," 166","Kingston",52,3,28,76,2,0,161,344
35044,"Kingston and the Islands/Kingston et les Îles"," 167","Kingston",44,2,17,28,6,0,97,313
35044,"Kingston and the Islands/Kingston et les Îles"," 168A","Kingston",23,5,24,25,4,0,81,295
35044,"Kingston and the Islands/Kingston et les Îles"," 168B","Kingston",72,3,27,18,4,2,126,173
35044,"Kingston and the Islands/Kingston et les Îles"," 169A","Kingston",Merged with No./Fusionné avec le n°170,,,,,,,268
35044,"Kingston and the Islands/Kingston et les Îles"," 169B","Kingston",13,1,14,21,2,0,51,154
35044,"Kingston and the Islands/Kingston et les Îles"," 170","Kingston",46,4,20,25,7,1,103,277
35044,"Kingston and the Islands/Kingston et les Îles"," 171","Kingston",107,3,50,68,7,1,236,569
35044,"Kingston and the Islands/Kingston et les Îles"," 172","Kingston",113,1,59,50,5,2,230,549
35044,"Kingston and the Islands/Kingston et les Îles"," 173","Kingston",36,6,44,40,8,1,135,455
35044,"Kingston and the Islands/Kingston et les Îles"," 174","Kingston",60,5,43,41,3,2,154,427
35044,"Kingston and the Islands/Kingston et les Îles"," 175","Kingston",52,5,49,47,4,0,157,442
35044,"Kingston and the Islands/Kingston et les Îles"," 176","Kingston",55,1,39,23,3,0,121,342
35044,"Kingston and the Islands/Kingston et les Îles"," 177","Kingston",67,3,34,50,5,0,159,365
35044,"Kingston and the Islands/Kingston et les Îles"," 178","Kingston",60,2,36,38,2,1,139,348
35044,"Kingston and the Islands/Kingston et les Îles"," 179","Kingston",67,4,35,52,5,1,164,434
35044,"Kingston and the Islands/Kingston et les Îles"," 180","Kingston",80,4,35,45,3,0,167,364
35044,"Kingston and the Islands/Kingston et les Îles"," 181","Kingston",48,6,22,31,6,2,115,313
35044,"Kingston and the Islands/Kingston et les Îles"," 182","Kingston",53,1,30,29,5,1,119,446
35044,"Kingston and the Islands/Kingston et les Îles"," 183","Kingston",46,2,21,34,5,0,108,335
35044,"Kingston and the Islands/Kingston et les Îles"," 184","Kingston",65,3,40,54,2,0,164,438
35044,"Kingston and the Islands/Kingston et les Îles"," 185","Kingston",40,6,32,37,5,2,122,330
35044,"Kingston and the Islands/Kingston et les Îles"," 186","Kingston",49,6,37,43,3,1,139,408
35044,"Kingston and the Islands/Kingston et les Îles"," 187","Kingston",85,3,26,60,5,0,179,461
35044,"Kingston and the Islands/Kingston et les Îles"," 188","Kingston",38,8,31,48,3,1,129,392
35044,"Kingston and the Islands/Kingston et les Îles"," 189","Kingston",61,6,33,54,5,1,160,484
35044,"Kingston and the Islands/Kingston et les Îles"," 190","Kingston",74,6,32,111,8,2,233,579
