Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,René-Paul Coly,Wayne Cyr,Michel Marc Lacroix,Marie-Christine Lamontagne,Jacques Palardy-Dion,Pierre Paul-Hus,Daniel Pelletier,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 1","Québec",39,2,13,59,2,56,2,0,173,387
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 2","Québec",34,0,14,48,3,97,0,4,200,502
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 3","Québec",23,6,14,35,10,95,1,4,188,502
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 4","Québec",23,10,6,21,4,95,1,2,162,495
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 5","Québec",18,9,13,45,6,98,0,2,191,485
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 6","Québec",30,6,13,31,5,57,3,3,148,395
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 7","Québec",23,3,17,32,1,61,1,5,143,352
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 8","Québec",21,7,15,38,6,69,3,3,162,437
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 9","Québec",21,10,2,22,5,54,1,5,120,332
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 10","Québec",22,6,5,38,1,72,1,0,145,392
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 11","Québec",36,3,19,54,9,127,0,5,253,639
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 12","Québec",16,7,8,25,2,64,1,0,123,365
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 13","Québec",29,2,13,40,0,69,2,3,158,418
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 14","Québec",23,2,17,29,3,77,0,3,154,411
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 15","Québec",23,1,9,43,4,68,0,5,153,404
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 16","Québec",48,2,16,51,7,123,2,1,250,611
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 17A","Québec",23,5,14,28,2,60,3,4,139,388
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 17B","Québec",28,1,7,25,3,62,1,4,131,379
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 18","Québec",33,5,16,50,11,92,7,2,216,504
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 19","Québec",33,8,14,44,11,111,1,2,224,536
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 20","Québec",33,5,9,59,5,94,0,2,207,526
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 21","Québec",22,12,9,27,2,71,0,3,146,368
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 22","Québec",14,3,17,28,7,75,1,3,148,407
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 23","Québec",27,1,7,42,3,87,1,2,170,383
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 24","Québec",9,3,6,25,6,61,0,4,114,320
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 25","Québec",44,5,7,44,5,87,0,3,195,508
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 26","Québec",46,1,19,42,8,68,2,4,190,418
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 27","Québec",27,6,4,52,5,53,1,7,155,368
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 28","Québec",28,4,14,39,4,86,1,3,179,378
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 29","Québec",39,3,25,29,1,103,1,3,204,465
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 30","Québec",29,6,16,30,8,92,1,1,183,401
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 31","Québec",36,2,13,27,8,80,3,3,172,378
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 32","Québec",27,8,13,31,1,89,0,3,172,382
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 33","Québec",15,9,18,35,3,68,2,9,159,364
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 34","Québec",22,5,8,24,2,41,0,4,106,336
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 35","Québec",34,8,11,30,10,53,0,4,150,452
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 36","Québec",41,7,10,63,4,110,2,0,237,530
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 37A","Québec",35,5,10,31,1,96,1,2,181,375
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 37B","Québec",46,1,1,34,1,97,2,0,182,358
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 38","Québec",40,0,10,51,5,108,0,0,214,500
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 39","Québec",31,6,15,59,1,60,0,4,176,430
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 40","Québec",50,7,19,46,1,98,0,4,225,510
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 41","Québec",27,0,19,47,2,113,2,2,212,435
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 42","Québec",28,10,12,47,2,63,0,3,165,384
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 43","Québec",28,2,4,27,1,41,1,0,104,334
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 44","Québec",29,5,14,46,8,87,1,2,192,480
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 45","Québec",29,3,2,19,4,42,0,2,101,312
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 46","Québec",40,7,22,42,4,36,3,2,156,459
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 47","Québec",18,7,23,32,0,62,1,3,146,414
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 48A","Québec",40,5,10,43,5,73,3,8,187,413
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 48B","Québec",37,3,5,38,4,77,1,3,168,414
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 49","Québec",41,5,14,37,2,68,0,4,171,344
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 50","Québec",32,2,9,35,3,74,1,1,157,393
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 51","Québec",21,5,9,34,3,36,0,3,111,350
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 52","Québec",32,5,14,38,1,60,2,5,157,380
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 53","Québec",37,2,10,36,4,83,0,2,174,418
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 54","Québec",30,6,8,41,2,56,1,7,151,376
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 55","Québec",42,2,6,47,1,79,1,2,180,408
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 56A","Québec",26,2,4,23,1,39,1,5,101,340
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 56B","Québec",24,2,5,37,1,41,1,0,111,368
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 57","Québec",28,3,9,37,4,56,0,2,139,471
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 58","Québec",31,6,19,43,5,106,0,2,212,431
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 59","Québec",20,4,11,33,5,71,1,4,149,396
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 60","Québec",38,4,15,48,6,111,0,2,224,474
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 61","Québec",40,4,17,39,1,101,1,5,208,516
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 62","Québec",28,8,11,25,2,32,0,3,109,433
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 63","Québec",32,0,10,38,1,61,1,1,144,425
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 64","Québec",26,3,8,40,2,59,4,5,147,417
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 65","Québec",21,2,8,25,0,49,1,0,106,350
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 66","Québec",17,1,13,41,0,55,1,3,131,347
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 67","Québec",20,1,15,29,1,62,1,2,131,370
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 68","Québec",33,4,9,32,1,50,1,2,132,347
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 69","Québec",25,5,18,47,2,55,3,3,158,447
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 70","Québec",43,1,11,35,3,78,2,2,175,385
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 71","Québec",40,3,5,45,3,80,2,0,178,607
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 72","Québec",28,0,11,22,4,67,1,4,137,352
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 73","Québec",17,1,7,31,2,39,2,4,103,317
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 74","Québec",41,6,13,31,4,95,0,1,191,431
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 75","Québec",23,8,9,37,5,68,3,2,155,415
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 76","Québec",35,1,8,40,2,73,1,6,166,413
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 77","Québec",22,2,10,31,1,51,1,10,128,357
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 78","Québec",36,3,14,55,2,95,0,2,207,424
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 79","Québec",29,4,11,33,3,61,2,5,148,339
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 80","Québec",28,4,12,55,2,50,2,2,155,354
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 81","Québec",42,6,19,58,4,58,0,4,191,416
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 82","Québec",27,5,9,45,2,75,1,0,164,383
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 83","Québec",32,5,11,52,1,64,0,3,168,452
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 84","Québec",72,2,16,43,1,76,2,2,214,413
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 85","Québec",23,9,11,37,7,68,2,5,162,370
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 86","Québec",36,7,10,46,1,65,5,1,171,351
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 87","Québec",36,3,12,37,4,54,2,4,152,320
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 88","Québec",41,6,22,50,9,73,1,3,205,419
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 89","Québec",19,3,9,38,3,44,4,2,122,387
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 90","Québec",20,0,8,30,2,63,1,3,127,365
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 91","Québec",18,0,9,35,2,50,2,1,117,315
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 92","Québec",28,3,6,29,1,74,1,3,145,391
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 93","Québec",16,6,14,29,1,77,0,4,147,375
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 94","Québec",34,2,17,32,2,68,0,1,156,339
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 95","Québec",30,4,13,30,3,89,1,5,175,419
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 96","Québec",40,4,18,27,3,63,4,6,165,420
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 97","Québec",46,2,19,57,8,84,0,5,221,437
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 98","Québec",51,8,10,57,3,76,3,0,208,483
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 99","Québec",20,5,10,38,5,88,1,3,170,343
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 100","Québec",16,3,10,20,2,81,4,2,138,363
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 101","Québec",22,9,8,37,3,61,1,3,144,419
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 102","Québec",25,4,7,31,1,72,1,6,147,412
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 103","Québec",14,7,9,42,5,73,0,6,156,514
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 104","Québec",14,6,6,27,1,57,2,8,121,413
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 105","Québec",19,3,5,24,6,56,2,1,116,391
