Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Luc Bertrand,Jean Collette,Claude Debellefeuille,Linda Gallant,Joan Gottman,Marcel Goyette,Nicolas Thivierge,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24071,"Salaberry--Suroît/Salaberry--Suroît"," 162B","Saint-Louis-de-Gonzague",1,20,97,18,12,0,9,6,163,400
24071,"Salaberry--Suroît/Salaberry--Suroît"," 163","Saint-Louis-de-Gonzague",0,25,112,38,7,0,4,3,189,390
24071,"Salaberry--Suroît/Salaberry--Suroît"," 164","Saint-Louis-de-Gonzague",1,19,82,37,7,0,5,5,156,370
24071,"Salaberry--Suroît/Salaberry--Suroît"," 165","Très-Saint-Sacrement",2,27,70,50,21,2,15,7,194,382
24071,"Salaberry--Suroît/Salaberry--Suroît"," 166","Très-Saint-Sacrement",4,32,56,61,31,3,12,7,206,443
24071,"Salaberry--Suroît/Salaberry--Suroît"," 167","Très-Saint-Sacrement",2,26,49,56,22,0,12,4,171,414
24071,"Salaberry--Suroît/Salaberry--Suroît"," 168","Très-Saint-Sacrement",2,25,41,55,13,1,10,4,151,343
24071,"Salaberry--Suroît/Salaberry--Suroît"," 169","Saint-Zotique",1,24,92,50,17,0,9,2,195,557
24071,"Salaberry--Suroît/Salaberry--Suroît"," 170","Saint-Zotique",2,4,54,32,15,2,7,0,116,367
24071,"Salaberry--Suroît/Salaberry--Suroît"," 171","Saint-Zotique",1,21,69,46,23,0,6,0,166,406
24071,"Salaberry--Suroît/Salaberry--Suroît"," 172","Saint-Zotique",1,12,46,42,4,1,0,1,107,298
24071,"Salaberry--Suroît/Salaberry--Suroît"," 173","Saint-Zotique",1,19,48,25,5,1,6,2,107,327
24071,"Salaberry--Suroît/Salaberry--Suroît"," 174","Saint-Zotique",3,15,55,46,16,3,6,0,144,430
24071,"Salaberry--Suroît/Salaberry--Suroît"," 175","Saint-Zotique",0,26,76,45,7,1,3,0,158,477
24071,"Salaberry--Suroît/Salaberry--Suroît"," 176","Saint-Zotique",0,6,45,20,6,0,1,0,78,295
24071,"Salaberry--Suroît/Salaberry--Suroît"," 177","Saint-Zotique",2,28,47,41,7,1,10,3,139,422
24071,"Salaberry--Suroît/Salaberry--Suroît"," 178","Saint-Chrysostome",1,23,69,37,8,3,9,1,151,400
24071,"Salaberry--Suroît/Salaberry--Suroît"," 179","Saint-Chrysostome",2,21,76,37,5,1,9,5,156,389
24071,"Salaberry--Suroît/Salaberry--Suroît"," 180","Saint-Chrysostome",0,11,41,50,9,1,6,5,123,317
24071,"Salaberry--Suroît/Salaberry--Suroît"," 181","Saint-Chrysostome",1,6,31,17,7,3,2,3,70,278
24071,"Salaberry--Suroît/Salaberry--Suroît"," 182","Saint-Chrysostome",0,11,73,41,10,1,5,5,146,365
24071,"Salaberry--Suroît/Salaberry--Suroît"," 183","Saint-Chrysostome",2,22,50,34,18,2,5,4,137,374
24071,"Salaberry--Suroît/Salaberry--Suroît"," 184","Saint-Stanislas-de-Kostka",2,16,91,29,7,1,5,4,155,357
24071,"Salaberry--Suroît/Salaberry--Suroît"," 185","Saint-Stanislas-de-Kostka",1,12,55,21,8,1,5,4,107,230
24071,"Salaberry--Suroît/Salaberry--Suroît"," 186","Rivière-Beaudette",2,48,125,43,13,2,19,8,260,562
24071,"Salaberry--Suroît/Salaberry--Suroît"," 187","Rivière-Beaudette",0,18,87,42,15,3,11,10,186,386
24071,"Salaberry--Suroît/Salaberry--Suroît"," 188","Rivière-Beaudette",0,9,40,35,12,0,5,5,106,269
24071,"Salaberry--Suroît/Salaberry--Suroît"," 189","Rivière-Beaudette",3,33,76,39,24,1,12,7,195,432
24071,"Salaberry--Suroît/Salaberry--Suroît"," 190","Rivière-Beaudette",0,15,65,23,9,0,4,1,117,329
24071,"Salaberry--Suroît/Salaberry--Suroît"," 191","Saint-Stanislas-de-Kostka",1,15,74,36,7,0,3,1,137,328
24071,"Salaberry--Suroît/Salaberry--Suroît"," 192","Saint-Stanislas-de-Kostka",2,27,135,48,20,1,5,1,239,521
24071,"Salaberry--Suroît/Salaberry--Suroît"," 193","Sainte-Barbe",0,13,62,38,4,0,4,1,122,341
24071,"Salaberry--Suroît/Salaberry--Suroît"," 194","Sainte-Barbe",0,14,48,20,8,5,9,3,107,272
24071,"Salaberry--Suroît/Salaberry--Suroît"," 195","Sainte-Barbe",3,14,91,41,1,1,2,4,157,414
24071,"Salaberry--Suroît/Salaberry--Suroît"," 196","Sainte-Barbe",0,22,88,41,23,0,15,4,193,480
24071,"Salaberry--Suroît/Salaberry--Suroît"," 197","Hemmingford",1,18,43,49,16,1,3,1,132,358
24071,"Salaberry--Suroît/Salaberry--Suroît"," 198","Hemmingford",0,32,29,43,10,1,12,3,130,344
24071,"Salaberry--Suroît/Salaberry--Suroît"," 199","Hemmingford",0,30,54,59,17,0,9,5,174,461
24071,"Salaberry--Suroît/Salaberry--Suroît"," 200","Hemmingford",1,28,29,38,28,2,7,5,138,395
24071,"Salaberry--Suroît/Salaberry--Suroît"," 201","Hemmingford",0,22,46,63,17,5,3,4,160,430
24071,"Salaberry--Suroît/Salaberry--Suroît"," 202","Hemmingford",2,22,29,55,15,1,9,4,137,382
24071,"Salaberry--Suroît/Salaberry--Suroît"," 203","Ormstown",0,14,28,44,20,0,4,3,113,324
24071,"Salaberry--Suroît/Salaberry--Suroît"," 204","Ormstown",0,8,40,35,5,2,6,6,102,298
24071,"Salaberry--Suroît/Salaberry--Suroît"," 205","Ormstown",1,12,26,24,14,3,5,6,91,287
24071,"Salaberry--Suroît/Salaberry--Suroît"," 206","Ormstown",0,22,59,25,11,2,7,0,126,346
24071,"Salaberry--Suroît/Salaberry--Suroît"," 207","Ormstown",0,27,26,43,29,1,6,0,132,342
24071,"Salaberry--Suroît/Salaberry--Suroît"," 208","Ormstown",1,13,25,36,12,4,8,3,102,260
24071,"Salaberry--Suroît/Salaberry--Suroît"," 209","Ormstown",0,11,49,32,19,3,7,0,121,341
24071,"Salaberry--Suroît/Salaberry--Suroît"," 210","Ormstown",0,30,99,43,26,2,18,9,227,589
24071,"Salaberry--Suroît/Salaberry--Suroît"," 211","Ormstown",1,11,63,27,13,1,11,3,130,331
24071,"Salaberry--Suroît/Salaberry--Suroît"," 212","Havelock",2,41,68,47,10,4,12,0,184,302
24071,"Salaberry--Suroît/Salaberry--Suroît"," 213","Havelock",1,28,35,64,19,2,8,1,158,356
24071,"Salaberry--Suroît/Salaberry--Suroît"," 214","Saint-Anicet",0,10,53,57,4,1,7,6,138,388
24071,"Salaberry--Suroît/Salaberry--Suroît"," 215","Saint-Anicet",0,10,43,33,7,2,4,1,100,354
24071,"Salaberry--Suroît/Salaberry--Suroît"," 216","Saint-Anicet",2,22,41,23,14,1,11,2,116,317
24071,"Salaberry--Suroît/Salaberry--Suroît"," 217","Saint-Antoine-Abbé",0,26,94,45,14,0,6,6,191,376
24071,"Salaberry--Suroît/Salaberry--Suroît"," 218","Saint-Antoine-Abbé",1,32,94,54,9,3,7,5,205,399
24071,"Salaberry--Suroît/Salaberry--Suroît"," 219","Franklin",0,25,41,41,11,2,2,2,124,292
24071,"Salaberry--Suroît/Salaberry--Suroît"," 220","Franklin",0,24,68,46,18,1,8,4,169,338
24071,"Salaberry--Suroît/Salaberry--Suroît"," 221","Huntingdon",2,16,31,29,17,0,6,2,103,353
24071,"Salaberry--Suroît/Salaberry--Suroît"," 222","Huntingdon",1,7,20,21,8,1,11,0,69,238
24071,"Salaberry--Suroît/Salaberry--Suroît"," 223","Huntingdon",1,29,22,40,16,0,8,5,121,457
24071,"Salaberry--Suroît/Salaberry--Suroît"," 224","Huntingdon",0,20,35,35,18,4,9,2,123,364
24071,"Salaberry--Suroît/Salaberry--Suroît"," 225","Huntingdon",1,20,30,56,22,0,10,5,144,402
24071,"Salaberry--Suroît/Salaberry--Suroît"," 226","Hinchinbrooke",0,21,26,32,17,1,10,1,108,493
24071,"Salaberry--Suroît/Salaberry--Suroît"," 227","Hinchinbrooke",0,44,40,68,19,1,8,0,180,449
24071,"Salaberry--Suroît/Salaberry--Suroît"," 228","Hinchinbrooke",0,36,26,72,24,2,13,2,175,380
24071,"Salaberry--Suroît/Salaberry--Suroît"," 229","Hinchinbrooke",3,21,47,43,16,3,13,2,148,409
24071,"Salaberry--Suroît/Salaberry--Suroît"," 230","Godmanchester",2,50,45,78,17,1,9,6,208,395
24071,"Salaberry--Suroît/Salaberry--Suroît"," 231","Godmanchester",1,40,82,64,17,1,11,3,219,385
24071,"Salaberry--Suroît/Salaberry--Suroît"," 232","Godmanchester",1,36,28,68,28,1,14,1,177,375
24071,"Salaberry--Suroît/Salaberry--Suroît"," 233","Saint-Anicet",0,14,46,35,9,1,5,4,114,393
24071,"Salaberry--Suroît/Salaberry--Suroît"," 234","Cazaville",2,20,54,30,6,0,10,4,126,346
24071,"Salaberry--Suroît/Salaberry--Suroît"," 235","Cazaville",3,9,42,31,9,2,6,3,105,273
24071,"Salaberry--Suroît/Salaberry--Suroît"," 236","Cazaville",0,23,29,28,5,3,6,4,98,280
24071,"Salaberry--Suroît/Salaberry--Suroît"," 237","Hinchinbrooke",1,15,33,37,20,1,5,0,112,373
24071,"Salaberry--Suroît/Salaberry--Suroît"," 238","Elgin",0,36,32,66,27,1,4,1,167,316
24071,"Salaberry--Suroît/Salaberry--Suroît"," 239","Dundee",1,28,56,55,15,1,6,3,165,334
24071,"Salaberry--Suroît/Salaberry--Suroît"," 240","Akwesasne",0,1,0,1,1,0,0,0,3,793
24071,"Salaberry--Suroît/Salaberry--Suroît"," 241","Akwesasne",0,0,1,0,2,0,0,0,3,455
24071,"Salaberry--Suroît/Salaberry--Suroît"," 400","Salaberry-de-Valleyfield",1,3,25,30,0,0,0,2,61,133
24071,"Salaberry--Suroît/Salaberry--Suroît"," 401","Salaberry-de-Valleyfield",2,4,51,65,4,0,1,6,133,163
24071,"Salaberry--Suroît/Salaberry--Suroît"," 402","Salaberry-de-Valleyfield",4,14,59,78,2,0,3,6,166,204
24071,"Salaberry--Suroît/Salaberry--Suroît"," 403","Salaberry-de-Valleyfield",1,16,56,77,1,1,2,2,156,200
24071,"Salaberry--Suroît/Salaberry--Suroît"," 404","Salaberry-de-Valleyfield",3,11,40,67,3,0,2,10,136,183
24071,"Salaberry--Suroît/Salaberry--Suroît"," 405","Salaberry-de-Valleyfield",0,4,40,57,1,2,3,10,117,156
24071,"Salaberry--Suroît/Salaberry--Suroît"," 406","Salaberry-de-Valleyfield",1,5,19,26,1,0,1,0,53,123
24071,"Salaberry--Suroît/Salaberry--Suroît"," 500","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°502,,,,,,,,,0
24071,"Salaberry--Suroît/Salaberry--Suroît"," 501","Mobile poll/Bureau itinérant",1,2,4,11,0,0,1,0,19,48
24071,"Salaberry--Suroît/Salaberry--Suroît"," 502","Mobile poll/Bureau itinérant",1,0,4,13,0,1,0,8,27,37
24071,"Salaberry--Suroît/Salaberry--Suroît"," 503","Mobile poll/Bureau itinérant",1,1,4,4,0,1,0,1,12,84
24071,"Salaberry--Suroît/Salaberry--Suroît"," 504","Mobile poll/Bureau itinérant",1,0,3,2,0,0,0,1,7,65
24071,"Salaberry--Suroît/Salaberry--Suroît"," 505","Mobile poll/Bureau itinérant",1,0,14,12,1,1,0,1,30,75
24071,"Salaberry--Suroît/Salaberry--Suroît"," 506","Mobile poll/Bureau itinérant",1,4,10,23,1,1,1,3,44,65
24071,"Salaberry--Suroît/Salaberry--Suroît"," 507","Mobile poll/Bureau itinérant",0,1,9,11,0,0,0,0,21,30
