Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Wayne Allan,Frank Caputo,Iain Currie,Corally Delwo,Jesse McCormick,Bob O'Brien,Bill Sundhu,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 40","Bridge Lake",0,93,8,12,40,2,54,0,209,488
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 41","70 Mile House",0,74,0,6,33,0,36,0,149,325
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 42","North Bonapart",0,51,2,6,34,0,21,1,115,221
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 43","Clearwater",1,98,10,24,15,1,42,1,192,391
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 44","Avola",0,11,1,1,5,0,7,0,25,45
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 45","Little Fort",2,65,6,15,19,2,21,2,132,213
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 46","Birch Island",0,81,3,14,27,1,32,0,158,343
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 47","Loon Lake",0,60,6,8,15,0,9,0,98,166
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 48","North Thompson 1",0,13,3,0,15,0,35,0,66,118
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 49","Skeetchestn",1,15,12,5,12,0,53,0,98,244
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 50","Barrière ",0,38,2,10,9,1,16,0,76,282
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 51","Barrière ",0,83,1,14,24,0,34,0,156,455
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 52","Barrière ",0,60,1,1,25,1,21,1,110,455
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 53","Barrière ",0,43,1,7,10,1,13,0,75,318
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 54A","Barrière",0,42,4,9,10,1,16,1,83,318
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 54B","Mobile poll/Bureau itinérant",0,4,1,0,3,0,2,0,10,16
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 55","Barrière ",0,61,1,10,28,1,22,0,123,461
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 56","Barrière ",0,102,6,17,33,0,32,0,190,526
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 57","Kamloops",1,43,7,2,29,0,44,0,126,492
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 58","Kamloops",0,58,12,5,18,1,57,0,151,511
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 59","Kamloops",1,46,8,8,33,0,54,0,150,427
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 60","Kamloops",0,68,8,16,23,1,66,0,182,613
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 61","Kamloops",1,72,3,8,25,1,39,0,149,494
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 62","Kamloops",0,31,10,9,27,0,31,0,108,414
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 63","Kamloops",0,35,4,2,12,0,21,1,75,273
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 64","Kamloops",0,50,5,7,21,1,64,0,148,476
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 65","Black Pines",0,61,6,6,12,0,23,0,108,196
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 66","McLure",0,93,10,18,30,0,35,0,186,407
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 67","Kamloops",0,78,12,10,31,2,42,1,176,449
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 68","Kamloops 5",0,63,3,5,32,5,42,1,151,401
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 69","Kamloops",3,103,6,6,44,1,54,0,217,546
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 70","Kamloops",0,93,4,5,37,0,45,0,184,583
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 71","Kamloops",0,79,4,9,34,0,65,0,191,595
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 72","Kamloops",0,83,6,7,36,2,56,1,191,575
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 73","Kamloops",1,78,9,10,29,1,60,0,188,590
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 74","Kamloops",0,56,5,10,43,0,74,0,188,532
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 75","Kamloops",1,89,15,6,27,0,57,0,195,630
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 76","Kamloops",1,98,6,10,34,8,62,0,219,439
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 77","Kamloops",0,79,11,6,38,1,61,0,196,389
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 78","Kamloops",0,117,8,12,34,5,52,0,228,415
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 79","Kamloops",1,120,4,7,34,10,56,0,232,455
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 80","Savona",2,155,5,20,47,1,55,1,286,496
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 81A","Cherry Creek",0,78,9,8,26,3,34,0,158,399
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 81B","Cherry Creek",0,85,2,10,26,0,29,0,152,401
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 82","Kamloops",0,69,4,2,31,1,39,0,146,397
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 83","Kamloops",0,62,4,10,21,1,48,0,146,545
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 84","Kamloops",0,61,4,3,6,0,18,0,92,292
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 85","Kamloops",0,45,2,11,23,0,48,0,129,445
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 86A","Kamloops",1,33,6,6,18,0,31,0,95,339
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 86B","Kamloops",0,45,3,3,26,1,40,1,119,320
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 87","Kamloops",0,66,3,4,27,1,45,0,146,401
