Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Charlie Angus,Steve Black,Morgan Ellerton,Stephen MacLeod,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35107,"Timmins--James Bay/Timmins--Baie James"," 1","Peawanuck",49,6,1,0,1,57,134
35107,"Timmins--James Bay/Timmins--Baie James"," 2","Attawapiskat",114,8,5,1,2,130,739
35107,"Timmins--James Bay/Timmins--Baie James"," 3","Kashechewan",138,8,3,0,0,149,719
35107,"Timmins--James Bay/Timmins--Baie James"," 4","Moosonee",104,19,11,8,0,142,459
35107,"Timmins--James Bay/Timmins--Baie James"," 5","Moosonee",89,17,14,8,2,130,553
35107,"Timmins--James Bay/Timmins--Baie James"," 6","Fort Albany--English River 66",41,27,3,2,0,73,306
35107,"Timmins--James Bay/Timmins--Baie James"," 7","Ogoki--Marten Falls 65",16,8,1,2,0,27,91
35107,"Timmins--James Bay/Timmins--Baie James"," 8","Moose Factory",299,31,12,8,7,357,533
35107,"Timmins--James Bay/Timmins--Baie James"," 9","Moose Factory",Results combined with no. 8/Résultats combinés au n° 8,,,,,,594
35107,"Timmins--James Bay/Timmins--Baie James"," 10","Cochrane",96,55,44,22,2,219,707
35107,"Timmins--James Bay/Timmins--Baie James"," 11","Cochrane",67,42,39,13,3,164,505
35107,"Timmins--James Bay/Timmins--Baie James"," 12","Cochrane",46,32,34,18,1,131,454
35107,"Timmins--James Bay/Timmins--Baie James"," 13","Cochrane",64,45,29,15,0,153,400
35107,"Timmins--James Bay/Timmins--Baie James"," 14","Cochrane",58,37,29,21,4,149,424
35107,"Timmins--James Bay/Timmins--Baie James"," 15","Cochrane",45,23,21,20,0,109,452
35107,"Timmins--James Bay/Timmins--Baie James"," 16","Cochrane",57,29,20,23,0,129,494
35107,"Timmins--James Bay/Timmins--Baie James"," 17","Cochrane",90,61,69,39,1,260,780
35107,"Timmins--James Bay/Timmins--Baie James"," 18","Cochrane",69,23,50,13,1,156,481
35107,"Timmins--James Bay/Timmins--Baie James"," 19","Iroquois Falls",44,26,24,19,0,113,347
35107,"Timmins--James Bay/Timmins--Baie James"," 20","Iroquois Falls",27,14,19,29,0,89,295
35107,"Timmins--James Bay/Timmins--Baie James"," 21","Iroquois Falls",40,19,39,20,2,120,339
35107,"Timmins--James Bay/Timmins--Baie James"," 22","Iroquois Falls",47,29,49,24,2,151,529
35107,"Timmins--James Bay/Timmins--Baie James"," 23","Iroquois Falls",30,19,27,25,1,102,382
35107,"Timmins--James Bay/Timmins--Baie James"," 24","Iroquois Falls",37,27,32,26,4,126,442
35107,"Timmins--James Bay/Timmins--Baie James"," 25","Iroquois Falls",67,29,26,34,2,158,497
35107,"Timmins--James Bay/Timmins--Baie James"," 26","Iroquois Falls",50,29,53,37,3,172,534
35107,"Timmins--James Bay/Timmins--Baie James"," 27","Abitibi 70",29,2,2,0,0,33,52
