Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Eric Barnabé,Germain Dumas,Mélanie Gendron,Christel Marchand,Kristina Michaud,Louis-Éric Savoie,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 84","Carleton",3,9,2,6,56,19,3,98,371
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 85","Carleton",1,13,3,12,66,38,6,139,377
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 86","Pointe-Bourg",5,5,2,10,66,27,6,121,306
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 87","Carleton",3,4,2,17,61,12,1,100,301
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 88","Carleton",1,3,1,9,52,21,3,90,305
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 89","Carleton",2,4,3,7,53,17,4,90,252
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 90","Causapscal",3,8,2,1,48,14,2,78,279
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 91","Causapscal",1,6,0,2,53,9,0,71,302
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 92","Causapscal",12,8,1,2,59,8,2,92,311
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 93","Causapscal",0,7,1,1,58,7,2,76,256
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 94","Causapscal",12,8,3,5,64,15,5,112,316
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 95","Causapscal",10,5,7,0,52,10,1,85,273
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 96","Saint-Noël",5,30,5,3,77,14,4,138,332
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 97","Amqui",7,8,1,1,93,12,1,123,351
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 98","Amqui",3,18,2,4,82,10,0,119,395
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 99","Amqui",5,3,1,7,66,14,4,100,340
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 100","Amqui",5,15,3,3,50,8,3,87,345
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 101","Amqui",1,12,2,3,90,16,2,126,402
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 102","Amqui",6,11,5,4,112,18,1,157,422
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 103","Amqui",3,14,0,4,62,14,2,99,379
