Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Michael Ras,Elizabeth Robertson,Vahid Seyfaie,Sven Spengemann,Kayleigh Tahk,Sarah Walji,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 111","Mississauga",91,5,3,75,0,10,1,185,451
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 112","Mississauga",51,3,10,69,0,15,2,150,358
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 113","Mississauga",40,8,2,94,0,22,0,166,486
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 114","Mississauga",44,4,7,57,0,17,0,129,373
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 115","Mississauga",62,10,4,76,0,12,1,165,495
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 116","Mississauga",53,6,8,87,0,22,0,176,503
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 117","Mississauga",50,8,10,67,1,20,0,156,482
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 118","Mississauga",38,2,4,50,0,14,1,109,366
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 119","Mississauga",52,6,5,78,0,17,0,158,450
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 120","Mississauga",52,2,3,46,0,8,0,111,386
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 121","Mississauga",58,0,8,55,0,11,1,133,388
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 122","Mississauga",57,3,2,37,1,21,0,121,357
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 123","Mississauga",47,1,3,43,0,3,1,98,383
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 124","Mississauga",77,4,3,55,0,4,1,144,415
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 125","Mississauga",88,7,6,57,0,13,3,174,412
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 126","Mississauga",56,2,7,71,1,11,0,148,339
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 127","Mississauga",84,2,3,37,0,5,0,131,315
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 128","Mississauga",79,4,4,75,1,6,2,171,484
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 129","Mississauga",72,2,5,49,0,9,0,137,508
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 130","Mississauga",40,3,5,36,1,16,0,101,410
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 131","Mississauga",15,1,1,49,0,16,2,84,436
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 132","Mississauga",14,3,3,72,0,12,0,104,406
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 133","Mississauga",21,1,4,52,0,20,1,99,392
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 134","Mississauga",11,1,5,52,0,12,2,83,440
