Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Tony Baldinelli,Brian Barker,Melanie Holm,Andrea Kaiser,Peter Taras,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35067,"Niagara Falls/Niagara Falls"," 1","Niagara-on-the-Lake",55,24,1,105,2,0,187,603
35067,"Niagara Falls/Niagara Falls"," 2","Niagara-on-the-Lake",58,15,1,64,7,1,146,531
35067,"Niagara Falls/Niagara Falls"," 3","Niagara-on-the-Lake",33,16,2,64,1,0,116,472
35067,"Niagara Falls/Niagara Falls"," 4","Niagara-on-the-Lake",101,28,6,119,10,4,268,577
35067,"Niagara Falls/Niagara Falls"," 5","Niagara-on-the-Lake",64,18,6,76,6,3,173,769
35067,"Niagara Falls/Niagara Falls"," 6","Niagara-on-the-Lake",101,33,2,113,12,3,264,617
35067,"Niagara Falls/Niagara Falls"," 7","Niagara-on-the-Lake",57,16,7,100,10,0,190,529
35067,"Niagara Falls/Niagara Falls"," 8","Niagara-on-the-Lake",Merged with No./Fusionné avec le n°7,,,,,,,457
35067,"Niagara Falls/Niagara Falls"," 9","Niagara-on-the-Lake",Merged with No./Fusionné avec le n°4,,,,,,,482
35067,"Niagara Falls/Niagara Falls"," 10","Niagara-on-the-Lake",63,19,6,45,23,0,156,406
35067,"Niagara Falls/Niagara Falls"," 11","Niagara-on-the-Lake",129,27,3,61,20,0,240,610
35067,"Niagara Falls/Niagara Falls"," 12","Niagara-on-the-Lake",Merged with No./Fusionné avec le n°6,,,,,,,263
35067,"Niagara Falls/Niagara Falls"," 13","Niagara-on-the-Lake",87,31,2,72,15,1,208,600
35067,"Niagara Falls/Niagara Falls"," 14","Niagara-on-the-Lake",70,24,5,75,15,0,189,471
35067,"Niagara Falls/Niagara Falls"," 15","Niagara-on-the-Lake",93,20,2,68,4,1,188,547
35067,"Niagara Falls/Niagara Falls"," 16","Niagara-on-the-Lake",74,31,3,76,6,1,191,550
35067,"Niagara Falls/Niagara Falls"," 17","Niagara-on-the-Lake",105,18,4,46,21,3,197,550
35067,"Niagara Falls/Niagara Falls"," 18","Niagara-on-the-Lake",59,34,2,61,3,0,159,545
35067,"Niagara Falls/Niagara Falls"," 19","Niagara-on-the-Lake",89,26,6,54,17,2,194,522
35067,"Niagara Falls/Niagara Falls"," 20","Niagara-on-the-Lake",84,23,3,49,6,0,165,446
35067,"Niagara Falls/Niagara Falls"," 21","Niagara-on-the-Lake",126,31,6,93,39,1,296,795
35067,"Niagara Falls/Niagara Falls"," 22","Niagara-on-the-Lake",85,36,7,88,6,2,224,580
35067,"Niagara Falls/Niagara Falls"," 23","Niagara-on-the-Lake",118,35,5,88,7,0,253,585
35067,"Niagara Falls/Niagara Falls"," 24","Niagara-on-the-Lake",116,45,9,57,20,2,249,596
35067,"Niagara Falls/Niagara Falls"," 25","Niagara-on-the-Lake",83,18,1,66,6,1,175,560
