Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Owen Bradley,Kevin Dupuis,Carlene Hawley,Tim Louis,Narine Dat Sookram,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 1","Floradale",Merged with No./Fusionné avec le n°3,,,,,,,303
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 2A","Woolwich",Merged with No./Fusionné avec le n°5A,,,,,,,132
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 2B","Woolwich",Merged with No./Fusionné avec le n°5B,,,,,,,180
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 3","Woolwich",11,32,117,80,33,0,273,544
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 4A","Woolwich",Merged with No./Fusionné avec le n°5A,,,,,,,222
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 4B","Woolwich",Merged with No./Fusionné avec le n°5B,,,,,,,170
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 5A","Woolwich",9,10,78,65,26,1,189,193
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 5B","Woolwich",5,22,71,48,34,2,182,191
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 6","Woolwich",Merged with No./Fusionné avec le n°9,,,,,,,277
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 7","Woolwich",Merged with No./Fusionné avec le n°8,,,,,,,296
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 8","Woolwich",6,23,122,90,36,0,277,320
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 9","Woolwich",8,18,89,91,43,0,249,341
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 10","Woolwich",1,12,48,43,27,1,132,317
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 11","West Montrose",6,6,62,31,16,1,122,304
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 12","Woolwich",13,16,47,39,25,0,140,378
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 13","Woolwich",7,8,45,49,22,0,131,316
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 14","Woolwich",9,11,42,42,17,0,121,379
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 15","Woolwich",12,18,61,55,20,0,166,376
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 16","Woolwich",4,17,33,34,11,1,100,360
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 17","Woolwich",2,20,87,88,32,2,231,277
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 18","Woolwich",2,10,40,46,18,1,117,301
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 19","Woolwich",Merged with No./Fusionné avec le n°17,,,,,,,266
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 20","Woolwich",1,11,51,23,17,0,103,368
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 21","Woolwich",5,9,67,30,8,0,119,361
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 22","Woolwich",11,11,111,69,22,0,224,304
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 23","Woolwich",Merged with No./Fusionné avec le n°22,,,,,,,294
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 24","Woolwich",6,19,73,54,26,2,180,420
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 25","Woolwich",2,13,33,38,19,1,106,289
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 26","Woolwich",2,2,40,41,9,0,94,231
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 27","Woolwich",4,7,62,47,20,0,140,325
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 28","Woolwich",4,17,117,73,19,0,230,581
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 29","West Montrose",4,8,77,60,15,0,164,332
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 30","Winterbourne",8,17,61,64,13,0,163,389
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 31","Conestogo",7,4,94,46,3,1,155,330
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 32","Woolwich",5,13,51,42,15,0,126,265
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 33","Woolwich",8,16,72,45,13,2,156,297
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 34","Wellesley",Merged with No./Fusionné avec le n°35,,,,,,,278
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 35","Wellesley",6,31,88,56,11,3,195,478
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 36","Winterbourne",4,13,65,42,11,1,136,346
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 37","Maryhill",5,9,39,38,9,0,100,306
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 38A","Maryhill",5,8,55,43,14,0,125,315
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 38B","Mobile poll/Bureau itinérant",0,0,3,2,0,0,5,23
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 39","Maryhill",9,13,54,30,19,0,125,312
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 40","Bloomingdale",12,9,62,40,16,3,142,333
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 41","Linwood",2,10,75,31,15,0,133,336
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 42","Linwood",7,24,66,57,15,0,169,357
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 43","Wellesley",2,3,26,19,5,0,55,366
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 44","Woolwich",3,7,39,46,15,0,110,283
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 45","St. Jacobs",2,4,75,72,25,2,180,461
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 46","St. Jacobs",5,5,31,57,13,0,111,281
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 47","St. Jacobs",10,8,61,54,14,1,148,357
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 48","Woolwich",6,8,77,48,16,0,155,444
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 49","Woolwich",1,5,30,29,12,0,77,229
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 50","Breslau",19,23,113,92,41,3,291,751
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 51","Breslau",5,8,63,45,7,1,129,343
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 52","Breslau",5,12,61,43,14,2,137,355
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 53","Breslau",6,8,50,47,19,0,130,367
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 54","Wellesley",4,10,75,31,22,2,144,374
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 55","Wellesley",8,6,70,75,19,0,178,432
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 56","St. Clements",4,15,48,26,23,0,116,297
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 57","Wellesley",4,13,52,34,13,1,117,316
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 58","Wellesley",6,12,78,53,36,0,185,478
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 59","Wellesley",4,11,51,15,4,0,85,407
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 60","Wellesley",2,10,59,43,10,0,124,338
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 61","Breslau",4,8,51,41,15,0,119,294
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 62","Breslau",8,6,55,41,12,3,125,289
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 63","Breslau",7,10,46,57,22,1,143,373
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 64","Breslau",17,15,120,109,48,0,309,797
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 65","Wellesley",Merged with No./Fusionné avec le n°66,,,,,,,314
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 66","Wellesley",10,27,121,67,22,0,247,420
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 67","Wellesley",6,8,67,33,21,0,135,388
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 68","Wellesley",9,5,52,38,20,0,124,321
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 69","Wellesley",6,20,75,62,23,2,188,457
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 70","Wellesley",15,26,139,69,32,1,282,323
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 71","Wellesley",3,15,79,12,59,0,168,461
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 72","Wellesley",8,14,67,64,18,0,171,354
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 73","Wilmot",Merged with No./Fusionné avec le n°70,,,,,,,320
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 74","Kitchener",Merged with No./Fusionné avec le n°75,,,,,,,376
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 75","Kitchener",11,13,81,159,35,6,305,397
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 76A","Kitchener",Merged with No./Fusionné avec le n°78A,,,,,,,224
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 76B","Kitchener",Merged with No./Fusionné avec le n°78B,,,,,,,213
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 77","Kitchener",4,24,70,96,36,4,234,332
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 78A","Kitchener",8,15,90,122,31,4,270,276
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 78B","Kitchener",13,8,73,152,31,1,278,266
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 79A","Kitchener",Merged with No./Fusionné avec le n°78A,,,,,,,253
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 79B","Kitchener",Merged with No./Fusionné avec le n°78B,,,,,,,201
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 80A","Kitchener",Merged with No./Fusionné avec le n°81A,,,,,,,223
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 80B","Kitchener",Merged with No./Fusionné avec le n°81B,,,,,,,244
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 81A","Kitchener",10,20,78,131,37,1,277,267
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 81B","Kitchener",6,18,96,141,39,1,301,257
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 82A","Kitchener",Merged with No./Fusionné avec le n°81A,,,,,,,275
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 82B","Kitchener",Merged with No./Fusionné avec le n°81B,,,,,,,226
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 83A","Kitchener",Merged with No./Fusionné avec le n°95A,,,,,,,192
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 83B","Kitchener",Merged with No./Fusionné avec le n°95B,,,,,,,207
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 84A","Kitchener",Merged with No./Fusionné avec le n°85A,,,,,,,229
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 84B","Kitchener",Merged with No./Fusionné avec le n°85B,,,,,,,229
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 85A","Kitchener",12,25,72,117,28,3,257,282
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 85B","Kitchener",11,18,87,118,38,4,276,217
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 86","Kitchener",Merged with No./Fusionné avec le n°77,,,,,,,291
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 87","Kitchener",7,11,33,59,18,2,130,382
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 88","Kitchener",8,14,30,60,30,4,146,410
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 89","Kitchener",17,13,42,73,31,2,178,499
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 90","Wilmot",8,12,87,70,12,1,190,462
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 91","Wilmot",8,8,72,34,19,0,141,342
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 92","Wilmot",10,14,51,46,19,0,140,364
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 93","St. Agatha",9,10,71,67,21,0,178,421
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 94A","Kitchener",Merged with No./Fusionné avec le n°95A,,,,,,,257
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 94B","Kitchener",Merged with No./Fusionné avec le n°95B,,,,,,,209
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 95A","Kitchener",15,13,82,127,40,0,277,265
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 95B","Kitchener",7,11,91,92,38,5,244,212
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 96A","Kitchener",Merged with No./Fusionné avec le n°99A,,,,,,,175
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 96B","Kitchener",Merged with No./Fusionné avec le n°99B,,,,,,,172
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 97A","Kitchener",Merged with No./Fusionné avec le n°85A,,,,,,,236
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 97B","Kitchener",Merged with No./Fusionné avec le n°85B,,,,,,,218
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 98A","Kitchener",Merged with No./Fusionné avec le n°99A,,,,,,,255
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 98B","Kitchener",Merged with No./Fusionné avec le n°99B,,,,,,,223
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 99A","Kitchener",13,18,81,115,55,2,284,329
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 99B","Kitchener",8,6,68,98,40,0,220,313
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 100A","Mobile poll/Bureau itinérant",4,0,4,10,3,0,21,70
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 100B","Mobile poll/Bureau itinérant",2,2,15,27,1,1,48,56
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 101A","Kitchener",Merged with No./Fusionné avec le n°105A,,,,,,,224
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 101B","Kitchener",Merged with No./Fusionné avec le n°105B,,,,,,,207
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 102A","Kitchener",Merged with No./Fusionné avec le n°104A,,,,,,,179
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 102B","Kitchener",Merged with No./Fusionné avec le n°104B,,,,,,,191
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 103A","Kitchener",Merged with No./Fusionné avec le n°104A,,,,,,,184
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 103B","Kitchener",Merged with No./Fusionné avec le n°104B,,,,,,,163
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 104A","Kitchener",13,15,66,83,27,4,208,155
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 104B","Kitchener",9,9,55,96,32,1,202,166
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 105A","Kitchener",11,3,53,63,25,0,155,245
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 105B","Kitchener",8,11,67,59,31,0,176,293
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 106","Kitchener",15,13,92,128,54,2,304,407
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 107","Kitchener",Merged with No./Fusionné avec le n°106,,,,,,,393
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 108","Kitchener",14,13,104,155,43,2,331,442
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 109","Kitchener",Merged with No./Fusionné avec le n°108,,,,,,,362
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 110","Kitchener",5,8,19,38,19,1,90,240
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 111","Kitchener",Merged with No./Fusionné avec le n°112,,,,,,,439
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 112","Kitchener",20,22,118,156,67,1,384,555
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 113","Kitchener",Merged with No./Fusionné avec le n°114,,,,,,,433
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 114","Kitchener",26,17,83,127,64,3,320,444
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 115","Kitchener",Merged with No./Fusionné avec le n°116,,,,,,,374
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 116","Kitchener",17,16,86,130,43,1,293,442
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 117","Kitchener",Merged with No./Fusionné avec le n°118,,,,,,,363
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 118","Kitchener",21,10,90,132,38,0,291,420
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 119A","Kitchener",Merged with No./Fusionné avec le n°121A,,,,,,,243
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 119B","Kitchener",Merged with No./Fusionné avec le n°121B,,,,,,,211
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 120A","Kitchener",Merged with No./Fusionné avec le n°121A,,,,,,,249
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 120B","Kitchener",Merged with No./Fusionné avec le n°121B,,,,,,,209
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 121A","Kitchener",13,21,83,128,44,2,291,268
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 121B","Kitchener",11,9,74,85,38,0,217,230
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 122","Kitchener",Merged with No./Fusionné avec le n°123,,,,,,,398
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 123","Kitchener",11,15,98,159,52,5,340,444
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 124","Kitchener",1,15,59,66,20,0,161,406
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 125","Kitchener",3,14,31,48,25,2,123,311
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 126","Kitchener",7,12,50,56,20,7,152,376
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 127","Kitchener",8,18,50,64,53,0,193,472
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 128","Kitchener",4,13,50,62,25,2,156,409
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 129","Kitchener",8,23,53,81,25,3,193,546
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 130","Kitchener",8,12,62,84,29,0,195,470
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 131","Kitchener",2,13,48,70,25,0,158,419
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 132","Kitchener",12,11,54,66,33,1,177,474
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 133","Kitchener",11,15,59,68,29,1,183,494
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 134","Kitchener",5,13,49,64,27,1,159,400
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 135","Kitchener",3,9,56,64,15,0,147,367
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 136","Kitchener",5,10,37,49,20,1,122,312
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 137A","Mobile poll/Bureau itinérant",1,2,9,30,4,1,47,53
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 137B","Mobile poll/Bureau itinérant",3,1,13,17,6,0,40,60
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 138","Kitchener",5,11,34,41,20,1,112,351
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 139","Kitchener",3,12,55,60,31,0,161,424
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 140","Kitchener",2,18,59,85,28,0,192,585
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 141","Kitchener",3,6,54,63,13,0,139,463
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 142","Kitchener",4,13,64,85,35,1,202,505
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 143","Wilmot",5,6,80,129,11,2,233,408
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 144","Kitchener",6,16,38,72,20,0,152,387
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 145","Kitchener",4,21,32,54,17,0,128,339
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 146","Kitchener",5,11,56,58,16,0,146,418
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 147","Kitchener",6,13,45,58,21,1,144,468
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 148","Kitchener",5,9,52,77,42,0,185,484
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 149","Kitchener",5,16,76,128,29,2,256,614
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 150","Mannheim",7,13,64,40,12,1,137,392
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 151","Wilmot",15,17,79,85,22,0,218,502
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 152","Wilmot",9,14,101,93,35,0,252,502
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 153","Wilmot",19,9,92,90,29,0,239,475
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 154","Baden",7,7,77,34,16,1,142,341
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 155","Wilmot",5,11,81,73,43,3,216,508
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 156","Baden",3,10,64,55,24,2,158,405
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 157","Wilmot",5,21,45,44,12,0,127,334
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 158","Kitchener",1,3,32,48,7,2,93,249
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 159","Kitchener",5,6,32,64,22,1,130,363
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 160","Kitchener",7,12,50,82,18,1,170,412
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 161","Kitchener",5,6,27,55,14,0,107,346
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 162","Kitchener",2,4,34,55,13,0,108,313
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 163","Kitchener",3,8,39,42,17,0,109,277
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 164","Baden",14,7,55,52,14,0,142,301
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 165","Baden",6,5,40,47,22,0,120,286
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 166","Baden",11,16,65,65,31,0,188,434
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 167","Baden",6,4,49,45,9,1,114,295
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 168","Wilmot",14,20,74,63,29,0,200,480
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 169","New Hamburg",8,7,106,93,27,2,243,586
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 170","New Hamburg",3,15,65,55,23,2,163,452
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 171","New Hamburg",9,10,58,50,30,0,157,414
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 172","New Hamburg",7,9,32,35,28,1,112,264
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 173","New Hamburg",5,7,40,27,15,0,94,259
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 174","New Hamburg",15,16,53,59,30,0,173,443
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 175","New Hamburg",9,13,75,37,39,0,173,454
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 176","New Hamburg",8,13,94,80,51,0,246,558
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 177A","New Hamburg",Merged with No./Fusionné avec le n°179A,,,,,,,110
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 177B","New Hamburg",Merged with No./Fusionné avec le n°179B,,,,,,,108
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 177C","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°178C,,,,,,,5
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 178A","New Hamburg",Merged with No./Fusionné avec le n°179A,,,,,,,91
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 178B","New Hamburg",Merged with No./Fusionné avec le n°179B,,,,,,,74
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 178C","Mobile poll/Bureau itinérant",3,0,21,31,2,0,57,149
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 179A","New Hamburg",4,13,66,55,19,0,157,203
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 179B","New Hamburg",2,9,52,59,16,1,139,138
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 180","New Dundee",6,20,116,75,25,3,245,463
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 181","New Dundee",8,17,101,85,27,1,239,379
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 182","New Dundee",12,22,98,70,18,1,221,399
