Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Gordon Francey,Michael Manchen,Todd Muir,Guillaume Roy,Sheila Schumacher,Gerald Soroka,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48034,"Yellowhead/Yellowhead"," 1","Grande Cache",Merged with No./Fusionné avec le n°4,,,,,,,,255
48034,"Yellowhead/Yellowhead"," 2","Grande Cache",1,12,2,15,14,101,1,146,403
48034,"Yellowhead/Yellowhead"," 3","Grande Cache",1,14,11,14,10,78,1,129,403
48034,"Yellowhead/Yellowhead"," 4","Grande Cache",0,24,3,36,13,140,1,217,299
48034,"Yellowhead/Yellowhead"," 5","Grande Cache",Merged with No./Fusionné avec le n°6,,,,,,,,243
48034,"Yellowhead/Yellowhead"," 6","Grande Cache",0,15,8,34,10,134,4,205,341
48034,"Yellowhead/Yellowhead"," 7","Grande Cache",0,10,3,18,13,59,2,105,363
48034,"Yellowhead/Yellowhead"," 8","Grande Cache",0,12,2,29,7,56,0,106,312
48034,"Yellowhead/Yellowhead"," 9","Cadomin--Swan Landing",4,19,9,21,19,101,1,174,581
48034,"Yellowhead/Yellowhead"," 10","Hinton",1,17,3,23,11,114,2,171,571
48034,"Yellowhead/Yellowhead"," 11","Hinton",0,6,2,28,5,68,2,111,372
48034,"Yellowhead/Yellowhead"," 12","Hinton",2,10,0,34,2,95,2,145,436
48034,"Yellowhead/Yellowhead"," 13","Hinton",1,15,2,21,5,62,1,107,380
48034,"Yellowhead/Yellowhead"," 14","Hinton",0,18,4,26,14,95,0,157,428
48034,"Yellowhead/Yellowhead"," 15","Hinton",1,13,4,36,6,93,0,153,457
48034,"Yellowhead/Yellowhead"," 16","Hinton",0,13,1,16,3,34,2,69,350
48034,"Yellowhead/Yellowhead"," 17","Hinton",0,13,0,21,11,79,1,125,351
48034,"Yellowhead/Yellowhead"," 18","Hinton",0,15,3,24,12,105,1,160,342
48034,"Yellowhead/Yellowhead"," 19","Hinton",1,17,1,20,6,44,7,96,312
48034,"Yellowhead/Yellowhead"," 20","Hinton",0,14,3,35,6,96,0,154,396
48034,"Yellowhead/Yellowhead"," 21","Hinton",0,17,5,11,10,50,0,93,472
48034,"Yellowhead/Yellowhead"," 22","Hinton",0,12,1,25,14,71,3,126,462
48034,"Yellowhead/Yellowhead"," 23","Hinton",0,18,4,24,13,94,1,154,415
48034,"Yellowhead/Yellowhead"," 24","Hinton",0,7,1,19,7,84,0,118,318
48034,"Yellowhead/Yellowhead"," 25","Hinton",1,14,4,43,17,95,1,175,524
48034,"Yellowhead/Yellowhead"," 26","Hinton",1,16,4,24,20,92,2,159,412
48034,"Yellowhead/Yellowhead"," 27","Hinton",1,12,1,32,11,111,4,172,449
48034,"Yellowhead/Yellowhead"," 28","Yellowhead County",2,16,6,11,0,71,0,106,296
48034,"Yellowhead/Yellowhead"," 29","Yellowhead County",1,10,1,2,5,77,0,96,228
48034,"Yellowhead/Yellowhead"," 30","Marlboro",1,18,1,15,3,88,0,126,358
48034,"Yellowhead/Yellowhead"," 31","Yellowhead County",0,3,0,1,5,61,0,70,214
48034,"Yellowhead/Yellowhead"," 32","Yellowhead County",0,10,2,7,3,66,0,88,237
48034,"Yellowhead/Yellowhead"," 33","Yellowhead County",0,16,1,11,5,90,0,123,300
48034,"Yellowhead/Yellowhead"," 34","Edson",0,11,0,13,10,83,1,118,321
