Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Hamish Graham,Estelle Hjertaas,Randy Hoback,Ken MacDougall,Joseph McCrea,Heather Schmitt,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47006,"Prince Albert/Prince Albert"," 20","Prince Albert",3,33,64,49,11,1,2,163,523
47006,"Prince Albert/Prince Albert"," 21","Prince Albert",2,26,50,31,6,2,1,118,465
47006,"Prince Albert/Prince Albert"," 22","Prince Albert",0,21,89,44,9,1,0,164,585
47006,"Prince Albert/Prince Albert"," 23","Prince Albert",2,25,97,33,5,2,0,164,454
47006,"Prince Albert/Prince Albert"," 24","Prince Albert",0,23,43,24,2,2,2,96,221
47006,"Prince Albert/Prince Albert"," 25","White Fox",0,5,106,11,22,2,0,146,302
47006,"Prince Albert/Prince Albert"," 26","Cherry Ridge",1,6,105,12,26,2,0,152,277
47006,"Prince Albert/Prince Albert"," 27","Prince Albert",3,18,48,31,10,0,1,111,454
47006,"Prince Albert/Prince Albert"," 28A","Prince Albert",1,14,24,22,5,2,0,68,301
47006,"Prince Albert/Prince Albert"," 28B","Mobile poll/Bureau itinérant",0,7,4,0,0,0,0,11,13
47006,"Prince Albert/Prince Albert"," 29","Prince Albert",3,9,29,24,5,0,0,70,406
47006,"Prince Albert/Prince Albert"," 30","Prince Albert",0,21,47,36,3,1,3,111,463
47006,"Prince Albert/Prince Albert"," 31","Prince Albert",2,24,90,39,9,2,1,167,444
47006,"Prince Albert/Prince Albert"," 32","Prince Albert",4,13,60,28,3,1,0,109,437
47006,"Prince Albert/Prince Albert"," 33","Prince Albert",1,28,74,32,9,0,1,145,445
47006,"Prince Albert/Prince Albert"," 34","Prince Albert",1,19,26,30,12,0,0,88,409
47006,"Prince Albert/Prince Albert"," 35","Prince Albert",2,18,42,47,4,1,2,116,413
47006,"Prince Albert/Prince Albert"," 36","Prince Albert",0,18,34,21,10,0,1,84,404
47006,"Prince Albert/Prince Albert"," 37","Prince Albert",5,25,44,23,6,0,0,103,476
47006,"Prince Albert/Prince Albert"," 38","Prince Albert",1,14,52,33,7,1,1,109,404
47006,"Prince Albert/Prince Albert"," 39","Prince Albert",2,32,35,39,3,1,1,113,392
47006,"Prince Albert/Prince Albert"," 40","Prince Albert",2,25,32,32,6,0,0,97,459
47006,"Prince Albert/Prince Albert"," 41","Prince Albert",1,23,57,27,17,1,0,126,481
47006,"Prince Albert/Prince Albert"," 42","Prince Albert",1,22,63,38,13,3,0,140,444
47006,"Prince Albert/Prince Albert"," 43","Prince Albert",3,24,55,25,9,2,0,118,476
47006,"Prince Albert/Prince Albert"," 44","Prince Albert",0,15,85,37,5,0,0,142,479
47006,"Prince Albert/Prince Albert"," 45","Prince Albert",1,18,84,35,13,0,0,151,486
47006,"Prince Albert/Prince Albert"," 46","Prince Albert",0,14,49,29,6,1,0,99,480
47006,"Prince Albert/Prince Albert"," 47","Prince Albert",1,32,84,23,5,0,0,145,405
47006,"Prince Albert/Prince Albert"," 48A","Prince Albert",1,23,69,32,5,1,0,131,400
47006,"Prince Albert/Prince Albert"," 48B","Mobile poll/Bureau itinérant",1,2,2,3,0,0,0,8,15
47006,"Prince Albert/Prince Albert"," 49","Prince Albert",0,23,76,30,10,2,0,141,463
47006,"Prince Albert/Prince Albert"," 50","Prince Albert",6,52,133,88,12,1,1,293,391
47006,"Prince Albert/Prince Albert"," 51","Prince Albert",Merged with No./Fusionné avec le n°50,,,,,,,,408
47006,"Prince Albert/Prince Albert"," 52","Prince Albert",1,25,52,32,3,0,0,113,466
47006,"Prince Albert/Prince Albert"," 53","Prince Albert",0,27,79,36,8,3,0,153,461
47006,"Prince Albert/Prince Albert"," 54","Prince Albert",1,13,70,26,6,0,0,116,390
47006,"Prince Albert/Prince Albert"," 55","Prince Albert",4,37,98,40,7,1,2,189,564
47006,"Prince Albert/Prince Albert"," 56","Prince Albert",0,17,80,20,8,2,0,127,398
47006,"Prince Albert/Prince Albert"," 57","Prince Albert",3,22,58,27,4,2,0,116,389
47006,"Prince Albert/Prince Albert"," 58","Prince Albert",4,18,73,34,9,1,0,139,367
47006,"Prince Albert/Prince Albert"," 59","Prince Albert",3,11,53,20,7,0,0,94,369
47006,"Prince Albert/Prince Albert"," 60","Prince Albert",3,28,67,30,7,0,0,135,448
47006,"Prince Albert/Prince Albert"," 61","Prince Albert",1,27,135,22,8,0,0,193,562
47006,"Prince Albert/Prince Albert"," 62","Prince Albert",3,19,148,26,10,1,0,207,411
47006,"Prince Albert/Prince Albert"," 63","Prince Albert",0,38,123,56,13,1,0,231,498
47006,"Prince Albert/Prince Albert"," 64","Nipawin",2,5,111,12,34,3,0,167,469
47006,"Prince Albert/Prince Albert"," 65","Nipawin",0,8,66,9,13,1,2,99,368
47006,"Prince Albert/Prince Albert"," 66","Nipawin",2,6,74,9,23,1,0,115,449
47006,"Prince Albert/Prince Albert"," 67","Nipawin",0,2,31,8,9,0,0,50,207
47006,"Prince Albert/Prince Albert"," 68","Nipawin",1,13,117,26,14,0,1,172,447
47006,"Prince Albert/Prince Albert"," 69","Nipawin",1,8,71,4,18,0,0,102,278
47006,"Prince Albert/Prince Albert"," 70","Nipawin",5,18,98,19,23,0,0,163,453
47006,"Prince Albert/Prince Albert"," 71","Nipawin",0,4,40,9,10,0,0,63,214
47006,"Prince Albert/Prince Albert"," 72","Nipawin",1,11,103,14,16,1,1,147,363
47006,"Prince Albert/Prince Albert"," 73","Nipawin",0,3,52,7,16,0,0,78,217
47006,"Prince Albert/Prince Albert"," 74","Prince Albert",2,18,137,42,14,2,1,216,545
47006,"Prince Albert/Prince Albert"," 75","Prince Albert",1,12,80,34,12,0,2,141,378
47006,"Prince Albert/Prince Albert"," 76","Prince Albert",3,20,43,20,2,1,0,89,367
