Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Tyler Beauchamp,Travis Calliou,Hugo Charles,Mike Lake,Ron Thiering,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 1","Edmonton",18,1,74,123,82,0,298,937
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 2","Edmonton",12,3,67,186,72,0,340,1000
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 3","Edmonton",14,1,101,137,91,2,346,881
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 4A","Edmonton",31,0,144,139,98,3,415,994
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 4B","Edmonton",15,0,96,160,88,3,362,842
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 5","Edmonton",Merged with No./Fusionné avec le n°6,,,,,,,449
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 6","Edmonton",15,1,86,204,89,2,397,654
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 7A","Edmonton",15,2,69,137,82,0,305,850
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 7B","Edmonton",12,1,102,130,98,4,347,798
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 8A","Edmonton",13,0,74,79,46,1,213,558
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 8B","Edmonton",19,1,65,89,32,0,206,492
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 9","Edmonton",7,1,84,121,74,3,290,684
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 10","Edmonton",12,1,59,97,33,0,202,453
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 11","Edmonton",Merged with No./Fusionné avec le n°13,,,,,,,376
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 12","Edmonton",22,0,98,114,55,0,289,822
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 13","Edmonton",16,2,100,146,67,0,331,388
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 14","Edmonton",10,0,54,78,48,2,192,437
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 15","Edmonton",Merged with No./Fusionné avec le n°16,,,,,,,338
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 16","Edmonton",15,0,78,128,58,2,281,375
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 17","Edmonton",Merged with No./Fusionné avec le n°18,,,,,,,387
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 18","Edmonton",24,1,78,91,67,5,266,397
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 19","Edmonton",12,2,94,121,42,5,276,464
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 20","Edmonton",Merged with No./Fusionné avec le n°19,,,,,,,408
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 21","Edmonton",5,0,51,59,50,0,165,470
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 22","Edmonton",10,1,61,60,41,0,173,554
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 23","Edmonton",13,0,62,91,41,3,210,544
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 24A","Edmonton",15,2,86,111,70,2,286,701
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 24B","Edmonton",16,0,80,115,54,3,268,635
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 25A","Edmonton",8,0,30,38,40,0,116,355
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 25B","Edmonton",7,0,36,39,30,3,115,363
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 26","Edmonton",20,1,83,121,84,2,311,789
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 27","Edmonton",18,1,56,103,61,0,239,583
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 28A","Edmonton",19,0,59,93,63,1,235,622
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 28B","Edmonton",10,0,49,75,56,0,190,611
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 29","Edmonton",9,0,51,67,31,0,158,453
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 30","Edmonton",15,2,63,98,57,0,235,520
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 31","Edmonton",8,1,78,90,59,0,236,581
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 32","Edmonton ",Void/Supprimé,,,,,,,
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 33","Edmonton",18,2,76,122,66,1,285,858
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 34","Edmonton",5,0,42,87,88,2,224,591
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 35","Edmonton",9,2,42,83,33,5,174,467
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 36","Edmonton",6,0,69,69,35,0,179,355
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 37","Edmonton",Merged with No./Fusionné avec le n°36,,,,,,,236
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 38","Edmonton",12,2,82,123,48,1,268,393
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 39","Edmonton",Merged with No./Fusionné avec le n°38,,,,,,,382
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 40","Edmonton",5,0,36,80,45,0,166,372
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 41","Edmonton",8,0,70,107,77,2,264,627
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 42","Edmonton",11,0,90,153,134,4,392,1023
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 43","Edmonton",12,0,52,90,51,2,207,542
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 44","Edmonton",18,0,36,57,46,1,158,486
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 45","Edmonton",20,0,74,102,60,1,257,735
