Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Massimo Anania,Mario Beaulieu,Jonathan Desclin,Jonas Fadeu,Agnès Falquet,Charles Phillippe Gervais,Genevieve Royer,Alexandre Vallerand,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 204","Montréal",2,60,4,46,3,0,1,26,2,144,361
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 205","Montréal",7,73,4,52,2,1,0,24,2,165,383
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 206","Montréal",12,64,3,52,0,0,0,27,1,159,365
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 207","Montréal",9,52,6,58,0,0,0,38,8,171,415
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 208","Montréal",24,65,6,82,3,0,3,36,3,222,424
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 209","Montréal",26,46,6,111,4,2,0,37,9,241,439
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 210","Montréal",11,61,9,57,1,0,0,35,2,176,393
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 211","Montréal",5,29,7,55,0,0,0,21,3,120,347
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 400A","Montréal",9,52,3,49,2,2,1,3,5,126,181
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 400B","Montréal",7,65,2,46,1,0,0,1,7,129,194
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 401","Montréal",7,56,0,48,2,0,1,0,2,116,169
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 402A","Montréal",8,66,2,77,3,1,1,3,5,166,229
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 402B","Montréal",16,64,3,81,0,1,0,2,8,175,230
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 500","Mobile poll/Bureau itinérant",Results combined with no. 504/Résultats combinés au n° 504,,,,,,,,,,13
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 501","Mobile poll/Bureau itinérant",Results combined with no. 504/Résultats combinés au n° 504,,,,,,,,,,22
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 502","Mobile poll/Bureau itinérant",Results combined with no. 504/Résultats combinés au n° 504,,,,,,,,,,21
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 503","Montréal",Merged with No./Fusionné avec le n°400A,,,,,,,,,,14
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 504","Mobile poll/Bureau itinérant",9,14,2,38,3,1,2,1,11,81,31
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 505","Mobile poll/Bureau itinérant",Results combined with no. 521/Résultats combinés au n° 521,,,,,,,,,,18
