Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Bianca Boutin,Daniel Brisson,Tommy Bureau,Jean-Yves Duclos,Patrick Kerr,Louis Sansfaçon,Karine Simard,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24059,"Québec/Québec"," 1","Québec",33,8,13,76,5,65,4,3,207,546
24059,"Québec/Québec"," 2","Québec",26,3,25,82,2,68,0,5,211,525
24059,"Québec/Québec"," 3","Québec",15,3,28,66,4,54,0,6,176,381
24059,"Québec/Québec"," 4","Québec",17,2,22,68,4,57,1,0,171,340
24059,"Québec/Québec"," 5","Québec",20,6,28,43,4,27,1,1,130,319
24059,"Québec/Québec"," 6","Québec",11,7,13,42,5,22,1,1,102,369
24059,"Québec/Québec"," 7","Québec",22,2,25,62,11,65,2,1,190,436
24059,"Québec/Québec"," 8","Québec",17,3,30,45,4,26,3,1,129,309
24059,"Québec/Québec"," 9","Québec",5,2,12,36,1,36,3,1,96,369
24059,"Québec/Québec"," 10","Québec",16,2,30,73,12,67,0,3,203,430
24059,"Québec/Québec"," 11","Québec",18,0,14,65,2,61,0,1,161,526
24059,"Québec/Québec"," 12","Québec",5,4,63,47,5,27,4,4,159,328
24059,"Québec/Québec"," 13","Québec",11,2,31,36,6,23,0,1,110,298
24059,"Québec/Québec"," 14","Québec",39,6,36,76,4,66,1,3,231,709
24059,"Québec/Québec"," 15","Québec",12,0,10,29,5,26,0,2,84,318
24059,"Québec/Québec"," 16","Québec",65,5,19,41,3,28,1,1,163,488
24059,"Québec/Québec"," 17","Québec",55,5,16,29,3,34,0,5,147,349
24059,"Québec/Québec"," 18","Québec",46,2,9,30,3,23,3,8,124,313
24059,"Québec/Québec"," 19","Québec",26,1,14,34,0,29,2,3,109,344
24059,"Québec/Québec"," 20","Québec",36,2,7,40,3,19,3,4,114,331
24059,"Québec/Québec"," 21","Québec",53,4,6,39,5,19,0,2,128,347
24059,"Québec/Québec"," 22","Québec",36,3,14,34,4,18,1,1,111,412
24059,"Québec/Québec"," 23","Québec",23,0,8,36,1,25,1,0,94,316
24059,"Québec/Québec"," 24","Québec",29,4,14,34,4,19,2,1,107,384
24059,"Québec/Québec"," 25","Québec",7,3,35,34,6,26,0,1,112,313
24059,"Québec/Québec"," 26","Québec",2,3,45,46,0,25,1,4,126,316
24059,"Québec/Québec"," 27","Québec",5,1,23,36,2,15,2,6,90,252
24059,"Québec/Québec"," 28","Québec",8,7,44,31,7,24,1,1,123,309
24059,"Québec/Québec"," 29","Québec",20,5,62,72,9,70,1,3,242,455
24059,"Québec/Québec"," 30","Québec",12,2,55,43,9,49,0,3,173,360
24059,"Québec/Québec"," 31","Québec",8,1,32,33,3,34,1,4,116,298
24059,"Québec/Québec"," 32","Québec",8,2,73,64,13,51,0,3,214,425
24059,"Québec/Québec"," 33","Québec",47,6,18,76,6,81,1,3,238,440
24059,"Québec/Québec"," 34","Québec",32,5,21,80,2,76,1,2,219,431
24059,"Québec/Québec"," 35","Québec",13,3,30,37,7,50,0,6,146,473
24059,"Québec/Québec"," 36","Québec",5,0,20,24,4,28,0,3,84,310
24059,"Québec/Québec"," 37","Québec",11,2,28,42,7,51,2,4,147,372
24059,"Québec/Québec"," 38","Québec",5,0,18,32,2,26,0,3,86,358
24059,"Québec/Québec"," 39","Québec",31,3,25,76,7,65,1,4,212,485
24059,"Québec/Québec"," 40","Québec",39,2,4,23,2,25,0,3,98,323
24059,"Québec/Québec"," 41","Québec",30,4,7,33,2,35,2,0,113,391
24059,"Québec/Québec"," 42","Québec",36,3,10,25,6,28,0,4,112,409
24059,"Québec/Québec"," 43","Québec",22,1,4,48,3,18,2,4,102,356
24059,"Québec/Québec"," 44","Québec",35,4,18,42,6,30,1,4,140,388
24059,"Québec/Québec"," 45","Québec",45,2,7,28,5,15,4,1,107,354
24059,"Québec/Québec"," 46","Québec",31,5,13,28,4,35,0,3,119,351
24059,"Québec/Québec"," 47","Québec",11,3,46,37,10,55,0,2,164,384
24059,"Québec/Québec"," 48","Québec",11,9,31,53,4,38,0,1,147,391
24059,"Québec/Québec"," 49","Québec",11,2,42,48,8,46,0,4,161,357
24059,"Québec/Québec"," 50","Québec",10,3,63,58,7,43,0,0,184,386
24059,"Québec/Québec"," 51","Québec",10,3,52,43,7,34,1,2,152,393
24059,"Québec/Québec"," 52","Québec",5,1,48,36,6,37,0,1,134,329
24059,"Québec/Québec"," 53","Québec",4,0,16,46,2,33,0,0,101,347
24059,"Québec/Québec"," 54","Québec",6,0,47,52,8,36,1,2,152,371
