Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Gary Anandasangaree,Zia Choudhary,Kingsley Arnold Kwok,Asad Rehman,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 1","Toronto",69,20,24,5,0,118,370
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 2","Toronto",115,21,12,2,0,150,358
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 3","Toronto",115,25,23,3,0,166,461
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 4","Toronto",107,17,20,2,0,146,379
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 5","Toronto",95,18,16,5,0,134,344
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 6","Toronto",104,26,17,2,0,149,395
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 7","Toronto",130,9,19,3,0,161,464
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 8","Toronto",76,13,10,4,1,104,296
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 9","Toronto",139,24,19,5,1,188,521
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 10","Toronto",97,13,20,3,1,134,494
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 11","Toronto",70,9,23,4,0,106,384
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 12","Toronto",103,15,17,4,2,141,394
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 13","Toronto",73,18,7,2,0,100,354
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 14","Toronto",96,34,13,10,1,154,422
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 15","Toronto",99,34,21,2,0,156,404
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 16","Toronto",126,38,24,1,1,190,416
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 17","Toronto",138,41,30,5,0,214,438
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 18","Toronto",144,29,32,2,0,207,420
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 19","Toronto",119,36,14,0,5,174,366
