Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Alexandre Boulerice,Gisèle Desrochers,Nancy Drolet,Franco Fiori,Surelys Perez Hernandez,Shophika Vaithyanathasarma,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 1","Montréal",78,2,70,2,15,56,4,227,502
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 2","Montréal",57,0,80,4,14,28,1,184,343
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 3","Montréal",40,2,37,0,11,21,2,113,395
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 4","Montréal",58,2,48,1,7,29,4,149,381
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 5","Montréal",101,0,45,3,3,50,24,226,550
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 6","Montréal",92,2,44,6,8,58,4,214,463
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 7","Montréal",50,1,86,10,5,27,1,180,515
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 8","Montréal",47,1,43,3,7,26,3,130,316
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 9","Montréal",62,1,62,5,6,30,2,168,369
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 10","Montréal",50,1,57,3,27,35,7,180,316
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 11","Montréal",73,1,59,6,15,42,5,201,405
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 12","Montréal",66,0,56,3,15,36,2,178,397
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 13","Montréal",80,2,37,9,10,44,2,184,534
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 14","Montréal",61,1,50,4,11,37,3,167,360
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 15","Montréal",76,1,34,4,5,54,6,180,382
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 16","Montréal",67,2,32,6,15,31,1,154,437
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 17","Montréal",69,1,83,4,11,41,4,213,504
