Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,David Anber,Eric Duncan,Trevor Kennedy,Denis Moquin,Jeanie Warnock,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 1","Dalhousie Mills",20,65,23,61,8,2,179,427
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 2","Glen Nevis",11,60,16,37,2,3,129,310
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 3","North Lancaster",27,65,16,42,3,0,153,339
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 4","Glen Norman",17,48,22,38,2,1,128,393
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 5","Brown House Corner",24,47,14,22,2,1,110,302
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 6","Glenroy",14,52,16,32,6,1,121,341
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 7","Glenroy",15,60,12,35,2,0,124,358
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 8","Curry Hill",12,42,19,46,6,0,125,276
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 9","South Glengarry",17,35,25,38,6,0,121,295
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 10","South Glengarry",15,50,20,54,1,4,144,287
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 11","Bainsville",5,56,3,40,3,0,107,309
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 12","Tayside",4,62,14,31,2,0,113,295
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 13","Tayside",20,88,17,44,2,1,172,401
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 14","Moose Creek",11,57,23,29,5,0,125,321
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 15","Williamstown",14,119,33,49,9,5,229,552
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 16","Williamstown",15,112,15,46,4,2,194,425
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 17","Summerstown Station",11,77,18,29,1,0,136,326
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 18","Avondale",9,58,10,21,5,0,103,290
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 19","Martintown",8,60,11,21,6,3,109,323
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 20","Martintown",17,50,13,24,1,0,105,330
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 21","Martintown--Glenbrook",17,78,13,30,2,2,142,343
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 22","Lancaster",22,47,15,43,3,0,130,442
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 23","South Lancaster",10,52,18,43,5,2,130,359
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 24","Lancaster",6,30,9,26,2,0,73,266
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 25","Camerons Point--Akwesasne no. 15",15,60,13,21,3,0,112,288
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 26","Gravel Hill",15,96,22,23,0,0,156,353
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 27","Monkland",14,98,17,23,1,0,153,339
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 28","Lodi",17,73,10,37,5,0,142,336
