Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Hugo Beaumont Tremblay,Valérie Bergeron,Jacques Bouchard,Jacynthe Bruneau,François-Philippe Champagne,Dji-Pé Frazer,Marie-Claude Gaudet,Alain Magnan,Marie Gabrielle Rouleau,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 63","Sainte-Anne-de-la-Pérade",0,12,30,51,48,0,2,1,3,2,149,277
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 64","Sainte-Anne-de-la-Pérade",0,8,26,26,34,1,1,1,1,5,103,232
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 65","Sainte-Anne-de-la-Pérade",2,16,32,48,59,1,3,1,2,11,175,322
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 66","Sainte-Anne-de-la-Pérade",0,7,32,46,84,1,2,0,3,6,181,372
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 67","Sainte-Anne-de-la-Pérade",3,11,47,59,84,1,1,3,2,8,219,436
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 68","Proulxville",0,7,24,45,52,1,2,1,9,6,147,248
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 69","Proulxville",0,4,61,64,90,5,6,1,7,10,248,417
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 70","Hérouxville",2,16,31,59,60,0,3,1,1,2,175,332
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 71","Hérouxville",1,9,42,76,75,2,2,0,10,11,228,445
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 72","Hérouxville",3,13,28,50,64,0,4,0,2,6,170,353
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 73","Saint-Stanislas",0,11,54,50,59,1,2,1,0,7,185,330
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 74","Saint-Stanislas",1,6,20,49,54,0,2,0,2,4,138,256
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 75","Saint-Stanislas",2,8,35,35,58,0,2,1,4,5,150,304
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 76","Shawinigan",0,8,24,58,62,0,4,0,3,4,163,340
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 77","Shawinigan",0,9,32,58,87,1,1,0,4,2,194,328
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 78","Shawinigan",1,11,38,65,79,1,4,0,0,3,202,493
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 79","Shawinigan",2,7,26,41,60,1,1,0,5,2,145,381
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 80","Shawinigan",0,14,26,46,60,1,0,1,6,5,159,399
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 81","Shawinigan",1,7,21,37,64,0,1,0,6,5,142,424
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 82","Shawinigan",4,18,19,44,41,0,2,0,3,4,135,418
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 83","Shawinigan",1,6,31,42,55,0,4,1,0,5,145,405
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 84","Shawinigan",0,12,32,53,61,0,4,0,4,4,170,434
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 85","Shawinigan",0,6,12,34,44,0,1,2,5,0,104,355
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 86","Shawinigan",2,6,9,49,51,1,2,0,0,3,123,366
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 87","Shawinigan",0,2,6,9,17,0,0,0,4,1,39,305
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 88","Shawinigan",1,8,16,36,61,0,1,2,2,5,132,365
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 89","Shawinigan",3,6,10,38,38,1,0,1,6,4,107,395
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 90","Shawinigan",4,5,8,38,36,0,1,0,4,5,101,372
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 91","Shawinigan",0,10,16,27,32,0,2,0,4,6,97,389
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 92","Shawinigan",0,11,13,47,60,1,6,1,4,1,144,444
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 93","Shawinigan",1,8,21,39,85,2,2,0,1,4,163,414
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 94","Shawinigan",1,11,14,30,41,0,1,0,3,1,102,342
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 95","Shawinigan",0,11,14,14,43,0,2,4,6,1,95,409
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 96","Sainte-Geneviève-de-Batiscan",1,5,31,27,38,0,4,0,4,1,111,297
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 97","Sainte-Geneviève-de-Batiscan",0,2,27,34,35,1,1,2,0,2,104,299
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 98","Sainte-Geneviève-de-Batiscan",0,6,29,38,41,0,2,0,0,4,120,281
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 99","Saint-Narcisse",1,12,55,49,57,0,4,1,2,3,184,395
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 100","Saint-Narcisse",0,10,35,50,68,0,2,0,2,1,168,322
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 101","Saint-Narcisse",2,4,33,39,39,2,0,1,5,6,131,293
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 102","Saint-Narcisse",2,17,36,53,79,0,1,1,2,3,194,474
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 103","Shawinigan",5,13,29,34,73,1,1,2,7,3,168,419
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 104","Shawinigan",1,6,32,52,80,0,1,1,4,3,180,383
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 105","Shawinigan",1,12,34,63,97,3,2,0,5,3,220,510
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 106","Shawinigan",1,11,29,64,119,0,8,0,4,3,239,505
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 107","Shawinigan",0,5,20,59,94,1,5,1,3,4,192,431
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 108","Shawinigan",3,7,30,44,61,1,0,1,3,6,156,407
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 109","Shawinigan",0,5,27,43,83,0,7,1,4,2,172,402
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 110","Shawinigan",0,6,23,28,64,1,5,0,4,3,134,383
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 111","Shawinigan",0,1,23,45,74,1,2,0,2,3,151,416
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 112","Shawinigan",0,14,30,57,51,0,3,0,1,6,162,405
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 113","Shawinigan",2,6,44,42,55,1,3,0,6,2,161,434
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 114","Shawinigan",0,19,36,66,78,7,4,0,4,7,221,487
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 115","Shawinigan",3,19,53,68,97,3,3,1,7,8,262,496
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 116","Shawinigan",1,9,40,69,70,0,2,1,5,1,198,498
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 117","Shawinigan",0,7,17,36,51,0,1,0,3,4,119,347
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 118","Shawinigan",2,9,17,35,56,2,3,0,1,4,129,400
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 119","Shawinigan",4,6,14,24,33,1,1,0,8,3,94,355
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 120","Shawinigan",2,7,7,27,42,0,3,2,3,2,95,377
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 121","Shawinigan",0,4,18,30,80,1,1,1,0,6,141,411
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 122","Shawinigan",0,4,12,22,41,0,3,0,3,2,87,300
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 123","Shawinigan",0,11,21,44,53,0,0,1,3,1,134,410
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 124","Shawinigan",0,8,11,28,45,0,6,1,2,4,105,391
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 125","Shawinigan",0,11,10,26,51,1,2,1,1,1,104,358
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 126","Shawinigan",0,9,14,36,53,0,2,0,0,4,118,372
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 127","Shawinigan",0,9,14,26,47,0,3,1,3,3,106,372
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 128","Shawinigan",0,5,23,53,66,4,5,2,9,0,167,474
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 129","Batiscan",1,12,55,64,60,1,4,1,7,4,209,447
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 130","Batiscan",0,8,37,93,66,1,3,0,1,2,211,393
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 131","Shawinigan",0,6,21,37,68,0,1,0,2,4,139,364
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 132","Shawinigan",1,5,28,28,55,0,0,0,3,1,121,350
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 133","Shawinigan",1,10,19,60,67,0,1,0,1,8,167,399
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 134","Shawinigan",2,5,11,50,49,0,1,1,0,1,120,342
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 135","Shawinigan",1,1,7,21,50,0,0,1,1,2,84,331
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 136","Shawinigan",1,8,7,37,58,2,1,0,4,4,122,361
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 137","Shawinigan",1,6,17,42,52,0,1,0,1,2,122,433
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 138","Shawinigan",3,13,19,35,61,2,0,0,4,3,140,368
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 139","Shawinigan",0,3,18,36,55,0,0,0,3,8,123,412
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 140","Shawinigan",1,6,19,34,46,0,1,1,0,3,111,363
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 141","Shawinigan",1,10,13,24,36,0,2,2,5,3,96,344
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 142","Shawinigan",0,5,21,49,58,1,5,1,2,0,142,390
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 143","Shawinigan",1,12,29,60,114,3,4,1,1,11,236,456
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 144","Shawinigan",1,5,22,52,85,2,3,0,4,3,177,379
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 145","Shawinigan",0,9,27,51,82,0,1,0,1,2,173,333
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 146","Shawinigan",1,3,28,41,41,1,1,0,1,0,117,337
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 147","Shawinigan",1,12,26,79,82,2,2,2,0,2,208,438
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 148","Shawinigan",0,10,26,45,58,0,9,0,7,3,158,386
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 149","Saint-Luc-de-Vincennes",2,15,29,41,34,0,0,0,1,2,124,219
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 150","Saint-Luc-de-Vincennes",1,4,30,41,32,1,4,0,2,4,119,231
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 151","Shawinigan",1,5,9,33,25,0,3,0,2,5,83,419
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 152","Shawinigan",2,8,9,18,27,1,0,0,2,7,74,341
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 153","Shawinigan",2,10,4,18,47,0,1,3,4,5,94,439
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 154","Shawinigan",3,5,10,21,42,1,2,0,1,3,88,390
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 155","Shawinigan",3,6,13,26,41,1,3,0,4,4,101,414
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 156","Shawinigan",2,10,6,31,43,1,3,0,2,0,98,441
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 157","Shawinigan",0,5,6,29,37,2,1,0,2,1,83,418
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 158","Shawinigan",1,7,16,54,153,0,1,0,0,9,241,371
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 159","Shawinigan",0,9,13,39,54,2,0,0,0,2,119,358
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 160A","Shawinigan",1,8,21,21,55,1,1,0,0,0,108,240
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 160B","Shawinigan",0,9,8,20,88,5,1,0,0,3,134,369
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 161A","Shawinigan",0,5,13,27,41,0,0,1,0,1,88,318
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 161B","Shawinigan",0,4,29,34,45,5,3,2,3,5,130,326
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 162","Shawinigan",0,4,18,26,58,0,2,1,4,1,114,370
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 163","Shawinigan",2,7,14,25,50,1,0,2,2,6,109,408
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 164","Shawinigan",2,3,26,36,61,0,3,0,1,7,139,433
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 165","Shawinigan",0,9,19,25,38,1,2,0,4,2,100,360
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 166","Shawinigan",0,8,22,36,53,0,2,1,3,6,131,431
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 167","Shawinigan",2,8,13,35,43,0,2,1,3,1,108,401
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 168","Shawinigan",1,5,15,29,51,1,3,0,1,5,111,353
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 169","Shawinigan",0,7,13,27,58,3,1,0,2,4,115,359
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 170","Shawinigan",0,13,7,28,51,2,1,0,3,1,106,352
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 171","Shawinigan",4,6,16,30,52,0,3,0,1,4,116,381
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 172","Shawinigan",2,17,15,34,54,2,3,1,1,2,131,489
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 173","Shawinigan",1,14,6,33,51,1,4,0,3,4,117,415
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 174","Shawinigan",6,10,15,27,42,3,2,3,1,1,110,371
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 175","Shawinigan",4,15,4,28,43,2,3,0,1,0,100,350
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 176","Shawinigan",0,19,22,41,69,3,3,0,2,2,161,465
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 177","Shawinigan",1,11,8,27,46,3,0,1,1,4,102,362
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 178","Saint-Maurice",0,17,46,34,50,0,1,0,4,1,153,283
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 179","Saint-Maurice",0,7,27,48,38,0,3,1,0,0,124,241
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 180","Saint-Maurice",1,14,38,47,42,0,4,1,1,1,149,311
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 181","Saint-Maurice",0,11,20,26,64,0,3,0,4,2,130,221
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 182","Saint-Maurice",0,15,54,41,47,3,5,0,0,8,173,311
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 183","Saint-Maurice",0,14,82,69,72,1,5,0,3,3,249,412
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 184","Saint-Maurice",0,8,67,48,58,0,2,2,2,2,189,412
