Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Hugo Beaumont Tremblay,Valérie Bergeron,Jacques Bouchard,Jacynthe Bruneau,François-Philippe Champagne,Dji-Pé Frazer,Marie-Claude Gaudet,Alain Magnan,Marie Gabrielle Rouleau,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 220A","Trois-Rivières",1,10,36,36,31,1,2,2,2,4,125,357
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 220B","Trois-Rivières",0,13,34,32,35,0,1,1,4,9,129,348
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 221","Trois-Rivières",0,5,46,44,46,1,2,1,2,2,149,429
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 222","Trois-Rivières",1,2,40,38,38,2,4,2,2,4,133,497
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 223","Trois-Rivières",2,21,44,49,43,0,1,2,5,3,170,493
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 224","Trois-Rivières",0,11,47,52,51,2,7,1,4,3,178,459
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 225","Trois-Rivières",0,15,46,58,51,1,0,0,4,3,178,511
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 226","Trois-Rivières",1,17,61,56,46,0,2,0,3,9,195,528
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 227","Trois-Rivières",1,11,15,36,43,0,5,1,2,2,116,413
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 228","Trois-Rivières",5,13,20,40,39,0,3,0,4,5,129,410
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 229","Trois-Rivières",0,6,28,34,38,1,2,1,1,1,112,393
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 230","Trois-Rivières",1,15,23,41,26,0,3,3,2,1,115,314
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 231","Trois-Rivières",0,15,42,76,35,0,5,0,6,1,180,497
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 232","Trois-Rivières",0,19,35,28,52,0,3,0,3,2,142,495
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 233","Trois-Rivières",0,14,38,53,53,0,0,0,0,3,161,372
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 234","Trois-Rivières",3,15,33,32,48,1,0,0,2,10,144,407
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 235","Trois-Rivières",0,14,44,49,27,0,3,1,0,2,140,398
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 236","Trois-Rivières",1,10,12,35,52,0,2,0,2,2,116,386
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 237","Trois-Rivières",2,5,43,33,29,0,2,1,5,1,121,415
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 238","Trois-Rivières",0,12,34,43,52,0,2,2,1,2,148,398
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 239","Trois-Rivières",0,12,25,34,25,1,1,0,4,4,106,356
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 240","Trois-Rivières",0,6,34,50,46,1,1,0,4,2,144,403
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 241","Trois-Rivières",1,16,48,51,48,0,7,0,8,1,180,450
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 242","Trois-Rivières",0,11,36,36,51,0,2,0,3,4,143,370
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 243","Trois-Rivières",1,24,81,80,84,1,5,0,5,11,292,771
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 400","Shawinigan",0,0,3,17,85,0,0,0,2,8,115,136
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 401","Shawinigan",1,1,7,15,79,4,0,0,0,7,114,149
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 402","Shawinigan",0,1,5,31,132,0,0,0,2,8,179,229
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 500","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°43,,,,,,,,,,,17
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 501","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°44,,,,,,,,,,,22
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 502","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°65,,,,,,,,,,,24
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 503","Mobile poll/Bureau itinérant",1,3,8,20,86,1,0,0,1,8,128,20
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 504","Mobile poll/Bureau itinérant",Results combined with no. 503/Résultats combinés au n° 503,,,,,,,,,,,80
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 505","Mobile poll/Bureau itinérant",Results combined with no. 503/Résultats combinés au n° 503,,,,,,,,,,,24
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 506","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°124,,,,,,,,,,,40
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 507","Mobile poll/Bureau itinérant",1,3,14,35,142,0,1,1,0,23,220,20
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 508","Mobile poll/Bureau itinérant",0,7,21,35,192,1,4,0,3,14,277,110
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 509","Mobile poll/Bureau itinérant",Results combined with no. 503/Résultats combinés au n° 503,,,,,,,,,,,27
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 510","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°159,,,,,,,,,,,27
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 511","Mobile poll/Bureau itinérant",Results combined with no. 507/Résultats combinés au n° 507,,,,,,,,,,,80
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 512","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°176,,,,,,,,,,,71
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 513","Mobile poll/Bureau itinérant",Results combined with no. 507/Résultats combinés au n° 507,,,,,,,,,,,37
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 514","Notre-Dame-du-Mont-Carmel",Merged with No./Fusionné avec le n°196,,,,,,,,,,,13
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 515","Trois-Rivières",Merged with No./Fusionné avec le n°232,,,,,,,,,,,23
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 516","Trois-Rivières",Merged with No./Fusionné avec le n°234,,,,,,,,,,,14
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 517","Trois-Rivières",Merged with No./Fusionné avec le n°232,,,,,,,,,,,0
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 518","Mobile poll/Bureau itinérant",Results combined with no. 508/Résultats combinés au n° 507,,,,,,,,,,,31
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 519","Mobile poll/Bureau itinérant",Results combined with no. 509/Résultats combinés au n° 507,,,,,,,,,,,54
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 520","Mobile poll/Bureau itinérant",Results combined with no. 508/Résultats combinés au n° 508,,,,,,,,,,,56
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 521","La Tuque",Merged with No./Fusionné avec le n°31,,,,,,,,,,,31
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 522","La Tuque",Merged with No./Fusionné avec le n°31,,,,,,,,,,,61
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 523","Mobile poll/Bureau itinérant",Results combined with no. 508/Résultats combinés au n° 508,,,,,,,,,,,31
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 524","Mobile poll/Bureau itinérant",Results combined with no. 508/Résultats combinés au n° 508,,,,,,,,,,,130
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 525","La Tuque",Merged with No./Fusionné avec le n°14,,,,,,,,,,,92
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 526","Shawinigan",Merged with No./Fusionné avec le n°158,,,,,,,,,,,275
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 600","La Tuque",2,28,139,237,339,1,5,0,12,7,770,
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 601","La Tuque",0,10,94,206,292,2,5,6,7,14,636,
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 602","La Tuque",3,13,117,230,269,2,3,2,14,9,662,
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 603","Sainte-Thècle",0,14,209,294,310,2,8,9,13,14,873,
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 604","Sainte-Anne-de-la-Pérade",5,30,91,165,241,3,6,7,6,7,561,
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 605","Champlain",1,16,85,167,159,2,1,1,1,2,435,
