Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Waseem Ahmed,Frank Chilelli,Mark Davidson,Iqwinder Gaheer,Clyde Roach,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35062,"Mississauga--Malton/Mississauga--Malton"," 54","Mississauga",32,0,9,78,70,3,192,525
35062,"Mississauga--Malton/Mississauga--Malton"," 55","Mississauga",34,1,3,78,71,0,187,553
35062,"Mississauga--Malton/Mississauga--Malton"," 56","Mississauga",33,3,1,86,49,2,174,428
35062,"Mississauga--Malton/Mississauga--Malton"," 57","Mississauga",36,1,3,88,69,0,197,526
35062,"Mississauga--Malton/Mississauga--Malton"," 58","Mississauga",30,2,7,105,44,4,192,488
35062,"Mississauga--Malton/Mississauga--Malton"," 59","Mississauga",14,4,1,95,33,1,148,409
35062,"Mississauga--Malton/Mississauga--Malton"," 60","Mississauga",24,1,2,126,45,0,198,555
35062,"Mississauga--Malton/Mississauga--Malton"," 61","Mississauga",18,1,5,90,40,2,156,440
35062,"Mississauga--Malton/Mississauga--Malton"," 62","Mississauga",27,0,1,90,44,2,164,435
35062,"Mississauga--Malton/Mississauga--Malton"," 63","Mississauga",11,0,1,57,27,1,97,327
35062,"Mississauga--Malton/Mississauga--Malton"," 64","Mississauga",22,0,8,131,96,3,260,587
35062,"Mississauga--Malton/Mississauga--Malton"," 65","Mississauga",25,1,0,98,45,0,169,411
35062,"Mississauga--Malton/Mississauga--Malton"," 66","Mississauga",22,0,3,107,53,5,190,482
35062,"Mississauga--Malton/Mississauga--Malton"," 67","Mississauga",22,0,6,105,45,0,178,479
35062,"Mississauga--Malton/Mississauga--Malton"," 68","Mississauga",36,5,5,141,92,5,284,492
35062,"Mississauga--Malton/Mississauga--Malton"," 69","Mississauga",36,0,5,132,68,4,245,480
35062,"Mississauga--Malton/Mississauga--Malton"," 70","Mississauga",35,0,4,126,115,1,281,600
35062,"Mississauga--Malton/Mississauga--Malton"," 71","Mississauga",27,3,7,93,106,0,236,553
35062,"Mississauga--Malton/Mississauga--Malton"," 72","Mississauga",41,0,1,136,82,3,263,515
35062,"Mississauga--Malton/Mississauga--Malton"," 73","Mississauga",12,1,2,70,65,1,151,434
35062,"Mississauga--Malton/Mississauga--Malton"," 74","Mississauga",24,0,10,75,57,1,167,581
35062,"Mississauga--Malton/Mississauga--Malton"," 75","Mississauga",17,0,3,38,42,2,102,357
35062,"Mississauga--Malton/Mississauga--Malton"," 76","Mississauga",20,0,2,54,49,0,125,482
35062,"Mississauga--Malton/Mississauga--Malton"," 77","Mississauga",8,0,2,62,34,0,106,370
35062,"Mississauga--Malton/Mississauga--Malton"," 78","Mississauga",26,0,5,54,43,0,128,482
35062,"Mississauga--Malton/Mississauga--Malton"," 79","Mississauga",19,0,3,81,44,2,149,362
35062,"Mississauga--Malton/Mississauga--Malton"," 80","Mississauga",18,1,2,51,56,0,128,535
35062,"Mississauga--Malton/Mississauga--Malton"," 81","Mississauga",22,1,10,83,48,1,165,343
35062,"Mississauga--Malton/Mississauga--Malton"," 82","Mississauga",43,1,1,118,77,3,243,555
35062,"Mississauga--Malton/Mississauga--Malton"," 83","Mississauga",34,2,6,76,44,2,164,421
35062,"Mississauga--Malton/Mississauga--Malton"," 84","Mississauga",48,3,7,102,68,3,231,512
35062,"Mississauga--Malton/Mississauga--Malton"," 85","Mississauga",19,1,2,58,59,1,140,411
35062,"Mississauga--Malton/Mississauga--Malton"," 86","Mississauga",11,1,5,70,47,4,138,477
35062,"Mississauga--Malton/Mississauga--Malton"," 87","Mississauga",20,1,6,97,45,0,169,451
35062,"Mississauga--Malton/Mississauga--Malton"," 88","Mississauga",45,0,1,76,39,4,165,488
35062,"Mississauga--Malton/Mississauga--Malton"," 89","Mississauga",24,2,4,73,70,2,175,502
35062,"Mississauga--Malton/Mississauga--Malton"," 90","Mississauga",30,1,4,94,53,2,184,404
35062,"Mississauga--Malton/Mississauga--Malton"," 91","Mississauga",11,0,1,64,55,2,133,433
35062,"Mississauga--Malton/Mississauga--Malton"," 92","Mississauga",22,0,4,86,51,1,164,440
35062,"Mississauga--Malton/Mississauga--Malton"," 93","Mississauga",27,0,4,91,44,2,168,446
35062,"Mississauga--Malton/Mississauga--Malton"," 94","Mississauga",21,2,3,86,63,5,180,447
35062,"Mississauga--Malton/Mississauga--Malton"," 95","Mississauga",20,1,1,61,44,1,128,428
35062,"Mississauga--Malton/Mississauga--Malton"," 96","Mississauga",28,0,6,60,41,0,135,370
35062,"Mississauga--Malton/Mississauga--Malton"," 97","Mississauga",14,0,3,52,31,0,100,383
35062,"Mississauga--Malton/Mississauga--Malton"," 98","Mississauga",23,1,1,88,46,2,161,418
35062,"Mississauga--Malton/Mississauga--Malton"," 99","Mississauga",16,1,2,66,62,1,148,383
35062,"Mississauga--Malton/Mississauga--Malton"," 100","Mississauga",10,1,1,33,42,1,88,285
35062,"Mississauga--Malton/Mississauga--Malton"," 101","Mississauga",13,1,1,73,38,3,129,356
35062,"Mississauga--Malton/Mississauga--Malton"," 102","Mississauga",28,0,4,52,32,1,117,319
35062,"Mississauga--Malton/Mississauga--Malton"," 103","Mississauga",21,2,1,75,56,1,156,391
35062,"Mississauga--Malton/Mississauga--Malton"," 104","Mississauga",17,1,2,86,41,0,147,401
35062,"Mississauga--Malton/Mississauga--Malton"," 105","Mississauga",29,1,8,89,37,0,164,617
35062,"Mississauga--Malton/Mississauga--Malton"," 106","Mississauga",39,3,6,142,80,4,274,923
35062,"Mississauga--Malton/Mississauga--Malton"," 107","Mississauga",37,2,4,110,76,3,232,532
35062,"Mississauga--Malton/Mississauga--Malton"," 108","Mississauga",36,3,4,113,69,0,225,503
35062,"Mississauga--Malton/Mississauga--Malton"," 109","Mississauga",35,0,2,79,48,3,167,476
35062,"Mississauga--Malton/Mississauga--Malton"," 110","Mississauga",15,0,1,58,19,1,94,513
35062,"Mississauga--Malton/Mississauga--Malton"," 111","Mississauga",13,1,2,74,43,2,135,388
35062,"Mississauga--Malton/Mississauga--Malton"," 112","Mississauga",17,0,3,72,57,1,150,502
35062,"Mississauga--Malton/Mississauga--Malton"," 113","Mississauga",17,0,2,56,31,1,107,365
35062,"Mississauga--Malton/Mississauga--Malton"," 114","Mississauga",10,2,3,64,18,1,98,362
35062,"Mississauga--Malton/Mississauga--Malton"," 115","Mississauga",11,0,2,69,37,0,119,336
35062,"Mississauga--Malton/Mississauga--Malton"," 116","Mississauga",14,3,1,53,86,1,158,385
35062,"Mississauga--Malton/Mississauga--Malton"," 117","Mississauga",16,0,6,73,36,0,131,421
35062,"Mississauga--Malton/Mississauga--Malton"," 118","Mississauga",29,2,3,95,63,6,198,408
35062,"Mississauga--Malton/Mississauga--Malton"," 119","Mississauga",17,1,2,41,84,6,151,358
35062,"Mississauga--Malton/Mississauga--Malton"," 120","Mississauga",20,3,1,100,31,3,158,410
35062,"Mississauga--Malton/Mississauga--Malton"," 121","Mississauga",29,1,8,72,66,1,177,496
35062,"Mississauga--Malton/Mississauga--Malton"," 122","Mississauga",31,1,7,79,21,4,143,428
35062,"Mississauga--Malton/Mississauga--Malton"," 123","Mississauga",22,1,4,73,59,1,160,381
35062,"Mississauga--Malton/Mississauga--Malton"," 124","Mississauga",15,1,1,38,20,0,75,303
35062,"Mississauga--Malton/Mississauga--Malton"," 125","Mississauga",20,0,6,61,33,0,120,363
35062,"Mississauga--Malton/Mississauga--Malton"," 126","Mississauga",26,0,1,57,46,1,131,382
35062,"Mississauga--Malton/Mississauga--Malton"," 127","Mississauga",24,1,5,64,60,4,158,447
35062,"Mississauga--Malton/Mississauga--Malton"," 128","Mississauga",19,2,4,65,48,1,139,371
35062,"Mississauga--Malton/Mississauga--Malton"," 129","Mississauga",24,1,4,118,75,0,222,549
35062,"Mississauga--Malton/Mississauga--Malton"," 130","Mississauga",37,2,6,139,57,1,242,514
35062,"Mississauga--Malton/Mississauga--Malton"," 131","Mississauga",28,0,5,79,63,2,177,527
35062,"Mississauga--Malton/Mississauga--Malton"," 132","Mississauga",22,0,8,101,51,2,184,520
35062,"Mississauga--Malton/Mississauga--Malton"," 133","Mississauga",48,0,3,87,43,0,181,447
35062,"Mississauga--Malton/Mississauga--Malton"," 134","Mississauga",23,1,7,98,52,0,181,428
35062,"Mississauga--Malton/Mississauga--Malton"," 135","Mississauga",33,2,6,98,77,3,219,436
