Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Bhavni Bhakoo,Sabrina Brenot,Andrew Brown,Jamie Buhler,Leah Gazan,Paul Ong,Debra Wall,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46011,"Winnipeg Centre/Winnipeg-Centre"," 1","Winnipeg",7,34,4,2,56,53,2,3,161,485
46011,"Winnipeg Centre/Winnipeg-Centre"," 2","Winnipeg",4,34,3,1,44,62,0,0,148,457
46011,"Winnipeg Centre/Winnipeg-Centre"," 3","Winnipeg",11,32,1,1,50,65,0,3,163,458
46011,"Winnipeg Centre/Winnipeg-Centre"," 4","Winnipeg",7,20,3,2,37,71,4,0,144,515
46011,"Winnipeg Centre/Winnipeg-Centre"," 5","Winnipeg",5,10,1,0,40,30,1,1,88,537
46011,"Winnipeg Centre/Winnipeg-Centre"," 6","Winnipeg",4,14,3,4,61,56,1,0,143,467
46011,"Winnipeg Centre/Winnipeg-Centre"," 7","Winnipeg",11,18,0,3,73,70,0,7,182,520
46011,"Winnipeg Centre/Winnipeg-Centre"," 8","Winnipeg",4,30,2,0,36,70,1,1,144,487
46011,"Winnipeg Centre/Winnipeg-Centre"," 9","Winnipeg",3,17,3,1,45,40,2,4,115,379
46011,"Winnipeg Centre/Winnipeg-Centre"," 10","Winnipeg",8,15,2,4,51,54,1,3,138,384
46011,"Winnipeg Centre/Winnipeg-Centre"," 11","Winnipeg",4,16,2,0,30,29,0,5,86,378
46011,"Winnipeg Centre/Winnipeg-Centre"," 12","Winnipeg",15,9,2,1,61,43,1,1,133,415
46011,"Winnipeg Centre/Winnipeg-Centre"," 13","Winnipeg",12,22,6,0,55,52,1,3,151,461
46011,"Winnipeg Centre/Winnipeg-Centre"," 14","Winnipeg",6,17,0,2,57,48,1,0,131,409
46011,"Winnipeg Centre/Winnipeg-Centre"," 15","Winnipeg",4,11,1,8,27,45,0,1,97,426
46011,"Winnipeg Centre/Winnipeg-Centre"," 16","Winnipeg",3,14,1,0,39,48,1,4,110,456
46011,"Winnipeg Centre/Winnipeg-Centre"," 17","Winnipeg",1,8,1,1,23,37,0,0,71,400
46011,"Winnipeg Centre/Winnipeg-Centre"," 18","Winnipeg",1,7,1,1,38,21,2,0,71,339
46011,"Winnipeg Centre/Winnipeg-Centre"," 19","Winnipeg",0,12,3,1,58,23,0,1,98,462
46011,"Winnipeg Centre/Winnipeg-Centre"," 20","Winnipeg",3,13,0,0,37,44,0,0,97,326
46011,"Winnipeg Centre/Winnipeg-Centre"," 21","Winnipeg",2,24,1,1,49,48,0,0,125,382
46011,"Winnipeg Centre/Winnipeg-Centre"," 22","Winnipeg",7,21,3,4,59,47,0,3,144,441
46011,"Winnipeg Centre/Winnipeg-Centre"," 23","Winnipeg",6,15,8,3,65,47,0,0,144,385
46011,"Winnipeg Centre/Winnipeg-Centre"," 24","Winnipeg",6,26,2,4,66,49,0,3,156,432
46011,"Winnipeg Centre/Winnipeg-Centre"," 25","Winnipeg",3,14,5,0,67,59,0,1,149,390
46011,"Winnipeg Centre/Winnipeg-Centre"," 26","Winnipeg",8,17,3,3,45,50,0,1,127,388
46011,"Winnipeg Centre/Winnipeg-Centre"," 27","Winnipeg",4,12,3,8,63,90,2,5,187,496
46011,"Winnipeg Centre/Winnipeg-Centre"," 28","Winnipeg",7,15,3,0,52,47,1,4,129,435
46011,"Winnipeg Centre/Winnipeg-Centre"," 29","Winnipeg",4,31,2,1,45,28,0,0,111,364
