Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Monika Dean,Hong Yan Pan,Carla Qualtrough,Garry Shearer,Jeremy Smith,Paul Tarasenko,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59011,"Delta/Delta"," 1","Delta",33,0,68,72,6,2,0,181,434
59011,"Delta/Delta"," 2","Delta",45,1,55,35,7,5,1,149,446
59011,"Delta/Delta"," 3","Delta",57,1,65,79,6,4,0,212,433
59011,"Delta/Delta"," 4","Delta",38,0,74,41,6,3,0,162,460
59011,"Delta/Delta"," 5","Delta",23,1,57,79,9,6,1,176,378
59011,"Delta/Delta"," 6","Delta",27,1,52,60,4,6,0,150,370
59011,"Delta/Delta"," 7","Delta",42,1,76,58,4,9,0,190,416
59011,"Delta/Delta"," 8","Delta",68,0,136,85,8,6,1,304,539
59011,"Delta/Delta"," 9","Delta",54,2,81,68,12,6,0,223,470
59011,"Delta/Delta"," 10","Delta",68,2,90,95,8,6,3,272,565
59011,"Delta/Delta"," 11","Delta",37,0,63,40,8,3,0,151,479
59011,"Delta/Delta"," 12","Delta",87,2,116,94,7,18,2,326,492
59011,"Delta/Delta"," 13","Delta",95,4,164,115,10,10,4,402,465
59011,"Delta/Delta"," 14","Delta",Merged with No./Fusionné avec le n°13,,,,,,,,469
59011,"Delta/Delta"," 15","Delta",95,1,119,161,12,21,1,410,454
59011,"Delta/Delta"," 16","Delta",Merged with No./Fusionné avec le n°15,,,,,,,,403
59011,"Delta/Delta"," 17","Delta",Merged with No./Fusionné avec le n°18,,,,,,,,413
59011,"Delta/Delta"," 18","Delta",97,2,121,72,5,8,1,306,440
59011,"Delta/Delta"," 19","Delta",46,1,72,34,2,6,0,161,416
59011,"Delta/Delta"," 20","Delta",64,5,185,184,6,7,3,454,916
59011,"Delta/Delta"," 21","Delta",26,1,73,74,4,1,0,179,479
59011,"Delta/Delta"," 22","Delta",12,1,86,65,2,0,0,166,478
