Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Kevin Heide,Rozina Jaffer,Peter Julian,David Macdonald,Paige Munro,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 56","Burnaby",5,31,40,1,26,0,103,354
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 57","Burnaby",3,37,70,6,25,0,141,447
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 58","Burnaby",7,56,87,2,32,2,186,509
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 59","Burnaby",7,112,125,7,47,1,299,789
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 60","Burnaby",1,43,59,6,26,3,138,469
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 61","Burnaby",9,38,53,2,8,3,113,370
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 62","Burnaby",8,43,84,1,19,3,158,462
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 63","Burnaby",10,41,61,9,25,0,146,485
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 64","Burnaby",7,39,85,1,29,1,162,437
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 65","Burnaby",9,53,94,3,27,2,188,515
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 66","Burnaby",14,47,53,3,29,1,147,491
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 67","New Westminster",11,34,65,9,39,0,158,354
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 68","New Westminster",6,38,92,13,46,0,195,461
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 69","New Westminster",6,46,80,13,39,0,184,466
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 70","New Westminster",7,30,98,2,32,3,172,561
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 71","New Westminster",2,33,90,6,31,0,162,409
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 72","New Westminster",4,24,61,8,39,0,136,374
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 73","New Westminster",9,45,72,11,24,1,162,400
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 74","New Westminster",2,16,38,4,17,1,78,281
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 75","New Westminster",4,24,76,10,50,0,164,443
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 76","New Westminster",3,52,63,1,24,2,145,486
