Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Paul Chiang,Elvin Kao,Aftab Qureshi,Bob Saroya,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35056,"Markham--Unionville/Markham--Unionville"," 1","Markham",Merged with No./Fusionné avec le n°3,,,,,,319
35056,"Markham--Unionville/Markham--Unionville"," 2","Markham",104,8,14,87,3,216,639
35056,"Markham--Unionville/Markham--Unionville"," 3","Markham",138,5,17,130,4,294,550
35056,"Markham--Unionville/Markham--Unionville"," 4","Markham",75,8,16,54,2,155,482
35056,"Markham--Unionville/Markham--Unionville"," 5","Markham",81,2,10,62,0,155,450
35056,"Markham--Unionville/Markham--Unionville"," 6","Markham",96,3,9,74,0,182,594
35056,"Markham--Unionville/Markham--Unionville"," 7","Markham",88,2,23,48,4,165,484
35056,"Markham--Unionville/Markham--Unionville"," 8","Markham",189,5,16,100,4,314,415
35056,"Markham--Unionville/Markham--Unionville"," 9","Markham",114,10,36,97,4,261,885
35056,"Markham--Unionville/Markham--Unionville"," 10","Markham",94,2,11,95,5,207,755
35056,"Markham--Unionville/Markham--Unionville"," 11","Markham",80,6,8,88,6,188,458
35056,"Markham--Unionville/Markham--Unionville"," 12","Markham",108,6,9,75,3,201,580
35056,"Markham--Unionville/Markham--Unionville"," 13","Markham",71,3,9,50,1,134,455
35056,"Markham--Unionville/Markham--Unionville"," 14","Markham",82,1,14,85,0,182,577
35056,"Markham--Unionville/Markham--Unionville"," 15","Markham",88,3,12,45,2,150,562
35056,"Markham--Unionville/Markham--Unionville"," 16","Markham",Merged with No./Fusionné avec le n°8,,,,,,398
35056,"Markham--Unionville/Markham--Unionville"," 17","Markham",81,5,5,79,0,170,678
35056,"Markham--Unionville/Markham--Unionville"," 18","Markham",67,2,8,44,1,122,435
35056,"Markham--Unionville/Markham--Unionville"," 19","Markham",67,2,6,75,2,152,526
35056,"Markham--Unionville/Markham--Unionville"," 20","Markham",85,4,12,115,0,216,631
35056,"Markham--Unionville/Markham--Unionville"," 21","Markham",95,3,14,72,0,184,669
35056,"Markham--Unionville/Markham--Unionville"," 22","Markham",102,69,26,11,2,210,772
35056,"Markham--Unionville/Markham--Unionville"," 23","Markham",79,12,10,75,2,178,571
35056,"Markham--Unionville/Markham--Unionville"," 24","Markham",116,3,7,40,0,166,541
35056,"Markham--Unionville/Markham--Unionville"," 25","Markham",155,3,32,104,0,294,444
35056,"Markham--Unionville/Markham--Unionville"," 26","Markham",Merged with No./Fusionné avec le n°25,,,,,,432
35056,"Markham--Unionville/Markham--Unionville"," 27","Markham",61,1,12,28,2,104,516
35056,"Markham--Unionville/Markham--Unionville"," 28","Markham",70,1,15,61,0,147,502
35056,"Markham--Unionville/Markham--Unionville"," 29","Markham",127,6,20,88,1,242,492
35056,"Markham--Unionville/Markham--Unionville"," 30","Markham",Merged with No./Fusionné avec le n°29,,,,,,453
35056,"Markham--Unionville/Markham--Unionville"," 31","Markham",59,5,12,38,1,115,506
35056,"Markham--Unionville/Markham--Unionville"," 32","Markham",74,5,10,55,0,144,573
35056,"Markham--Unionville/Markham--Unionville"," 33","Markham",76,6,15,56,2,155,558
35056,"Markham--Unionville/Markham--Unionville"," 34","Markham",Merged with No./Fusionné avec le n°52,,,,,,364
35056,"Markham--Unionville/Markham--Unionville"," 35","Markham",63,5,18,49,0,135,550
35056,"Markham--Unionville/Markham--Unionville"," 36","Markham",130,5,25,89,2,251,496
35056,"Markham--Unionville/Markham--Unionville"," 37","Markham",Merged with No./Fusionné avec le n°36,,,,,,446
35056,"Markham--Unionville/Markham--Unionville"," 38","Markham",87,4,10,37,0,138,525
35056,"Markham--Unionville/Markham--Unionville"," 39","Markham",58,2,15,59,3,137,633
35056,"Markham--Unionville/Markham--Unionville"," 40","Markham",88,1,9,38,1,137,513
35056,"Markham--Unionville/Markham--Unionville"," 41","Markham",84,5,11,40,2,142,694
35056,"Markham--Unionville/Markham--Unionville"," 42","Markham",Merged with No./Fusionné avec le n°43,,,,,,403
35056,"Markham--Unionville/Markham--Unionville"," 43","Markham",125,7,15,90,0,237,404
35056,"Markham--Unionville/Markham--Unionville"," 44","Markham",67,4,5,43,0,119,453
35056,"Markham--Unionville/Markham--Unionville"," 45","Markham",54,5,13,64,1,137,451
35056,"Markham--Unionville/Markham--Unionville"," 46","Markham",Merged with No./Fusionné avec le n°48,,,,,,407
35056,"Markham--Unionville/Markham--Unionville"," 47","Markham",67,9,8,53,2,139,477
35056,"Markham--Unionville/Markham--Unionville"," 48","Markham",109,4,22,101,1,237,417
35056,"Markham--Unionville/Markham--Unionville"," 49","Markham",91,1,15,62,1,170,592
35056,"Markham--Unionville/Markham--Unionville"," 50","Markham",63,4,10,49,1,127,637
35056,"Markham--Unionville/Markham--Unionville"," 51","Markham",76,2,16,75,3,172,621
35056,"Markham--Unionville/Markham--Unionville"," 52","Markham",103,9,24,70,2,208,417
