Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Matthew Chapman,Carolyn Davis,Ken McDonald,Lainie Stewart,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
10001,"Avalon/Avalon"," 79","Conception Bay South",84,37,99,3,0,223,664
10001,"Avalon/Avalon"," 80","Conception Bay South",96,45,85,2,0,228,662
10001,"Avalon/Avalon"," 81","Conception Bay South",56,26,64,3,0,149,490
10001,"Avalon/Avalon"," 82","Conception Bay South",58,34,77,1,0,170,521
10001,"Avalon/Avalon"," 83","Conception Bay South",42,26,53,1,3,125,446
10001,"Avalon/Avalon"," 84","Conception Bay South",70,33,97,5,0,205,544
10001,"Avalon/Avalon"," 85","Conception Bay South",51,34,76,6,3,170,477
10001,"Avalon/Avalon"," 86","Conception Bay South",79,20,59,1,0,159,612
10001,"Avalon/Avalon"," 87","Conception Bay South",64,49,58,1,2,174,511
10001,"Avalon/Avalon"," 88","Conception Bay South",55,36,73,6,0,170,528
10001,"Avalon/Avalon"," 89","Conception Bay South",47,24,60,4,0,135,388
10001,"Avalon/Avalon"," 90","Conception Bay South",48,24,63,3,0,138,448
10001,"Avalon/Avalon"," 91","Conception Bay South",42,46,75,4,0,167,481
10001,"Avalon/Avalon"," 92","Conception Bay South",35,21,56,2,0,114,424
10001,"Avalon/Avalon"," 93","Conception Bay South",64,36,72,3,2,177,527
10001,"Avalon/Avalon"," 94","Conception Bay South",61,36,65,4,1,167,498
10001,"Avalon/Avalon"," 95","Conception Bay South",46,46,83,4,1,180,602
10001,"Avalon/Avalon"," 96","Conception Bay South",61,62,77,5,0,205,592
10001,"Avalon/Avalon"," 97","Conception Bay South",52,22,82,4,0,160,524
10001,"Avalon/Avalon"," 98","Conception Bay South",55,20,78,2,1,156,501
10001,"Avalon/Avalon"," 99","Conception Bay South",48,28,73,2,7,158,578
10001,"Avalon/Avalon"," 100","Conception Bay South",22,19,44,0,1,86,352
10001,"Avalon/Avalon"," 101","Conception Bay South",60,50,70,3,1,184,510
10001,"Avalon/Avalon"," 102","Conception Bay South",56,42,77,4,2,181,586
10001,"Avalon/Avalon"," 103","Conception Bay South",49,33,101,2,5,190,586
10001,"Avalon/Avalon"," 104","Conception Bay South",46,22,62,2,0,132,436
10001,"Avalon/Avalon"," 105","Conception Bay South",51,45,93,3,1,193,648
10001,"Avalon/Avalon"," 106","Conception Bay South",36,28,62,3,0,129,374
10001,"Avalon/Avalon"," 107","Conception Bay South",38,39,68,7,0,152,407
10001,"Avalon/Avalon"," 108","Conception Bay South",51,46,98,1,1,197,505
10001,"Avalon/Avalon"," 109","Conception Bay South",36,25,65,3,1,130,379
10001,"Avalon/Avalon"," 110","Conception Bay South",52,17,65,3,0,137,371
10001,"Avalon/Avalon"," 111","Conception Bay South",51,47,84,2,0,184,554
10001,"Avalon/Avalon"," 112","Conception Bay South",51,33,50,4,0,138,514
10001,"Avalon/Avalon"," 113","Conception Bay South",38,50,86,2,0,176,514
10001,"Avalon/Avalon"," 114","Conception Bay South",40,46,78,6,1,171,501
10001,"Avalon/Avalon"," 115","Conception Bay South",34,28,73,2,1,138,404
10001,"Avalon/Avalon"," 116","Conception Bay South",28,37,98,1,0,164,455
10001,"Avalon/Avalon"," 117","Conception Bay South",36,34,99,6,0,175,507
10001,"Avalon/Avalon"," 118","Conception Bay South",59,30,69,3,0,161,463
10001,"Avalon/Avalon"," 119","Paradise",50,24,63,4,0,141,466
10001,"Avalon/Avalon"," 120","Paradise",58,24,60,1,0,143,409
10001,"Avalon/Avalon"," 121","Paradise",50,21,72,2,0,145,368
10001,"Avalon/Avalon"," 122","Paradise",63,44,86,1,0,194,428
10001,"Avalon/Avalon"," 123","Paradise",56,20,63,2,1,142,376
10001,"Avalon/Avalon"," 124","Paradise",67,65,109,2,1,244,710
10001,"Avalon/Avalon"," 125","Paradise",47,22,59,2,0,130,398
10001,"Avalon/Avalon"," 126","Paradise",69,31,53,1,0,154,459
10001,"Avalon/Avalon"," 127","Paradise",45,35,68,4,0,152,467
10001,"Avalon/Avalon"," 128","Paradise",47,40,53,3,1,144,493
10001,"Avalon/Avalon"," 129","Paradise",67,35,114,2,2,220,599
10001,"Avalon/Avalon"," 130","Paradise",68,41,69,4,0,182,592
10001,"Avalon/Avalon"," 131","Paradise",60,29,73,3,1,166,491
10001,"Avalon/Avalon"," 132","Paradise",54,25,62,3,1,145,423
10001,"Avalon/Avalon"," 133","Paradise",62,56,92,3,4,217,605
10001,"Avalon/Avalon"," 134","Paradise",48,39,68,1,1,157,512
10001,"Avalon/Avalon"," 135","Paradise",58,40,67,1,1,167,497
10001,"Avalon/Avalon"," 136","Paradise",40,27,46,1,0,114,399
10001,"Avalon/Avalon"," 137","Paradise",55,47,91,2,1,196,574
10001,"Avalon/Avalon"," 138","Paradise",41,55,64,2,0,162,462
10001,"Avalon/Avalon"," 139","Paradise",45,15,42,2,0,104,316
10001,"Avalon/Avalon"," 140","Paradise",50,33,67,4,0,154,497
10001,"Avalon/Avalon"," 141","Paradise",46,22,69,2,0,139,398
10001,"Avalon/Avalon"," 142","Paradise",85,58,82,6,2,233,652
10001,"Avalon/Avalon"," 143","Markland",25,11,59,4,0,99,163
10001,"Avalon/Avalon"," 144","Long Harbour",29,16,67,5,1,118,239
10001,"Avalon/Avalon"," 145","Ship Harbour",14,4,33,0,7,58,85
10001,"Avalon/Avalon"," 146","Fox Harbour",23,8,62,3,1,97,211
10001,"Avalon/Avalon"," 147","Dunville",34,11,86,3,1,135,299
10001,"Avalon/Avalon"," 148","Dunville",59,22,141,2,4,228,489
10001,"Avalon/Avalon"," 149","Freshwater",37,7,37,1,1,83,259
