Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,David Ainsworth,Cheryl Gallant,Stefan Klietsch,Michael Lariviere,Cyndi Mills,Jodie Primeau,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 43","Petawawa",24,119,0,7,41,65,2,258,836
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 44","Petawawa",8,89,1,6,23,33,0,160,449
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 45","Petawawa",20,113,1,4,50,51,0,239,743
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 46","Petawawa",15,89,1,2,23,39,0,169,564
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 47","Petawawa",7,100,1,3,21,36,0,168,528
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 48","Petawawa",6,79,1,1,29,27,1,144,467
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 49","Petawawa",15,96,2,1,34,57,2,207,515
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 50","Laurentian Valley",13,55,1,1,22,31,1,124,259
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 51","Petawawa",10,100,5,4,21,50,1,191,485
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 52","Forest Lea",20,96,4,8,30,44,0,202,421
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 53","Laurentian Valley",11,89,3,3,23,36,2,167,401
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 54","Forest Lea",8,98,1,4,22,50,1,184,393
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 55","Pembroke",19,59,0,6,18,29,3,134,418
