Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,David Ainsworth,Cheryl Gallant,Stefan Klietsch,Michael Lariviere,Cyndi Mills,Jodie Primeau,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 187","Burnstown",14,112,3,2,39,48,2,220,391
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 188","McNab/Braeside",11,96,2,9,22,48,2,190,333
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 189","Springtown--Spruce Hedge",11,58,1,3,34,19,0,126,288
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 190","Madawaska Valley",8,43,1,7,20,20,0,99,372
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 191","Wilno",23,43,1,3,15,15,0,100,361
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 192","Barry's Bay",8,29,0,1,15,22,0,75,281
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 193","Barry's Bay",14,41,0,1,14,8,1,79,292
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 194","Halfway",16,22,0,3,18,17,0,76,286
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 195","Paugh Lake",7,56,0,1,12,12,1,89,312
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 196","Barry's Bay",10,34,0,0,17,15,0,76,290
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 197","Barry's Bay",21,35,1,2,10,9,0,78,331
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 198","Siberia",10,40,0,4,28,15,0,97,384
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 199","Foymount",18,74,2,2,40,29,2,167,309
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 200","Clontarf",6,51,0,4,20,20,0,101,287
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 201","Madawaska",21,129,1,1,37,30,1,220,425
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 202","Brudenell",27,97,2,3,15,48,0,192,326
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 203","Mount St. Patrick",21,63,3,1,27,31,1,147,248
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 204","Springtown",10,74,2,5,23,35,0,149,408
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 205","Calabogie",8,81,2,3,31,19,1,145,306
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 206","Barryvale",8,76,0,4,40,19,0,147,431
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 207","Barrett Chute",6,63,1,4,32,24,1,131,351
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 208","Combermere",18,78,0,6,35,25,0,162,398
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 209","Combermere",15,153,0,5,32,40,1,246,423
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 210","Whitney",10,101,0,5,40,34,2,192,366
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 211","Whiteny--Wallace",10,82,0,4,32,29,0,157,262
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 212","Quadeville",25,102,1,2,23,24,4,181,264
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 213","Griffith",31,145,0,4,68,36,0,284,469
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 214","Jewellville",28,164,0,7,29,38,1,267,466
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 215","Hardwood Lake",8,96,1,2,20,15,0,142,312
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 500","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,,
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 501","Mobile poll/Bureau itinérant",0,16,0,2,16,6,2,42,75
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 502","Mobile poll/Bureau itinérant",0,22,0,2,14,3,2,43,157
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 503","Mobile poll/Bureau itinérant",3,23,0,0,17,5,9,57,78
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 504","Mobile poll/Bureau itinérant",0,16,0,1,1,3,2,23,31
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 505","Mobile poll/Bureau itinérant",4,27,1,3,11,7,1,54,80
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 506","Mobile poll/Bureau itinérant",1,21,1,0,14,4,0,41,63
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 507","Mobile poll/Bureau itinérant",0,13,0,2,5,2,2,24,57
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 508","Mobile poll/Bureau itinérant",3,24,3,3,18,6,6,63,146
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 509","Mobile poll/Bureau itinérant",0,29,0,0,9,6,0,44,61
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 510","Mobile poll/Bureau itinérant",0,21,1,1,12,0,2,37,95
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 511","McNab/Braeside",Merged with No./Fusionné avec le n°130,,,,,,,,1
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 512","Mobile poll/Bureau itinérant",1,16,0,1,5,2,0,25,57
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 513","Mobile poll/Bureau itinérant",0,40,0,2,14,2,2,60,77
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 514","Mobile poll/Bureau itinérant",2,28,1,1,21,7,4,64,64
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 515","Mobile poll/Bureau itinérant",0,12,0,1,10,1,0,24,173
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 516","Mobile poll/Bureau itinérant",1,22,1,0,14,2,2,42,87
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 517","Mobile poll/Bureau itinérant",1,34,1,0,13,3,0,52,78
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 518","Mobile poll/Bureau itinérant",2,25,0,0,6,0,0,33,34
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 519","Mobile poll/Bureau itinérant",0,16,0,0,7,3,3,29,36
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 520","Mobile poll/Bureau itinérant",0,19,1,0,6,4,0,30,76
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 600","Deep River",70,498,6,19,427,495,11,1526,
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 601","Petawawa",99,648,6,21,184,241,0,1199,
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 602","Petawawa",75,731,9,36,272,247,10,1380,
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 603","Pembroke",40,221,4,8,110,61,4,448,
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 604","Pembroke",72,411,8,17,204,201,0,913,
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 605","Pembroke",63,586,9,24,377,233,12,1304,
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 606","Pembroke",67,411,6,12,190,133,8,827,
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 607","Pembroke",74,284,6,10,100,72,2,548,
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 608","South Algonquin--Killaloe, Hagarty and Richards",37,329,0,10,90,67,6,539,
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 609","Barry's Bay",70,565,2,22,184,110,13,966,
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 610","Brudenell, Lyndoch and Raglan--Madawaska Valley",50,239,4,8,80,68,0,449,
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 611","Eganville",60,462,3,14,155,131,5,830,
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 612","Eganville",85,514,3,17,162,148,7,936,
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 613","Cobden",48,296,4,17,102,84,0,551,
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 614","Cobden",72,475,1,23,111,122,6,810,
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 615","Renfrew",90,620,11,23,210,174,15,1143,
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 616","Renfrew",89,758,8,23,338,231,11,1458,
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 617","Calabogie",46,363,2,14,180,80,7,692,
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 618","Arnprior",50,313,2,6,109,73,1,554,
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 619","Arnprior",69,677,8,21,333,194,17,1319,
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 620","Arnprior",69,665,8,23,344,196,8,1313,
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke",,Group 1/Groupe 1, 121,909,9,36,174,320,48,1617,141
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke",,Group 2/Groupe 2, 118,918,8,49,614,546,33,2286,
