Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Dan Campbell,Donovan Eckstrom,Shawn McLean,Ambrose Ralph,Jennifer Villebrun,Chris Warkentin,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 1","Bistcho Lake 213",3,0,0,9,4,18,0,34,46
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 2","Habay",63,0,1,0,23,12,1,100,595
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 3","Meander River",14,0,1,0,9,3,2,29,145
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 4","Rainbow Lake",1,1,5,0,9,43,0,59,168
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 5","Rainbow Lake",2,0,2,0,2,55,0,61,168
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 6","High Level",15,0,18,1,34,72,0,140,492
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 7","High Level",11,0,14,2,19,51,0,97,362
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 8","High Level",5,2,6,3,28,44,0,88,349
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 9","High Level",17,0,11,8,37,57,0,130,409
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 10","High Level",12,1,14,4,30,68,1,130,296
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 11","High Level",11,0,13,0,33,43,0,100,339
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 12","High Level",19,0,15,2,21,49,0,106,127
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 13","High Level",15,2,10,1,30,57,1,116,311
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 14","High Level",Merged with No./Fusionné avec le n°12,,,,,,,,164
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 15","Keg River",6,0,22,1,21,67,2,119,365
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 16","Worsley",0,0,28,5,5,96,1,135,469
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 17","Hotchkiss",3,2,8,3,8,65,0,89,188
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 18","Bear Canyon",2,0,11,4,5,47,0,69,153
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 19","Notikewin",2,1,12,7,10,69,1,102,305
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 20","Manning",5,0,7,10,7,75,0,104,309
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 21","Manning",2,0,7,1,8,47,1,66,208
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 22","Manning",3,1,15,2,11,75,0,107,303
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 23","North Star",3,0,13,8,5,64,0,93,315
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 24","Cleardale",1,1,42,3,3,47,0,97,363
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 25","Eureka River",0,0,27,13,5,108,0,153,272
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 26","Deadwood",4,0,14,8,5,71,0,102,217
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 27","Dixonville",14,0,54,11,7,139,3,228,362
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 28","Silver Valley",0,0,5,4,9,71,2,91,132
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 29","Deer Hill",2,1,24,14,11,83,1,136,271
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 30","Hines Creek",3,0,16,11,7,96,0,133,321
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 31","Hines Creek",5,0,12,10,9,75,1,112,268
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 32","Blueberry Mountain",3,0,20,4,11,81,0,119,203
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 33","Bay Tree",2,0,58,29,12,250,3,354,513
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 34","Warrensville",11,4,15,16,18,164,1,229,324
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 35","Weberville",6,0,22,13,30,144,3,218,336
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 36","Weberville",4,3,9,6,25,154,1,202,292
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 37","Blueberry Mountain",5,1,9,4,8,105,0,132,190
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 38","Gordondale",0,0,20,4,4,86,0,114,171
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 39","Spirit River",5,0,22,5,14,95,1,142,292
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 40","Spirit River",3,0,6,0,11,84,1,105,225
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 41","Spirit River",5,1,12,5,10,71,2,106,313
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 42","Spirit River Settlement",7,0,5,5,14,77,0,108,274
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 43","Demmitt",3,0,12,8,11,94,1,129,262
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 44","Rycroft",6,1,33,22,21,173,0,256,437
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 45","Rycroft",5,2,23,13,11,108,0,162,333
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 46","Lymburn",3,1,7,8,3,51,2,75,127
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 47","Horse Lakes 152B",4,1,8,1,20,2,0,36,194
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 48","Woking",6,1,21,9,14,155,2,208,323
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 49","Valhalla Centre",8,3,42,8,14,229,2,306,587
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 50","Hythe",14,2,56,26,37,255,0,390,794
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 51","Hythe",Void/Supprimé,,,,,,,,
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 52","La Glace",7,2,35,13,25,187,0,269,450
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 53","Goodfare",3,3,19,4,19,129,0,177,276
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 54","Albright",7,0,22,5,16,137,0,187,339
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 55","Beaverlodge",2,1,21,6,13,109,0,152,420
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 56","Beaverlodge",8,2,23,5,17,122,1,178,559
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 57","Beaverlodge",Void/Supprimé,,,,,,,,
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 58","Beaverlodge",4,0,17,10,9,142,0,182,480
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 59","Beaverlodge",4,1,13,1,9,77,1,106,320
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 60","Rio Grande",1,3,6,12,5,78,1,106,190
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 61","Webster",13,3,45,8,28,199,1,297,692
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 62","Sexsmith",4,0,13,0,1,69,0,87,159
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 63","Niobe",4,2,16,5,4,120,0,151,343
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 64","Sexsmith",1,1,19,8,13,120,2,164,390
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 65","Sexsmith",1,7,49,6,24,177,0,264,693
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 66","Sexsmith",4,0,17,1,24,115,0,161,452
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 67","Sexsmith",3,0,24,7,10,101,1,146,384
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 68","Sexsmith",4,4,26,8,20,127,6,195,419
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 69","Beaverlodge",5,2,16,2,15,110,0,150,337
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 70","Lake Saskatoon",15,1,20,21,24,184,1,266,393
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 71","Hermit Lake",14,3,28,16,26,228,0,315,898
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 72","Sexsmith",2,0,26,7,10,145,0,190,381
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 73","Teepee Creek",2,1,24,12,14,137,2,192,315
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 74","Halcourt",2,1,2,3,4,57,0,69,226
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 75","Elmworth",6,0,16,6,13,163,0,204,307
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 76","Clairmont",6,2,25,6,36,124,1,200,615
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 77","Clairmont",2,1,14,5,11,99,0,132,369
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 78","Clairmont",7,1,21,4,19,134,0,186,489
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 79","Clairmont",5,1,15,6,19,85,0,131,367
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 80","Clairmont",2,6,13,4,17,72,0,114,248
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 81","Clairmont",4,0,17,6,7,82,0,116,372
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 82","Grande Prairie",21,1,26,19,40,296,3,406,935
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 83","Clairmont",4,1,19,4,12,183,0,223,653
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 84","Clairmont",5,0,11,5,19,202,0,242,487
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 85","Wembley",10,1,45,9,32,168,1,266,438
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 86","Wembley",10,0,48,12,36,308,3,417,814
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 87","Huallen",14,1,40,8,26,174,0,263,412
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 88","DeBolt",0,2,5,12,1,62,0,82,215
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 89","Grande Prairie",11,0,19,5,32,143,2,212,517
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 90","Grande Prairie",13,1,32,4,33,201,1,285,828
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 91","Grande Prairie",8,0,23,4,22,105,0,162,426
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 92","Grande Prairie",8,0,9,4,21,91,0,133,524
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 93","Grande Prairie",12,0,14,3,22,100,0,151,438
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 94","Grande Prairie",3,1,19,7,21,100,3,154,403
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 95","Grande Prairie",6,0,20,6,39,120,2,193,463
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 96","Grande Prairie",4,0,26,6,21,107,0,164,478
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 97","Grande Prairie",11,1,15,3,35,128,0,193,441
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 98","Grande Prairie",4,1,17,6,26,160,2,216,486
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 99","Grande Prairie",8,4,10,2,20,112,1,157,447
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 100","Grande Prairie",4,0,14,3,22,119,0,162,453
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 101A","Grande Prairie",12,2,16,4,35,114,0,183,596
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 101B","Mobile poll/Bureau itinérant",2,0,2,0,8,36,1,49,61
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 102","Grande Prairie",5,0,8,0,10,43,0,66,164
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 103","Grande Prairie",3,1,13,4,23,71,0,115,392
