Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Lena Metlege Diab,Eleanor Humphries,Jonathan Keith Roberts,Kevin Schulthies,Julie Scott,Richard Zurawski,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
12006,"Halifax West/Halifax-Ouest"," 1A","Lucasville",112,65,44,0,3,7,0,231,501
12006,"Halifax West/Halifax-Ouest"," 1B","Lucasville",83,65,55,1,7,5,1,217,441
12006,"Halifax West/Halifax-Ouest"," 2","Lucasville",107,61,58,1,7,6,0,240,515
12006,"Halifax West/Halifax-Ouest"," 3A","Lucasville",67,24,34,1,4,6,0,136,356
12006,"Halifax West/Halifax-Ouest"," 3B","Lucasville",46,17,32,0,4,5,0,104,315
12006,"Halifax West/Halifax-Ouest"," 4","Halifax",59,27,64,0,8,5,0,163,440
12006,"Halifax West/Halifax-Ouest"," 5","Halifax",69,28,35,0,1,6,0,139,350
12006,"Halifax West/Halifax-Ouest"," 6","Halifax",75,45,20,1,4,2,0,147,356
12006,"Halifax West/Halifax-Ouest"," 7","Halifax",53,21,18,0,1,1,0,94,287
12006,"Halifax West/Halifax-Ouest"," 8","Halifax",53,23,63,0,5,2,0,146,374
12006,"Halifax West/Halifax-Ouest"," 9","Halifax",49,24,28,0,1,6,1,109,310
12006,"Halifax West/Halifax-Ouest"," 10","Halifax",108,46,40,0,6,4,1,205,482
12006,"Halifax West/Halifax-Ouest"," 11","Halifax",42,46,21,0,3,4,0,116,278
12006,"Halifax West/Halifax-Ouest"," 12","Halifax",69,64,25,0,5,5,0,168,473
12006,"Halifax West/Halifax-Ouest"," 13","Halifax",51,28,46,1,12,3,1,142,434
12006,"Halifax West/Halifax-Ouest"," 14","Halifax",65,30,38,0,3,4,1,141,359
12006,"Halifax West/Halifax-Ouest"," 15","Halifax",75,34,47,0,3,3,0,162,414
12006,"Halifax West/Halifax-Ouest"," 16","Halifax",76,34,37,0,4,6,1,158,388
12006,"Halifax West/Halifax-Ouest"," 17","Pockwock",58,34,40,0,4,2,1,139,434
12006,"Halifax West/Halifax-Ouest"," 18","Hammond Plains",59,38,33,0,2,2,1,135,355
12006,"Halifax West/Halifax-Ouest"," 19","Pockwock",59,22,37,0,3,2,0,123,405
12006,"Halifax West/Halifax-Ouest"," 20","English Corner",47,55,36,0,4,4,0,146,321
12006,"Halifax West/Halifax-Ouest"," 21","English Corner",48,42,30,0,6,5,0,131,324
12006,"Halifax West/Halifax-Ouest"," 22","Halifax",67,18,36,0,7,5,0,133,325
12006,"Halifax West/Halifax-Ouest"," 23","Halifax",49,23,46,0,2,2,0,122,336
12006,"Halifax West/Halifax-Ouest"," 24","Halifax",53,28,50,0,8,9,0,148,358
12006,"Halifax West/Halifax-Ouest"," 25","Halifax",89,46,28,0,4,2,0,169,356
12006,"Halifax West/Halifax-Ouest"," 26","Halifax",59,17,25,0,3,3,0,107,271
12006,"Halifax West/Halifax-Ouest"," 27","Halifax",89,46,48,0,2,4,2,191,413
12006,"Halifax West/Halifax-Ouest"," 28","Halifax",76,27,49,0,3,4,0,159,413
12006,"Halifax West/Halifax-Ouest"," 29","Halifax",48,19,14,0,5,1,0,87,303
12006,"Halifax West/Halifax-Ouest"," 30","Halifax",66,22,37,0,2,5,1,133,353
12006,"Halifax West/Halifax-Ouest"," 31A","Halifax",21,9,16,0,0,1,0,47,142
12006,"Halifax West/Halifax-Ouest"," 31B","Halifax",34,18,7,0,1,0,0,60,130
12006,"Halifax West/Halifax-Ouest"," 32","Halifax",63,28,36,0,6,8,0,141,419
12006,"Halifax West/Halifax-Ouest"," 33","Halifax",52,29,17,1,1,6,1,107,320
12006,"Halifax West/Halifax-Ouest"," 34","Halifax",42,15,19,0,5,2,0,83,288
12006,"Halifax West/Halifax-Ouest"," 35","Halifax",65,22,50,0,6,5,0,148,445
12006,"Halifax West/Halifax-Ouest"," 36","Halifax",49,19,31,0,1,4,0,104,335
12006,"Halifax West/Halifax-Ouest"," 37","Halifax",67,42,48,0,7,7,2,173,410
12006,"Halifax West/Halifax-Ouest"," 38","Halifax",61,30,46,0,2,8,1,148,351
12006,"Halifax West/Halifax-Ouest"," 39","Halifax",99,52,28,0,6,7,0,192,467
12006,"Halifax West/Halifax-Ouest"," 40","Hammond Plains",80,43,51,0,4,3,0,181,386
12006,"Halifax West/Halifax-Ouest"," 41","Hammond Plains",30,27,11,0,4,2,0,74,292
12006,"Halifax West/Halifax-Ouest"," 42","Hammond Plains",65,44,24,0,7,3,0,143,356
12006,"Halifax West/Halifax-Ouest"," 43","English Corner",66,46,49,0,13,4,0,178,435
12006,"Halifax West/Halifax-Ouest"," 44","Uplands Park",69,54,44,0,8,6,1,182,422
12006,"Halifax West/Halifax-Ouest"," 45","Hammond Plains",73,41,13,0,2,2,0,131,391
12006,"Halifax West/Halifax-Ouest"," 46","Hammond Plains",71,76,21,0,7,6,0,181,465
12006,"Halifax West/Halifax-Ouest"," 47","Halifax",92,39,35,0,13,5,1,185,504
12006,"Halifax West/Halifax-Ouest"," 48","Hammond Plains",77,34,39,0,1,4,0,155,408
12006,"Halifax West/Halifax-Ouest"," 49","Halifax",84,66,30,0,6,5,0,191,507
12006,"Halifax West/Halifax-Ouest"," 50","Hammond Plains",48,43,22,0,6,6,0,125,327
12006,"Halifax West/Halifax-Ouest"," 51","Hammond Plains",70,30,30,2,1,3,0,136,347
12006,"Halifax West/Halifax-Ouest"," 52","Hammond Plains",72,30,24,0,6,5,1,138,358
12006,"Halifax West/Halifax-Ouest"," 53","Halifax",66,46,64,0,4,1,1,182,378
12006,"Halifax West/Halifax-Ouest"," 54A","Halifax",31,22,12,0,4,1,1,71,282
12006,"Halifax West/Halifax-Ouest"," 54B","Halifax",21,21,9,0,1,2,0,54,138
12006,"Halifax West/Halifax-Ouest"," 54C","Halifax",33,13,11,0,2,0,0,59,85
12006,"Halifax West/Halifax-Ouest"," 55","Halifax",37,18,10,0,4,1,0,70,208
12006,"Halifax West/Halifax-Ouest"," 56","Halifax",50,18,21,0,4,0,0,93,339
12006,"Halifax West/Halifax-Ouest"," 57A","Halifax",26,11,11,0,0,2,0,50,140
12006,"Halifax West/Halifax-Ouest"," 57B","Halifax",35,13,31,0,3,2,0,84,144
12006,"Halifax West/Halifax-Ouest"," 58","Halifax",33,13,45,1,6,2,0,100,409
12006,"Halifax West/Halifax-Ouest"," 59","Halifax",85,43,27,2,2,0,0,159,410
12006,"Halifax West/Halifax-Ouest"," 60A","Halifax",50,19,44,2,6,2,0,123,398
12006,"Halifax West/Halifax-Ouest"," 60B","Halifax",23,12,70,0,4,1,0,110,150
12006,"Halifax West/Halifax-Ouest"," 61","Halifax",78,36,20,0,4,2,0,140,386
12006,"Halifax West/Halifax-Ouest"," 62","Halifax",94,44,25,0,2,2,1,168,454
12006,"Halifax West/Halifax-Ouest"," 63","Halifax",52,28,24,0,3,2,0,109,314
12006,"Halifax West/Halifax-Ouest"," 64","Halifax",118,24,40,0,5,7,0,194,540
12006,"Halifax West/Halifax-Ouest"," 65","Halifax",92,59,37,0,2,6,0,196,478
12006,"Halifax West/Halifax-Ouest"," 66","Halifax",117,45,45,0,7,6,0,220,554
12006,"Halifax West/Halifax-Ouest"," 67","Halifax",86,33,25,0,7,3,0,154,457
12006,"Halifax West/Halifax-Ouest"," 68","Halifax",63,22,44,0,5,5,0,139,354
12006,"Halifax West/Halifax-Ouest"," 69","Halifax",77,33,33,0,10,2,0,155,413
12006,"Halifax West/Halifax-Ouest"," 70A","Halifax",11,3,7,0,0,0,0,21,77
12006,"Halifax West/Halifax-Ouest"," 70B","Halifax",73,38,32,2,1,1,0,147,238
12006,"Halifax West/Halifax-Ouest"," 71","Halifax",69,38,24,0,2,0,0,133,367
12006,"Halifax West/Halifax-Ouest"," 72","Halifax",62,24,24,0,3,2,1,116,389
12006,"Halifax West/Halifax-Ouest"," 73","Halifax",42,20,12,0,3,2,1,80,268
12006,"Halifax West/Halifax-Ouest"," 74","Halifax",29,18,29,0,3,2,0,81,350
12006,"Halifax West/Halifax-Ouest"," 75","Halifax",49,19,19,0,4,9,0,100,388
12006,"Halifax West/Halifax-Ouest"," 76A","Halifax",95,41,21,0,3,0,0,160,269
12006,"Halifax West/Halifax-Ouest"," 76B","Halifax",79,29,21,0,4,3,0,136,236
12006,"Halifax West/Halifax-Ouest"," 77A","Halifax",73,39,44,0,7,1,0,164,321
12006,"Halifax West/Halifax-Ouest"," 77B","Halifax",40,15,50,0,4,1,0,110,145
12006,"Halifax West/Halifax-Ouest"," 78A","Halifax",67,38,26,0,0,3,0,134,231
12006,"Halifax West/Halifax-Ouest"," 78B","Halifax",16,19,14,0,0,1,1,51,106
12006,"Halifax West/Halifax-Ouest"," 78C","Halifax",20,9,11,0,0,2,0,42,61
12006,"Halifax West/Halifax-Ouest"," 79A","Halifax",95,49,27,0,5,2,0,178,451
12006,"Halifax West/Halifax-Ouest"," 79B","Halifax",79,58,29,0,8,3,1,178,390
12006,"Halifax West/Halifax-Ouest"," 79C","Halifax",19,10,13,0,1,2,0,45,69
12006,"Halifax West/Halifax-Ouest"," 79D","Halifax",23,17,7,0,0,0,0,47,83
12006,"Halifax West/Halifax-Ouest"," 80A","Halifax",67,58,29,0,7,1,0,162,371
12006,"Halifax West/Halifax-Ouest"," 80B","Halifax",57,33,29,0,4,3,0,126,303
12006,"Halifax West/Halifax-Ouest"," 81A","Halifax",58,44,21,0,4,7,0,134,332
12006,"Halifax West/Halifax-Ouest"," 81B","Halifax",81,23,16,0,5,1,0,126,231
12006,"Halifax West/Halifax-Ouest"," 82A","Halifax",58,26,22,0,2,1,0,109,387
12006,"Halifax West/Halifax-Ouest"," 82B","Halifax",40,27,16,0,1,4,0,88,321
12006,"Halifax West/Halifax-Ouest"," 83A","Halifax",55,34,24,0,0,1,0,114,382
12006,"Halifax West/Halifax-Ouest"," 83B","Halifax",44,29,26,0,2,5,0,106,330
12006,"Halifax West/Halifax-Ouest"," 83C","Halifax",42,23,14,0,0,1,0,80,84
12006,"Halifax West/Halifax-Ouest"," 84","Halifax",72,23,17,0,1,5,0,118,221
12006,"Halifax West/Halifax-Ouest"," 85","Halifax",43,22,65,0,7,2,0,139,416
12006,"Halifax West/Halifax-Ouest"," 86","Halifax",91,41,60,0,3,4,0,199,489
12006,"Halifax West/Halifax-Ouest"," 87","Halifax",39,30,25,0,1,3,0,98,318
12006,"Halifax West/Halifax-Ouest"," 88","Halifax",54,35,39,2,5,4,0,139,355
12006,"Halifax West/Halifax-Ouest"," 89","Halifax",43,24,15,0,2,2,0,86,251
12006,"Halifax West/Halifax-Ouest"," 90","Halifax",61,27,46,0,5,5,0,144,354
12006,"Halifax West/Halifax-Ouest"," 91","Halifax",81,38,52,0,5,2,0,178,457
12006,"Halifax West/Halifax-Ouest"," 92A","Halifax",51,19,28,0,7,4,0,109,386
12006,"Halifax West/Halifax-Ouest"," 92B","Halifax",9,8,64,0,0,5,1,87,11
12006,"Halifax West/Halifax-Ouest"," 93","Halifax",90,38,59,2,2,4,1,196,485
12006,"Halifax West/Halifax-Ouest"," 94","Halifax",63,26,28,2,5,9,1,134,342
12006,"Halifax West/Halifax-Ouest"," 95A","Halifax",28,12,23,1,0,0,0,64,132
12006,"Halifax West/Halifax-Ouest"," 95B","Halifax",21,12,16,0,1,0,0,50,80
12006,"Halifax West/Halifax-Ouest"," 96","Halifax",45,10,14,0,2,10,0,81,238
12006,"Halifax West/Halifax-Ouest"," 97","Halifax",47,20,61,0,7,4,1,140,363
12006,"Halifax West/Halifax-Ouest"," 98","Halifax",49,26,66,1,7,2,1,152,448
12006,"Halifax West/Halifax-Ouest"," 99","Halifax",93,38,47,0,6,5,0,189,361
12006,"Halifax West/Halifax-Ouest"," 100","Halifax",48,23,30,0,4,2,0,107,360
12006,"Halifax West/Halifax-Ouest"," 101","Halifax",68,26,60,0,12,10,0,176,446
12006,"Halifax West/Halifax-Ouest"," 102","Halifax",44,17,50,0,7,5,1,124,371
12006,"Halifax West/Halifax-Ouest"," 103","Halifax",58,29,41,0,6,5,0,139,359
12006,"Halifax West/Halifax-Ouest"," 104A","Halifax",50,15,57,0,6,1,0,129,263
12006,"Halifax West/Halifax-Ouest"," 104B","Halifax",40,14,57,0,7,2,0,120,255
12006,"Halifax West/Halifax-Ouest"," 105","Halifax",66,31,47,0,6,6,0,156,398
12006,"Halifax West/Halifax-Ouest"," 106","Halifax",30,24,63,0,9,2,1,129,387
12006,"Halifax West/Halifax-Ouest"," 107","Halifax",38,6,43,1,4,1,0,93,302
12006,"Halifax West/Halifax-Ouest"," 108","Halifax",53,21,58,0,5,2,0,139,385
12006,"Halifax West/Halifax-Ouest"," 109","Halifax",37,10,57,0,3,2,1,110,356
12006,"Halifax West/Halifax-Ouest"," 110","Halifax",55,17,47,0,6,2,1,128,402
12006,"Halifax West/Halifax-Ouest"," 111A","Halifax",50,10,53,0,3,3,0,119,317
12006,"Halifax West/Halifax-Ouest"," 111B","Halifax",33,9,37,0,1,3,0,83,275
12006,"Halifax West/Halifax-Ouest"," 112","Halifax",65,21,58,0,3,4,0,151,479
12006,"Halifax West/Halifax-Ouest"," 113","Halifax",39,17,42,0,0,2,1,101,357
12006,"Halifax West/Halifax-Ouest"," 114","Halifax",38,5,37,0,3,1,0,84,285
12006,"Halifax West/Halifax-Ouest"," 115","Halifax",60,20,68,1,7,3,0,159,405
12006,"Halifax West/Halifax-Ouest"," 116","Halifax",35,14,66,0,6,9,0,130,350
12006,"Halifax West/Halifax-Ouest"," 117","Halifax",53,24,78,1,4,3,1,164,390
12006,"Halifax West/Halifax-Ouest"," 118","Halifax",76,40,81,0,5,6,0,208,478
12006,"Halifax West/Halifax-Ouest"," 119","Halifax",74,47,40,0,5,2,1,169,388
12006,"Halifax West/Halifax-Ouest"," 120","Halifax",101,25,57,0,6,6,0,195,460
12006,"Halifax West/Halifax-Ouest"," 121","Halifax",105,38,39,0,2,4,0,188,462
12006,"Halifax West/Halifax-Ouest"," 122","Halifax",42,21,52,0,3,4,0,122,357
12006,"Halifax West/Halifax-Ouest"," 123","Halifax",59,18,28,0,4,4,0,113,372
12006,"Halifax West/Halifax-Ouest"," 124","Halifax",34,18,24,0,3,2,0,81,241
12006,"Halifax West/Halifax-Ouest"," 125","Halifax",84,33,36,0,3,5,3,164,430
12006,"Halifax West/Halifax-Ouest"," 126","Halifax",72,24,68,1,1,1,0,167,374
12006,"Halifax West/Halifax-Ouest"," 127","Halifax",39,16,37,0,3,3,0,98,285
12006,"Halifax West/Halifax-Ouest"," 128","Halifax",95,48,33,0,9,3,1,189,528
12006,"Halifax West/Halifax-Ouest"," 129","Halifax",30,8,42,0,2,1,0,83,270
12006,"Halifax West/Halifax-Ouest"," 130","Halifax",46,21,92,0,6,4,1,170,498
12006,"Halifax West/Halifax-Ouest"," 131","Halifax",37,14,57,0,9,4,0,121,433
12006,"Halifax West/Halifax-Ouest"," 132","Halifax",53,41,29,0,5,5,1,134,459
12006,"Halifax West/Halifax-Ouest"," 133","Halifax",75,29,58,0,5,6,0,173,526
12006,"Halifax West/Halifax-Ouest"," 134","Halifax",44,18,37,0,4,0,2,105,302
12006,"Halifax West/Halifax-Ouest"," 135","Halifax",78,30,38,1,3,3,0,153,435
12006,"Halifax West/Halifax-Ouest"," 136","Halifax",81,29,61,0,3,5,0,179,423
12006,"Halifax West/Halifax-Ouest"," 137","Halifax",52,22,36,2,3,1,0,116,346
12006,"Halifax West/Halifax-Ouest"," 138","Halifax",49,17,29,1,7,5,0,108,405
12006,"Halifax West/Halifax-Ouest"," 139","Halifax",34,20,47,0,6,6,0,113,391
12006,"Halifax West/Halifax-Ouest"," 140","Halifax",26,19,39,0,3,1,0,88,347
12006,"Halifax West/Halifax-Ouest"," 141","Yankeetown",50,34,38,1,1,8,0,132,399
12006,"Halifax West/Halifax-Ouest"," 142","Yankeetown",79,65,39,0,7,5,0,195,446
12006,"Halifax West/Halifax-Ouest"," 143","Yankeetown",40,19,37,0,1,1,1,99,341
12006,"Halifax West/Halifax-Ouest"," 144","Yankeetown",74,47,45,0,4,4,0,174,379
12006,"Halifax West/Halifax-Ouest"," 145","Stillwater Lake",91,44,59,0,8,4,0,206,471
12006,"Halifax West/Halifax-Ouest"," 146","Stillwater Lake",71,33,32,1,7,3,0,147,418
12006,"Halifax West/Halifax-Ouest"," 147","Stillwater Lake",122,55,61,0,5,7,0,250,472
12006,"Halifax West/Halifax-Ouest"," 148","Stillwater Lake",105,48,44,0,2,3,0,202,419
12006,"Halifax West/Halifax-Ouest"," 149","Stillwater Lake",96,50,52,0,6,4,0,208,423
12006,"Halifax West/Halifax-Ouest"," 150","Halifax",59,21,59,1,5,5,0,150,511
12006,"Halifax West/Halifax-Ouest"," 151","Halifax",58,24,46,0,10,0,0,138,414
12006,"Halifax West/Halifax-Ouest"," 152","Halifax",69,17,47,1,6,2,0,142,335
12006,"Halifax West/Halifax-Ouest"," 153","Halifax",46,19,67,0,6,5,0,143,376
12006,"Halifax West/Halifax-Ouest"," 154","Halifax",60,13,45,1,3,2,0,124,363
12006,"Halifax West/Halifax-Ouest"," 155","Halifax",46,14,60,0,5,4,0,129,433
12006,"Halifax West/Halifax-Ouest"," 156","Halifax",60,11,32,0,3,2,0,108,279
12006,"Halifax West/Halifax-Ouest"," 157","Halifax",63,29,89,1,4,5,0,191,481
12006,"Halifax West/Halifax-Ouest"," 158A","Halifax",33,13,61,2,2,6,0,117,310
12006,"Halifax West/Halifax-Ouest"," 158B","Halifax",46,17,58,0,7,4,0,132,266
12006,"Halifax West/Halifax-Ouest"," 159A","Halifax",75,23,61,0,5,2,0,166,488
12006,"Halifax West/Halifax-Ouest"," 159B","Halifax",36,20,36,0,1,2,0,95,115
12006,"Halifax West/Halifax-Ouest"," 160A","Halifax",65,22,23,1,0,2,2,115,209
12006,"Halifax West/Halifax-Ouest"," 160B","Halifax",62,23,17,0,4,0,0,106,174
12006,"Halifax West/Halifax-Ouest"," 161","Halifax",46,13,15,1,1,5,0,81,291
12006,"Halifax West/Halifax-Ouest"," 162","Halifax",52,12,44,0,3,3,0,114,410
12006,"Halifax West/Halifax-Ouest"," 163A","Halifax",42,19,11,0,2,2,1,77,250
12006,"Halifax West/Halifax-Ouest"," 163B","Halifax",55,42,14,1,3,3,0,118,229
