Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Marie-Josée Béliveau,Yves-François Blanchet,Michel Blondin,Danila Ejov,Fabrice Gélinas Larrain,Mario Grimard,Marie-Chantal Hamel,Stéphane Robichaud,Thomas Thibault-Vincent,Benjamin Vachon,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24011,"Beloeil--Chambly/Beloeil--Chambly"," 1","Mont-Saint-Hilaire",8,50,0,5,2,2,24,11,0,1,1,104,282
24011,"Beloeil--Chambly/Beloeil--Chambly"," 2","Mont-Saint-Hilaire",15,57,0,2,2,2,37,7,0,0,2,124,308
24011,"Beloeil--Chambly/Beloeil--Chambly"," 3","Mont-Saint-Hilaire",9,52,0,1,3,0,66,24,2,0,1,158,359
24011,"Beloeil--Chambly/Beloeil--Chambly"," 4","Mont-Saint-Hilaire",13,95,0,3,5,1,47,11,2,0,0,177,444
24011,"Beloeil--Chambly/Beloeil--Chambly"," 5","Mont-Saint-Hilaire",10,66,0,3,4,1,39,7,1,0,0,131,411
24011,"Beloeil--Chambly/Beloeil--Chambly"," 6","Mont-Saint-Hilaire",17,101,1,1,4,1,37,13,2,2,4,183,474
24011,"Beloeil--Chambly/Beloeil--Chambly"," 7","Beloeil",20,96,1,5,8,2,23,14,2,0,0,171,448
24011,"Beloeil--Chambly/Beloeil--Chambly"," 8","Beloeil",16,140,0,3,4,8,56,15,4,0,2,248,520
24011,"Beloeil--Chambly/Beloeil--Chambly"," 9A","Beloeil",8,50,0,0,2,0,30,15,0,0,6,111,246
24011,"Beloeil--Chambly/Beloeil--Chambly"," 9B","Beloeil",18,73,0,5,3,1,37,15,0,2,4,158,371
24011,"Beloeil--Chambly/Beloeil--Chambly"," 10","Beloeil",22,94,0,2,3,3,64,11,0,0,4,203,485
24011,"Beloeil--Chambly/Beloeil--Chambly"," 11","Beloeil",13,95,2,3,1,1,35,9,0,0,0,159,359
24011,"Beloeil--Chambly/Beloeil--Chambly"," 12","Beloeil",20,113,1,3,0,1,61,20,1,2,2,224,529
24011,"Beloeil--Chambly/Beloeil--Chambly"," 13","Beloeil",9,79,0,2,1,1,43,15,0,0,2,152,348
