Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Xavier Barsalou-Duval,Alexandre Blais,Carole Boisvert,Louis-Gabriel Girard,Martin Leprohon,Jérôme Painchaud,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 62","Saint-Amable",54,4,1,21,9,5,1,95,270
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 63","Varennes",95,6,6,32,29,13,7,188,566
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 64","Varennes",72,2,0,39,16,10,5,144,466
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 65","Varennes",80,7,4,28,15,10,1,145,410
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 66","Varennes",91,1,0,38,17,9,6,162,411
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 67","Varennes",78,3,2,26,13,7,3,132,441
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 68","Varennes",64,1,1,31,18,9,1,125,386
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 69","Varennes",79,1,3,35,12,8,3,141,390
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 70","Varennes",96,2,3,27,12,7,4,151,402
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 71","Varennes",66,5,2,21,7,9,4,114,321
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 72","Varennes",110,3,2,44,20,19,8,206,544
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 73","Saint-Amable",61,3,2,35,9,14,14,138,399
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 74","Saint-Amable",62,7,1,31,16,8,2,127,366
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 75","Saint-Amable",73,4,2,27,11,6,4,127,342
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 76","Saint-Amable",85,4,4,32,10,21,1,157,428
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 77","Saint-Amable",71,4,7,27,19,12,7,147,390
