Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Xavier Barsalou-Duval,Alexandre Blais,Carole Boisvert,Louis-Gabriel Girard,Martin Leprohon,Jérôme Painchaud,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 160","Boucherville",78,11,5,48,22,13,2,179,536
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 161","Boucherville",65,7,1,27,8,13,2,123,307
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 162","Boucherville",83,4,3,52,12,10,2,166,402
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 163","Boucherville",55,0,2,49,21,12,1,140,306
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 164","Boucherville",65,4,1,40,20,10,4,144,344
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 165","Boucherville",68,2,0,29,15,7,3,124,342
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 166","Boucherville",87,1,2,37,13,10,1,151,363
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 167","Boucherville",83,4,3,49,15,12,3,169,401
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 168","Boucherville",81,4,2,39,16,10,1,153,429
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 169","Boucherville",94,1,2,36,20,12,0,165,388
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 170","Boucherville",83,0,1,58,26,12,2,182,373
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 171","Boucherville",50,1,0,39,10,17,1,118,304
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 172","Boucherville",63,3,0,51,12,20,0,149,346
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 173","Boucherville",97,4,3,81,17,17,1,220,575
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 174","Boucherville",83,2,0,43,13,7,0,148,374
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 175","Boucherville",49,0,3,38,14,9,1,114,323
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 176","Boucherville",37,0,1,30,1,10,2,81,439
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 177","Boucherville",92,3,2,59,11,15,3,185,499
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 178","Boucherville",59,0,1,30,11,9,0,110,308
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 179","Boucherville",52,2,1,35,23,12,3,128,329
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 180","Boucherville",61,3,0,24,5,13,2,108,344
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 181","Boucherville",64,3,2,38,17,18,0,142,342
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 182","Boucherville",81,2,0,45,22,15,2,167,393
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 183","Boucherville",74,2,2,42,15,3,2,140,316
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 184","Boucherville",66,3,2,55,19,5,3,153,358
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 185","Boucherville",82,1,3,86,12,22,3,209,412
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 186","Boucherville",84,1,3,56,18,16,5,183,447
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 187","Boucherville",80,5,2,83,22,23,2,217,485
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 188","Boucherville",73,4,1,52,22,18,3,173,435
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 189","Boucherville",98,2,2,62,10,5,3,182,405
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 190","Boucherville",73,0,2,62,23,7,4,171,370
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 191","Boucherville",72,3,2,84,15,21,1,198,410
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 192","Boucherville",79,1,1,54,16,22,2,175,441
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 193","Boucherville",78,0,3,67,20,16,4,188,438
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 194","Boucherville",97,0,3,80,21,28,1,230,464
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 195","Boucherville",80,1,1,55,18,8,3,166,407
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 196","Boucherville",69,8,1,76,19,16,1,190,437
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 197","Boucherville",77,4,1,46,26,4,1,159,340
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 198","Boucherville",71,4,1,54,15,13,2,160,379
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 400","Varennes",5,0,2,9,0,3,0,19,104
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 401","Boucherville",17,1,3,31,0,3,5,60,109
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 402","Boucherville",38,0,6,64,2,5,4,119,177
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 403","Boucherville",95,2,7,176,3,15,15,313,454
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 500","Mobile poll/Bureau itinérant",2,0,0,3,0,1,1,7,20
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 501","Mobile poll/Bureau itinérant",4,1,4,7,0,1,2,19,32
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 502","Contrecoeur",Merged with No./Fusionné avec le n°11,,,,,,,,4
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 503","Mobile poll/Bureau itinérant",Electors voted by special ballot in Group 2./Les électeurs ont voté par bulletin de vote spécial dans le Groupe 2.,,,,,,,,61
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 504","Mobile poll/Bureau itinérant",1,0,0,1,0,2,1,5,15
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 505","Mobile poll/Bureau itinérant",1,0,0,4,0,0,2,7,11
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 506","Mobile poll/Bureau itinérant",15,0,0,10,2,0,1,28,57
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 507","Saint-Marc-sur-Richelieu",Merged with No./Fusionné avec le n°40,,,,,,,,18
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 508","Mobile poll/Bureau itinérant",68,1,4,68,0,9,6,156,215
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 509","Mobile poll/Bureau itinérant",12,2,4,8,0,2,2,30,42
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 510","Mobile poll/Bureau itinérant",2,1,0,4,0,0,1,8,16
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 511","Mobile poll/Bureau itinérant",3,0,0,9,0,0,2,14,73
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 512","Mobile poll/Bureau itinérant",7,0,2,6,2,3,5,25,34
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 513","Mobile poll/Bureau itinérant",2,0,0,1,0,0,0,3,30
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 514","Mobile poll/Bureau itinérant",9,0,1,12,0,0,2,24,55
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 515","Mobile poll/Bureau itinérant",0,0,0,0,0,0,0,0,34
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 600","Contrecoeur",896,26,13,211,42,122,22,1332,
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 601","Contrecoeur--Saint-Marc-sur-Richelieu",465,13,16,119,36,61,3,713,
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 602","Saint-Denis-sur-Richelieu--Saint-Charles-sur-Richelieu",444,7,6,133,31,82,14,717,
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 603","Verchères",865,14,21,220,62,110,15,1307,
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 604","Saint-Mathieu-de-Beloeil",491,9,13,215,38,103,12,881,
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 605","Saint-Amable",539,34,13,167,66,87,23,929,
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 606","Saint-Amable",532,28,10,184,41,97,21,913,
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 607","Varennes",831,17,20,258,68,92,12,1298,
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 608","Varennes",893,19,18,355,94,143,16,1538,
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 609","Varennes",938,10,16,270,87,140,3,1464,
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 610","Boucherville",484,9,8,238,40,77,10,866,
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 611","Boucherville",873,12,15,558,67,185,14,1724,
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 612","Boucherville",803,10,19,381,72,110,18,1413,
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 613","Boucherville",995,12,22,509,114,104,20,1776,
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 614","Boucherville",670,9,11,368,80,92,9,1239,
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 615","Boucherville",567,14,7,392,78,84,13,1155,
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 616","Boucherville",542,15,10,406,63,136,17,1189,
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères",,Group 1/Groupe 1, 99,3,2,81,32,22,9,248,52
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères",,Group 2/Groupe 2, 1039,13,16,511,111,147,55,1892,
