Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Michael Coteau,Peter De Marco,Simon Topp,Penelope Williams,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35019,"Don Valley East/Don Valley-Est"," 1","Toronto",132,13,37,63,2,247,509
35019,"Don Valley East/Don Valley-Est"," 2","Toronto",136,14,26,57,2,235,469
35019,"Don Valley East/Don Valley-Est"," 3","Toronto",118,13,25,61,2,219,442
35019,"Don Valley East/Don Valley-Est"," 4","Toronto",134,15,45,38,1,233,309
35019,"Don Valley East/Don Valley-Est"," 5A","Toronto",Merged with No./Fusionné avec le n°11A,,,,,,87
35019,"Don Valley East/Don Valley-Est"," 5B","Toronto",Merged with No./Fusionné avec le n°11B,,,,,,105
35019,"Don Valley East/Don Valley-Est"," 5C","Toronto",Merged with No./Fusionné avec le n°11C,,,,,,80
35019,"Don Valley East/Don Valley-Est"," 5D","Toronto",Merged with No./Fusionné avec le n°11D,,,,,,111
35019,"Don Valley East/Don Valley-Est"," 6A","Toronto",Merged with No./Fusionné avec le n°11A,,,,,,86
35019,"Don Valley East/Don Valley-Est"," 6B","Toronto",Merged with No./Fusionné avec le n°11B,,,,,,79
35019,"Don Valley East/Don Valley-Est"," 6C","Toronto",Merged with No./Fusionné avec le n°11C,,,,,,76
35019,"Don Valley East/Don Valley-Est"," 6D","Toronto",Merged with No./Fusionné avec le n°11D,,,,,,102
35019,"Don Valley East/Don Valley-Est"," 7A","Toronto",Merged with No./Fusionné avec le n°11A,,,,,,99
35019,"Don Valley East/Don Valley-Est"," 7B","Toronto",Merged with No./Fusionné avec le n°11B,,,,,,76
35019,"Don Valley East/Don Valley-Est"," 7C","Toronto",Merged with No./Fusionné avec le n°11C,,,,,,115
35019,"Don Valley East/Don Valley-Est"," 7D","Toronto",Merged with No./Fusionné avec le n°11D,,,,,,123
35019,"Don Valley East/Don Valley-Est"," 8A","Toronto",Merged with No./Fusionné avec le n°11A,,,,,,123
35019,"Don Valley East/Don Valley-Est"," 8B","Toronto",Merged with No./Fusionné avec le n°11B,,,,,,112
35019,"Don Valley East/Don Valley-Est"," 8C","Toronto",Merged with No./Fusionné avec le n°11C,,,,,,129
35019,"Don Valley East/Don Valley-Est"," 8D","Toronto",Merged with No./Fusionné avec le n°11D,,,,,,123
35019,"Don Valley East/Don Valley-Est"," 9","Toronto",70,4,13,18,0,105,270
35019,"Don Valley East/Don Valley-Est"," 10","Toronto",104,8,22,41,0,175,420
35019,"Don Valley East/Don Valley-Est"," 11A","Toronto",120,15,29,58,0,222,153
35019,"Don Valley East/Don Valley-Est"," 11B","Toronto",115,11,33,45,0,204,107
35019,"Don Valley East/Don Valley-Est"," 11C","Toronto",135,14,39,58,2,248,172
35019,"Don Valley East/Don Valley-Est"," 11D","Toronto",137,8,45,74,3,267,152
35019,"Don Valley East/Don Valley-Est"," 12","Toronto",178,15,53,69,2,317,420
35019,"Don Valley East/Don Valley-Est"," 13A","Toronto",Merged with No./Fusionné avec le n°16A,,,,,,121
35019,"Don Valley East/Don Valley-Est"," 13B","Toronto",Merged with No./Fusionné avec le n°16B,,,,,,156
35019,"Don Valley East/Don Valley-Est"," 13C","Toronto",Merged with No./Fusionné avec le n°16C,,,,,,131
35019,"Don Valley East/Don Valley-Est"," 14A","Toronto",Merged with No./Fusionné avec le n°16A,,,,,,140
35019,"Don Valley East/Don Valley-Est"," 14B","Toronto",Merged with No./Fusionné avec le n°16B,,,,,,116
35019,"Don Valley East/Don Valley-Est"," 14C","Toronto",Merged with No./Fusionné avec le n°16C,,,,,,133
35019,"Don Valley East/Don Valley-Est"," 15A","Toronto",Merged with No./Fusionné avec le n°16A,,,,,,195
35019,"Don Valley East/Don Valley-Est"," 15B","Toronto",Merged with No./Fusionné avec le n°16B,,,,,,178
35019,"Don Valley East/Don Valley-Est"," 15C","Toronto",Merged with No./Fusionné avec le n°16C,,,,,,178
35019,"Don Valley East/Don Valley-Est"," 16A","Toronto",134,13,28,62,2,239,157
35019,"Don Valley East/Don Valley-Est"," 16B","Toronto",169,12,37,50,0,268,164
35019,"Don Valley East/Don Valley-Est"," 16C","Toronto",162,16,40,51,5,274,155
35019,"Don Valley East/Don Valley-Est"," 17A","Toronto",Merged with No./Fusionné avec le n°20A,,,,,,169
35019,"Don Valley East/Don Valley-Est"," 17B","Toronto",Merged with No./Fusionné avec le n°20B,,,,,,125
35019,"Don Valley East/Don Valley-Est"," 17C","Toronto",Merged with No./Fusionné avec le n°20C,,,,,,163
35019,"Don Valley East/Don Valley-Est"," 18A","Toronto",Merged with No./Fusionné avec le n°20A,,,,,,71
35019,"Don Valley East/Don Valley-Est"," 18B","Toronto",Merged with No./Fusionné avec le n°20B,,,,,,102
35019,"Don Valley East/Don Valley-Est"," 18C","Toronto",Merged with No./Fusionné avec le n°20C,,,,,,100
35019,"Don Valley East/Don Valley-Est"," 19A","Toronto",Merged with No./Fusionné avec le n°20A,,,,,,157
35019,"Don Valley East/Don Valley-Est"," 19B","Toronto",Merged with No./Fusionné avec le n°20B,,,,,,159
35019,"Don Valley East/Don Valley-Est"," 19C","Toronto",Merged with No./Fusionné avec le n°20C,,,,,,155
35019,"Don Valley East/Don Valley-Est"," 20A","Toronto",133,17,42,65,2,259,212
35019,"Don Valley East/Don Valley-Est"," 20B","Toronto",152,9,36,62,4,263,147
35019,"Don Valley East/Don Valley-Est"," 20C","Toronto",147,16,33,65,2,263,179
35019,"Don Valley East/Don Valley-Est"," 21A","Toronto",Merged with No./Fusionné avec le n°20A,,,,,,139
35019,"Don Valley East/Don Valley-Est"," 21B","Toronto",Merged with No./Fusionné avec le n°20B,,,,,,121
35019,"Don Valley East/Don Valley-Est"," 21C","Toronto",Merged with No./Fusionné avec le n°20C,,,,,,76
35019,"Don Valley East/Don Valley-Est"," 22","Toronto",Merged with No./Fusionné avec le n°12,,,,,,423
35019,"Don Valley East/Don Valley-Est"," 23","Toronto",130,11,37,57,2,237,371
35019,"Don Valley East/Don Valley-Est"," 24","Toronto",Merged with No./Fusionné avec le n°23,,,,,,306
35019,"Don Valley East/Don Valley-Est"," 25","Toronto",80,5,16,47,1,149,235
35019,"Don Valley East/Don Valley-Est"," 26","Toronto",103,16,37,67,2,225,366
35019,"Don Valley East/Don Valley-Est"," 27","Toronto",143,16,30,18,7,214,363
35019,"Don Valley East/Don Valley-Est"," 28A","Toronto",Merged with No./Fusionné avec le n°29A,,,,,,114
35019,"Don Valley East/Don Valley-Est"," 28B","Toronto",Merged with No./Fusionné avec le n°29B,,,,,,86
35019,"Don Valley East/Don Valley-Est"," 28C","Toronto",Merged with No./Fusionné avec le n°29C,,,,,,62
35019,"Don Valley East/Don Valley-Est"," 28D","Toronto",Merged with No./Fusionné avec le n°29D,,,,,,152
35019,"Don Valley East/Don Valley-Est"," 28E","Toronto",Merged with No./Fusionné avec le n°29E,,,,,,89
35019,"Don Valley East/Don Valley-Est"," 29A","Toronto",153,10,46,78,2,289,127
35019,"Don Valley East/Don Valley-Est"," 29B","Toronto",139,13,46,53,1,252,100
35019,"Don Valley East/Don Valley-Est"," 29C","Toronto",119,13,30,66,2,230,97
35019,"Don Valley East/Don Valley-Est"," 29D","Toronto",197,12,60,111,9,389,121
35019,"Don Valley East/Don Valley-Est"," 29E","Toronto",184,14,58,93,3,352,108
