Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Khalis Ahmed,Peggy Askin,Jessica Dale-Walker,Stephen J Garvey,Judson Hansell,Larry R. Heather,Michelle Rempel Garner,Kyle Scott,Vanessa Wang,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48009,"Calgary Nose Hill/Calgary Nose Hill"," 1A","Calgary",42,0,92,0,5,0,93,9,0,0,241,619
48009,"Calgary Nose Hill/Calgary Nose Hill"," 1B","Calgary",45,0,64,0,3,0,97,8,1,3,221,637
48009,"Calgary Nose Hill/Calgary Nose Hill"," 2","Calgary",68,0,118,3,5,2,233,15,3,0,447,646
48009,"Calgary Nose Hill/Calgary Nose Hill"," 3","Calgary",Merged with No./Fusionné avec le n°2,,,,,,,,,,,617
48009,"Calgary Nose Hill/Calgary Nose Hill"," 4","Calgary",67,2,109,0,3,0,129,8,1,5,324,570
48009,"Calgary Nose Hill/Calgary Nose Hill"," 5","Calgary",Merged with No./Fusionné avec le n°4,,,,,,,,,,,485
48009,"Calgary Nose Hill/Calgary Nose Hill"," 6","Calgary",Merged with No./Fusionné avec le n°7,,,,,,,,,,,360
48009,"Calgary Nose Hill/Calgary Nose Hill"," 7","Calgary",39,2,73,0,2,1,117,11,0,2,247,424
48009,"Calgary Nose Hill/Calgary Nose Hill"," 8","Calgary",36,0,53,0,2,1,102,10,2,2,208,649
48009,"Calgary Nose Hill/Calgary Nose Hill"," 9","Calgary",30,0,42,1,1,0,63,9,0,1,147,427
48009,"Calgary Nose Hill/Calgary Nose Hill"," 10","Calgary",25,0,46,0,0,0,75,1,0,2,149,445
48009,"Calgary Nose Hill/Calgary Nose Hill"," 11","Calgary",41,1,61,1,2,1,78,5,0,1,191,564
48009,"Calgary Nose Hill/Calgary Nose Hill"," 12","Calgary",66,0,72,0,3,1,200,20,2,0,364,558
48009,"Calgary Nose Hill/Calgary Nose Hill"," 13","Calgary",32,0,62,0,0,3,102,12,0,0,211,579
48009,"Calgary Nose Hill/Calgary Nose Hill"," 14","Calgary",26,0,45,0,1,0,77,7,0,2,158,456
48009,"Calgary Nose Hill/Calgary Nose Hill"," 15","Calgary",24,0,60,0,0,0,55,5,0,1,145,427
48009,"Calgary Nose Hill/Calgary Nose Hill"," 16","Calgary",11,0,33,0,0,0,49,7,0,0,100,296
48009,"Calgary Nose Hill/Calgary Nose Hill"," 17","Calgary",15,1,32,0,0,1,61,6,0,3,119,407
48009,"Calgary Nose Hill/Calgary Nose Hill"," 18","Calgary",Merged with No./Fusionné avec le n°19,,,,,,,,,,,423
48009,"Calgary Nose Hill/Calgary Nose Hill"," 19","Calgary",51,0,99,0,3,0,112,11,0,1,277,481
48009,"Calgary Nose Hill/Calgary Nose Hill"," 20","Calgary",31,1,42,0,4,0,62,0,2,0,142,513
