Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Kasper Makowski,Marie Morin-Strom,Terry Sheehan,Sonny Spina,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35092,"Sault Ste. Marie/Sault Ste. Marie"," 57","Sault Ste. Marie",14,36,47,38,0,135,359
35092,"Sault Ste. Marie/Sault Ste. Marie"," 58","Sault Ste. Marie",1,19,48,32,0,100,262
35092,"Sault Ste. Marie/Sault Ste. Marie"," 59","Sault Ste. Marie",10,44,72,76,3,205,447
35092,"Sault Ste. Marie/Sault Ste. Marie"," 60","Sault Ste. Marie",8,34,87,73,2,204,451
35092,"Sault Ste. Marie/Sault Ste. Marie"," 61","Sault Ste. Marie",10,42,81,69,0,202,373
35092,"Sault Ste. Marie/Sault Ste. Marie"," 62","Sault Ste. Marie",4,14,72,61,0,151,366
35092,"Sault Ste. Marie/Sault Ste. Marie"," 63","Sault Ste. Marie",10,35,84,80,1,210,416
35092,"Sault Ste. Marie/Sault Ste. Marie"," 64","Sault Ste. Marie",7,36,57,67,1,168,348
35092,"Sault Ste. Marie/Sault Ste. Marie"," 65","Sault Ste. Marie",10,48,67,73,0,198,438
35092,"Sault Ste. Marie/Sault Ste. Marie"," 66","Sault Ste. Marie",10,61,64,102,1,238,503
35092,"Sault Ste. Marie/Sault Ste. Marie"," 67","Sault Ste. Marie",7,48,57,37,1,150,369
35092,"Sault Ste. Marie/Sault Ste. Marie"," 68","Sault Ste. Marie",10,39,66,90,0,205,399
35092,"Sault Ste. Marie/Sault Ste. Marie"," 69","Sault Ste. Marie",9,59,64,72,3,207,436
35092,"Sault Ste. Marie/Sault Ste. Marie"," 70","Sault Ste. Marie",12,57,53,73,1,196,426
35092,"Sault Ste. Marie/Sault Ste. Marie"," 71","Sault Ste. Marie",8,51,47,52,0,158,411
35092,"Sault Ste. Marie/Sault Ste. Marie"," 72","Sault Ste. Marie",4,37,42,70,1,154,451
35092,"Sault Ste. Marie/Sault Ste. Marie"," 73","Sault Ste. Marie",11,37,47,45,2,142,369
35092,"Sault Ste. Marie/Sault Ste. Marie"," 74","Sault Ste. Marie",6,33,31,31,0,101,309
35092,"Sault Ste. Marie/Sault Ste. Marie"," 75","Sault Ste. Marie",13,40,72,45,0,170,382
35092,"Sault Ste. Marie/Sault Ste. Marie"," 76","Sault Ste. Marie",6,24,90,42,3,165,360
35092,"Sault Ste. Marie/Sault Ste. Marie"," 77","Sault Ste. Marie",3,23,26,25,2,79,199
