Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Bruno Beaudry,Robert Bellerose,Gisèle Desroches,Oulai B. Goué,Mathieu Goyette,Javeria Qureshi,Luc Thériault,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24050,"Montcalm/Montcalm"," 61","Saint-Esprit",8,3,29,14,4,33,117,10,218,357
24050,"Montcalm/Montcalm"," 62","L'Épiphanie",4,1,10,4,2,19,54,0,94,268
24050,"Montcalm/Montcalm"," 63","L'Épiphanie",8,2,18,13,4,26,75,6,152,471
24050,"Montcalm/Montcalm"," 64","L'Épiphanie",8,6,15,7,4,17,74,3,134,451
24050,"Montcalm/Montcalm"," 65","L'Épiphanie",7,1,25,17,5,24,120,0,199,535
24050,"Montcalm/Montcalm"," 66","L'Épiphanie",6,3,12,8,4,21,73,2,129,399
24050,"Montcalm/Montcalm"," 67","L'Épiphanie",6,5,14,19,1,25,55,4,129,440
24050,"Montcalm/Montcalm"," 68","L'Épiphanie",3,2,4,5,3,12,35,0,64,335
24050,"Montcalm/Montcalm"," 69","L'Épiphanie",9,4,13,16,3,31,106,3,185,523
24050,"Montcalm/Montcalm"," 70","L'Épiphanie",9,2,17,7,2,19,90,2,148,452
24050,"Montcalm/Montcalm"," 71","L'Épiphanie",7,1,9,10,7,24,55,1,114,408
24050,"Montcalm/Montcalm"," 72","L'Épiphanie",11,5,15,14,2,36,47,7,137,458
24050,"Montcalm/Montcalm"," 73","L'Épiphanie",11,2,6,11,6,29,98,1,164,409
24050,"Montcalm/Montcalm"," 74","L'Épiphanie",8,2,30,16,6,35,98,5,200,546
24050,"Montcalm/Montcalm"," 75","L'Épiphanie",11,6,13,15,5,33,101,6,190,498
24050,"Montcalm/Montcalm"," 76","L'Épiphanie",7,8,4,11,2,24,50,3,109,359
24050,"Montcalm/Montcalm"," 77","L'Épiphanie",2,1,13,13,3,18,56,1,107,341
24050,"Montcalm/Montcalm"," 78","Saint-Lin--Laurentides",10,5,22,8,3,18,56,3,125,437
24050,"Montcalm/Montcalm"," 79","Saint-Lin--Laurentides",15,9,13,4,2,14,84,6,147,466
24050,"Montcalm/Montcalm"," 80","Saint-Lin--Laurentides",10,6,13,12,4,19,63,3,130,382
24050,"Montcalm/Montcalm"," 81","Saint-Lin--Laurentides",14,3,14,6,6,20,55,2,120,392
24050,"Montcalm/Montcalm"," 82","Saint-Lin--Laurentides",14,3,13,9,2,28,73,11,153,464
24050,"Montcalm/Montcalm"," 83","Saint-Lin--Laurentides",12,2,22,6,6,20,58,3,129,332
24050,"Montcalm/Montcalm"," 84","Saint-Lin--Laurentides",9,4,12,6,3,9,53,5,101,309
24050,"Montcalm/Montcalm"," 85","Saint-Lin--Laurentides",3,3,11,8,5,16,58,5,109,362
24050,"Montcalm/Montcalm"," 86","Saint-Lin--Laurentides",15,6,34,14,10,21,71,3,174,503
24050,"Montcalm/Montcalm"," 87","Saint-Roch-de-l'Achigan",3,1,23,11,9,27,120,7,201,466
24050,"Montcalm/Montcalm"," 88","Saint-Roch-de-l'Achigan",10,4,11,11,4,25,77,5,147,378
24050,"Montcalm/Montcalm"," 89","Saint-Roch-Ouest",12,3,25,16,12,39,126,0,233,546
24050,"Montcalm/Montcalm"," 90","Saint-Roch-de-l'Achigan",5,0,18,7,1,19,83,4,137,365
24050,"Montcalm/Montcalm"," 91","Saint-Roch-de-l'Achigan",5,2,13,5,5,22,64,4,120,386
24050,"Montcalm/Montcalm"," 92","Saint-Roch-de-l'Achigan",1,1,6,9,3,18,63,5,106,323
24050,"Montcalm/Montcalm"," 93","Saint-Roch-de-l'Achigan",2,3,13,14,9,14,90,3,148,369
24050,"Montcalm/Montcalm"," 94","Saint-Roch-de-l'Achigan",1,2,10,8,0,13,74,1,109,287
24050,"Montcalm/Montcalm"," 95","Saint-Roch-Ouest",3,2,18,9,0,15,59,1,107,248
24050,"Montcalm/Montcalm"," 96","Saint-Roch-de-l'Achigan",5,2,29,10,9,27,84,5,171,448
24050,"Montcalm/Montcalm"," 97","Saint-Roch-de-l'Achigan",4,6,19,7,3,12,49,2,102,258
24050,"Montcalm/Montcalm"," 98","Saint-Roch-de-l'Achigan",9,4,11,10,1,22,76,0,133,330
