Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Serge Benoit,Jean-Charles Cléroux,Pierre Duteau,Jeremy Fournier,Christine Normandin,Jean Rioux,Leigh V. Ryan,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24067,"Saint-Jean/Saint-Jean"," 168","Saint-Jean-sur-Richelieu",21,4,1,13,92,40,1,6,178,442
24067,"Saint-Jean/Saint-Jean"," 169","Saint-Jean-sur-Richelieu",25,7,0,9,73,46,3,1,164,423
24067,"Saint-Jean/Saint-Jean"," 170","Saint-Jean-sur-Richelieu",26,7,4,16,87,41,11,8,200,530
24067,"Saint-Jean/Saint-Jean"," 171","Saint-Jean-sur-Richelieu",11,2,2,14,63,26,3,4,125,331
24067,"Saint-Jean/Saint-Jean"," 172","Saint-Jean-sur-Richelieu",7,8,3,10,38,21,5,6,98,371
24067,"Saint-Jean/Saint-Jean"," 173","Saint-Jean-sur-Richelieu",13,4,0,23,69,34,5,7,155,404
24067,"Saint-Jean/Saint-Jean"," 174","Saint-Jean-sur-Richelieu",21,6,1,12,83,49,5,6,183,465
24067,"Saint-Jean/Saint-Jean"," 175","Saint-Jean-sur-Richelieu",31,10,2,33,85,65,9,6,241,644
24067,"Saint-Jean/Saint-Jean"," 176","Saint-Jean-sur-Richelieu",19,3,0,6,88,43,3,1,163,374
24067,"Saint-Jean/Saint-Jean"," 177","Saint-Jean-sur-Richelieu",14,5,3,19,65,27,4,4,141,353
24067,"Saint-Jean/Saint-Jean"," 178","Saint-Jean-sur-Richelieu",6,12,1,16,89,57,4,0,185,505
24067,"Saint-Jean/Saint-Jean"," 179","Saint-Jean-sur-Richelieu",14,4,1,11,46,30,3,8,117,371
24067,"Saint-Jean/Saint-Jean"," 180","Saint-Jean-sur-Richelieu",15,5,5,26,71,37,3,8,170,445
24067,"Saint-Jean/Saint-Jean"," 181","Saint-Jean-sur-Richelieu",20,2,2,7,79,20,4,3,137,309
24067,"Saint-Jean/Saint-Jean"," 182","Saint-Jean-sur-Richelieu",19,4,1,20,73,30,5,9,161,395
24067,"Saint-Jean/Saint-Jean"," 183","Saint-Jean-sur-Richelieu",13,3,3,11,54,17,2,1,104,175
24067,"Saint-Jean/Saint-Jean"," 184","Saint-Alexandre",24,4,1,16,96,42,2,2,187,364
24067,"Saint-Jean/Saint-Jean"," 185","Saint-Alexandre",9,6,1,12,57,34,5,6,130,354
24067,"Saint-Jean/Saint-Jean"," 186","Saint-Alexandre",27,6,2,28,112,49,7,8,239,543
24067,"Saint-Jean/Saint-Jean"," 187","Saint-Alexandre",23,1,2,15,72,37,11,6,167,394
24067,"Saint-Jean/Saint-Jean"," 188","Saint-Alexandre",13,6,1,15,89,39,7,6,176,383
24067,"Saint-Jean/Saint-Jean"," 189","Saint-Jean-sur-Richelieu",26,3,2,13,83,65,10,6,208,511
24067,"Saint-Jean/Saint-Jean"," 190","Saint-Jean-sur-Richelieu",26,3,1,22,84,46,2,2,186,448
24067,"Saint-Jean/Saint-Jean"," 191","Saint-Jean-sur-Richelieu",28,3,1,13,82,39,2,1,169,421
24067,"Saint-Jean/Saint-Jean"," 192","Saint-Jean-sur-Richelieu",14,9,0,17,66,29,10,11,156,446
24067,"Saint-Jean/Saint-Jean"," 193","Saint-Jean-sur-Richelieu",10,4,2,13,90,43,8,3,173,440
24067,"Saint-Jean/Saint-Jean"," 194","Saint-Jean-sur-Richelieu",10,1,0,12,72,42,1,2,140,384
24067,"Saint-Jean/Saint-Jean"," 195","Saint-Jean-sur-Richelieu",38,8,2,8,75,60,7,6,204,527
24067,"Saint-Jean/Saint-Jean"," 196","Saint-Jean-sur-Richelieu",24,9,3,10,67,34,3,4,154,416
24067,"Saint-Jean/Saint-Jean"," 197","Sabrevois",38,7,1,7,61,42,5,4,165,364
24067,"Saint-Jean/Saint-Jean"," 198","Sabrevois",14,3,2,7,45,44,4,7,126,305
24067,"Saint-Jean/Saint-Jean"," 199","Sabrevois",19,6,0,11,78,23,4,5,146,296
24067,"Saint-Jean/Saint-Jean"," 200","Sabrevois",35,9,0,15,115,28,2,5,209,384
24067,"Saint-Jean/Saint-Jean"," 201","Sabrevois",33,5,3,9,82,43,3,9,187,345
24067,"Saint-Jean/Saint-Jean"," 202","Saint-Blaise-sur-Richelieu",23,7,3,8,68,31,5,5,150,379
24067,"Saint-Jean/Saint-Jean"," 203","Saint-Blaise-sur-Richelieu",27,3,4,14,96,33,7,0,184,388
24067,"Saint-Jean/Saint-Jean"," 204","Saint-Blaise-sur-Richelieu",18,10,0,8,82,38,6,4,166,378
24067,"Saint-Jean/Saint-Jean"," 205","Saint-Blaise-sur-Richelieu",19,5,7,14,131,47,9,10,242,551
24067,"Saint-Jean/Saint-Jean"," 206","Saint-Paul-de-l'Île-aux-Noix",21,9,9,13,79,57,3,8,199,443
24067,"Saint-Jean/Saint-Jean"," 207","Saint-Paul-de-l'Île-aux-Noix",18,3,0,6,50,25,6,4,112,213
24067,"Saint-Jean/Saint-Jean"," 208","Saint-Valentin",Merged with No./Fusionné avec le n°210,,,,,,,,,185
24067,"Saint-Jean/Saint-Jean"," 209","Saint-Paul-de-l'Île-aux-Noix",21,11,2,1,98,61,4,5,203,400
24067,"Saint-Jean/Saint-Jean"," 210","Saint-Valentin",20,4,0,9,70,32,1,4,140,67
24067,"Saint-Jean/Saint-Jean"," 211","Saint-Paul-de-l'Île-aux-Noix",15,6,1,12,46,33,2,2,117,230
24067,"Saint-Jean/Saint-Jean"," 212","Saint-Paul-de-l'Île-aux-Noix",18,6,0,8,40,26,2,4,104,380
24067,"Saint-Jean/Saint-Jean"," 213","Saint-Valentin",30,4,3,8,51,32,7,1,136,318
24067,"Saint-Jean/Saint-Jean"," 214","Lacolle",20,2,0,15,56,48,3,4,148,420
24067,"Saint-Jean/Saint-Jean"," 215","Lacolle",12,2,0,9,51,26,1,2,103,323
24067,"Saint-Jean/Saint-Jean"," 216","Lacolle",13,7,0,6,50,34,5,4,119,332
24067,"Saint-Jean/Saint-Jean"," 217","Lacolle",27,8,3,12,57,28,10,6,151,484
24067,"Saint-Jean/Saint-Jean"," 218","Lacolle",23,8,2,13,55,47,6,4,158,374
