Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Pascal Antonin,Sarah Carter,Jason De Lierre,JP Fortin,Raphaël Guérard,David Lametti,Janina Moran,Michel Walsh,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 21","Montréal",2,13,62,0,33,50,10,7,3,180,441
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 22","Montréal",5,3,57,1,32,69,8,6,5,186,519
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 23","Montréal",2,3,34,0,17,53,5,10,3,127,385
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 24","Montréal",4,8,41,1,36,78,6,7,2,183,564
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 25","Montréal",5,3,35,0,21,48,9,10,5,136,351
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 26","Montréal",2,6,9,0,14,20,2,4,1,58,262
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 27","Montréal",1,4,55,3,53,74,27,7,2,226,420
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 28","Montréal",3,5,28,0,27,66,12,7,3,151,343
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 29","Montréal",1,10,32,0,50,63,15,15,8,194,369
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 30","Montréal",5,3,23,0,17,60,8,4,5,125,379
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 31","Montréal",7,5,25,1,25,73,12,10,6,164,408
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 32","Montréal",2,4,42,0,29,56,15,1,2,151,403
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 33","Montréal",2,8,41,0,52,75,13,7,4,202,396
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 34","Montréal",4,8,52,0,62,51,11,7,0,195,375
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 35","Montréal",4,1,21,0,49,67,11,3,3,159,430
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 36","Montréal",2,7,44,0,44,65,14,6,26,208,409
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 37","Montréal",6,6,46,0,51,74,11,9,7,210,517
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 38","Montréal",1,7,43,1,25,52,6,5,2,142,428
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 39","Montréal",2,4,50,0,25,65,14,3,7,170,440
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 40","Montréal",4,10,69,5,34,70,11,2,4,209,561
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 41","Montréal",2,8,54,1,35,53,4,5,2,164,387
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 42","Montréal",1,12,72,1,29,57,8,6,4,190,498
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 43","Montréal",1,3,60,4,29,57,7,8,1,170,462
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 44","Montréal",2,8,76,5,30,54,7,6,3,191,516
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 45","Montréal",1,5,46,3,36,71,7,8,4,181,497
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 46","Montréal",4,7,53,0,19,66,8,5,4,166,488
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 47","Montréal",5,4,54,1,29,72,12,10,2,189,489
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 48","Montréal",1,5,27,1,27,41,7,6,1,116,373
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 49","Montréal",0,7,32,0,54,53,16,3,0,165,424
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 50","Montréal",2,7,51,0,27,45,6,3,1,142,352
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 51","Montréal",0,2,58,3,26,50,14,4,8,165,417
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 52","Montréal",1,8,30,0,14,34,6,3,0,96,457
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 53","Montréal",2,7,44,1,24,34,1,4,4,121,370
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 54","Montréal",3,9,42,1,18,51,10,2,4,140,390
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 55","Montréal",3,11,50,1,34,52,13,3,2,169,454
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 56","Montréal",3,11,78,3,25,50,7,8,4,189,465
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 57","Montréal",1,5,59,0,24,47,6,6,5,153,517
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 58","Montréal",1,9,50,2,25,58,4,2,0,151,411
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 59","Montréal",1,5,50,0,39,62,12,9,8,186,505
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 60","Montréal",3,5,61,1,28,42,6,4,3,153,427
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 61","Montréal",2,5,36,0,26,63,6,4,2,144,483
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 62","Montréal",0,4,26,2,27,74,8,9,1,151,393
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 63","Montréal",3,6,27,2,77,59,9,10,3,196,444
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 64","Montréal",7,10,57,1,83,119,12,9,8,306,510
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 65","Montréal",0,7,23,0,31,51,3,3,1,119,333
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 66","Montréal",1,7,29,1,49,47,12,4,0,150,375
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 67","Montréal",1,3,23,0,42,53,7,5,2,136,395
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 68","Montréal",3,13,25,0,48,81,8,8,9,195,490
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 69","Montréal",5,9,37,0,40,64,9,7,2,173,445
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 70","Montréal",5,7,23,0,23,57,11,11,0,137,336
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 71","Montréal",2,6,43,2,43,80,5,11,3,195,508
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 72","Montréal",1,5,42,5,41,79,16,5,7,201,464
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 73","Montréal",3,6,34,1,44,85,20,2,6,201,461
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 74","Montréal",3,9,28,1,36,57,7,4,5,150,341
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 75","Montréal",1,5,42,2,39,65,8,0,3,165,481
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 76","Montréal",1,5,29,0,19,42,15,5,8,124,365
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 77","Montréal",2,7,29,1,44,58,10,6,1,158,390
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 78","Montréal",3,10,48,0,48,52,14,5,1,181,482
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 79","Montréal",1,2,13,1,32,31,7,0,1,88,215
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 80","Montréal",1,6,48,0,49,66,9,3,2,184,501
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 81","Montréal",2,5,60,1,41,51,6,2,5,173,461
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 82","Montréal",1,8,64,3,53,78,6,13,9,235,528
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 83","Montréal",5,13,71,5,37,83,15,5,3,237,539
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 84","Montréal",2,5,37,1,24,66,10,11,3,159,382
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 85","Montréal",0,6,54,1,33,54,2,5,4,159,429
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 86","Montréal",1,7,51,0,35,69,8,4,3,178,407
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 87","Montréal",3,8,38,0,39,63,8,8,3,170,440
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 88","Montréal",1,15,71,1,36,88,8,4,4,228,557
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 89","Montréal",2,6,38,2,57,124,12,2,8,251,536
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 90","Montréal",3,6,23,0,31,68,9,16,3,159,449
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 91","Montréal",4,8,29,0,42,52,9,6,3,153,392
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 92","Montréal",5,11,43,3,35,83,13,8,2,203,489
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 93","Montréal",4,4,43,1,42,96,10,10,2,212,469
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 94","Montréal",0,2,10,0,14,39,5,7,0,77,230
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 95","Montréal",1,3,42,1,45,75,17,15,2,201,425
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 96","Montréal",5,7,37,0,54,75,16,9,7,210,408
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 97","Montréal",2,2,41,1,27,46,6,16,5,146,399
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 98","Montréal",8,6,26,0,38,73,13,5,3,172,400
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 99","Montréal",4,7,28,0,29,57,21,6,1,153,373
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 100","Montréal",2,7,37,1,39,67,8,9,5,175,438
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 101","Montréal",2,3,28,0,34,58,7,5,1,138,376
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 102","Montréal",5,4,26,2,22,67,9,7,6,148,437
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 103","Montréal",2,6,20,0,26,84,8,4,7,157,399
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 104","Montréal",2,11,49,0,55,66,14,10,9,216,500
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 105","Montréal",2,7,41,2,81,95,17,6,4,255,494
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 106","Montréal",1,5,30,0,29,71,5,4,4,149,333
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 107","Montréal",3,2,47,0,65,86,13,3,8,227,458
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 108","Montréal",3,4,64,0,44,104,18,6,0,243,471
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 109","Montréal",1,5,45,0,44,85,11,7,2,200,451
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 110","Montréal",3,4,55,0,42,85,16,5,4,214,489
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 111","Montréal",2,6,39,1,46,67,9,5,4,179,458
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 112","Montréal",3,6,30,0,29,77,10,4,5,164,387
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 113","Montréal",2,4,35,2,38,64,7,6,1,159,393
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 114","Montréal",1,4,41,0,28,69,16,7,2,168,432
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 115","Montréal",3,6,52,0,48,75,15,5,3,207,484
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 116","Montréal",5,6,26,0,29,33,4,3,2,108,348
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 117","Montréal",1,2,32,0,25,71,14,8,4,157,392
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 118","Montréal",3,4,39,1,39,48,8,10,4,156,427
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 119","Montréal",4,4,18,0,32,49,6,5,2,120,390
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 120","Montréal",4,6,27,0,27,59,10,10,1,144,436
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 121","Montréal",2,4,31,0,43,67,7,4,1,159,498
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 122","Montréal",1,0,17,0,31,67,10,5,0,131,437
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 123","Montréal",6,2,18,1,26,68,7,6,0,134,363
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 124","Montréal",1,3,24,0,24,68,10,2,3,135,330
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 125","Montréal",2,7,19,1,35,49,13,6,6,138,410
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 126","Montréal",1,5,30,0,26,93,15,6,4,180,432
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 127","Montréal",1,8,9,1,24,63,17,2,1,126,390
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 128","Montréal",3,5,10,1,22,47,11,6,4,109,346
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 129","Montréal",6,3,35,1,22,67,13,3,2,152,436
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 130","Montréal",0,1,9,0,12,26,0,0,1,49,588
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 131","Montréal",6,1,31,1,80,103,15,2,4,243,397
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 132","Montréal",3,12,36,1,76,136,12,5,2,283,542
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 133","Montréal",3,7,42,0,99,125,17,1,4,298,526
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 134","Montréal",1,7,31,1,39,96,21,5,0,201,467
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 135","Montréal",3,6,15,1,32,74,25,9,4,169,445
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 136","Montréal",3,8,26,0,31,77,18,7,4,174,482
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 137","Montréal",2,3,20,1,25,74,16,4,3,148,456
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 138","Montréal",0,3,23,0,25,96,24,14,4,189,497
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 139","Montréal",6,9,30,0,19,68,25,9,3,169,504
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 140","Montréal",2,0,19,1,22,101,25,9,2,181,482
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 141","Montréal",3,2,16,2,26,82,26,8,1,166,525
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 142","Montréal",5,1,25,0,21,112,25,1,1,191,487
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 143","Montréal",2,8,22,2,25,120,40,12,2,233,572
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 144","Montréal",4,4,15,1,27,78,18,10,1,158,555
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 145","Montréal",2,2,29,0,12,70,22,10,2,149,438
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 146","Montréal",1,4,30,0,43,57,20,12,4,171,408
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 147","Montréal",1,4,28,1,27,65,17,10,4,157,392
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 148","Montréal",2,4,28,0,41,107,11,16,7,216,533
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 149","Montréal",1,3,27,2,51,76,13,6,6,185,477
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 150","Montréal",5,10,37,0,56,79,17,8,8,220,471
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 151","Montréal",1,10,35,1,63,103,18,12,2,245,556
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 152","Montréal",2,3,20,0,38,83,20,8,6,180,404
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 153","Montréal",1,8,22,1,18,107,20,2,1,180,605
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 154","Montréal",4,6,29,1,22,87,21,7,6,183,451
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 155","Montréal",3,3,22,0,8,61,21,7,2,127,390
