Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Mark Friesen,Kyla Kitzul,Rokhan Sarwar,Gillian Walker,Kevin Waugh,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 1","Saskatoon",15,128,38,5,56,1,243,522
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 2","Saskatoon",8,146,25,5,43,0,227,545
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 3","Saskatoon",11,134,31,4,77,0,257,555
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 4","Saskatoon",7,92,19,4,46,1,169,512
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 5","Saskatoon",8,96,19,4,55,1,183,543
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 6","Saskatoon",11,87,20,1,82,1,202,500
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 7","Saskatoon",17,82,12,2,92,3,208,492
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 8","Saskatoon",9,72,18,6,100,2,207,533
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 9","Saskatoon",3,68,34,3,99,2,209,521
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 10","Saskatoon",3,84,19,3,139,0,248,519
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 11A","Saskatoon",3,36,17,1,45,0,102,290
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 11B","Saskatoon",4,34,10,0,55,0,103,293
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 12","Saskatoon",11,63,20,0,105,0,199,564
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 13","Saskatoon",9,107,22,5,63,1,207,526
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 14","Saskatoon",9,80,32,6,77,0,204,509
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 15","Saskatoon",5,66,35,4,69,0,179,534
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 16","Saskatoon",12,71,7,3,85,0,178,470
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 17","Saskatoon",10,83,27,0,87,0,207,480
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 18","Saskatoon",10,64,37,4,65,0,180,506
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 19","Saskatoon",7,39,19,0,42,1,108,463
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 20","Saskatoon",19,84,21,7,66,0,197,557
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 21","Saskatoon",7,78,22,0,61,0,168,538
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 22","Saskatoon",26,71,17,6,49,0,169,551
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 23A","Saskatoon",8,43,9,1,25,1,87,322
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 23B","Saskatoon",9,30,12,0,24,0,75,284
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 24","Saskatoon",9,84,30,2,115,1,241,649
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 25","Saskatoon",7,60,33,2,128,0,230,650
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 26","Saskatoon",8,45,29,1,73,1,157,386
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 27","Saskatoon",9,84,22,2,59,0,176,393
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 28","Saskatoon",14,71,23,2,47,1,158,424
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 29","Saskatoon",14,74,20,3,68,0,179,476
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 30","Saskatoon",7,49,22,3,38,1,120,455
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 31","Saskatoon",5,65,21,5,46,0,142,418
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 32","Saskatoon",6,48,25,4,63,1,147,433
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 33","Saskatoon",10,65,23,0,57,0,155,525
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 34","Saskatoon",6,53,25,7,75,0,166,472
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 35A","Saskatoon",2,12,3,0,28,0,45,69
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 35B","Mobile poll/Bureau itinérant",3,14,14,2,48,3,84,172
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 36","Saskatoon",7,39,17,0,62,1,126,398
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 37A","Saskatoon",5,63,33,3,62,0,166,399
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 37B","Saskatoon",7,57,18,5,51,0,138,398
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 38","Saskatoon",6,70,23,5,66,1,171,476
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 39","Saskatoon",19,92,13,3,69,0,196,520
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 40","Saskatoon",6,70,15,1,70,1,163,499
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 41","Saskatoon",7,87,22,6,55,0,177,533
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 42","Saskatoon",5,55,14,1,38,0,113,485
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 43A","Saskatoon",2,10,10,2,28,0,52,347
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 43B","Saskatoon",4,17,9,3,43,0,76,330
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 44","Saskatoon",8,42,22,3,44,0,119,370
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 45","Saskatoon",8,67,13,4,92,2,186,488
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 46","Saskatoon",4,40,21,0,49,0,114,438
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 47","Saskatoon",15,50,22,1,65,0,153,476
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 48","Saskatoon",1,21,16,0,50,1,89,517
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 49","Saskatoon",0,15,17,0,47,1,80,392
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 50","Saskatoon",2,20,14,2,66,0,104,469
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 51","Saskatoon",1,26,12,0,61,0,100,517
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 52A","Saskatoon",1,1,3,0,10,0,15,101
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 52B","Saskatoon",3,13,7,0,50,0,73,75
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 53","Saskatoon",2,5,2,1,15,0,25,331
