Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Peter Crawley,Nira Dookeran,Kevin Hua,Pierre Poilievre,Gustave Roy,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35088,"Carleton/Carleton"," 1","Ottawa",11,4,18,54,32,1,120,391
35088,"Carleton/Carleton"," 2","Ottawa",3,1,12,38,92,0,146,457
35088,"Carleton/Carleton"," 3A","Ottawa",5,4,20,47,140,3,219,370
35088,"Carleton/Carleton"," 3B","Ottawa",4,1,20,55,88,2,170,323
35088,"Carleton/Carleton"," 4","Ottawa",8,2,36,83,109,2,240,602
35088,"Carleton/Carleton"," 5","Ottawa",0,2,26,37,108,0,173,552
35088,"Carleton/Carleton"," 6","Ottawa",3,3,37,57,159,7,266,644
35088,"Carleton/Carleton"," 7A","Ottawa",Merged with No./Fusionné avec le n°3A,,,,,,,182
35088,"Carleton/Carleton"," 7B","Ottawa",Merged with No./Fusionné avec le n°3B,,,,,,,165
35088,"Carleton/Carleton"," 8","Ottawa",2,3,9,43,18,0,75,381
35088,"Carleton/Carleton"," 9","Ottawa",9,0,17,47,103,1,177,572
35088,"Carleton/Carleton"," 10","Ottawa",0,1,20,72,96,1,190,599
35088,"Carleton/Carleton"," 11","Ottawa",4,1,29,82,105,2,223,601
35088,"Carleton/Carleton"," 12","Ottawa",2,4,32,54,152,2,246,630
35088,"Carleton/Carleton"," 13","Ottawa",Merged with No./Fusionné avec le n°16,,,,,,,395
35088,"Carleton/Carleton"," 14","Ottawa",10,5,43,72,142,3,275,603
35088,"Carleton/Carleton"," 15","Ottawa",1,0,44,62,118,1,226,566
35088,"Carleton/Carleton"," 16","Ottawa",6,11,54,124,188,5,388,496
35088,"Carleton/Carleton"," 17","Ottawa",3,2,47,74,132,2,260,638
35088,"Carleton/Carleton"," 18","Ottawa",24,5,31,181,82,1,324,367
35088,"Carleton/Carleton"," 19","Ottawa",Merged with No./Fusionné avec le n°20,,,,,,,308
