Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Stephanie Bell,Erica Charlton,Neil Ellis,Janine LeClerc,Ryan Williams,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35006,"Bay of Quinte/Baie de Quinte"," 62","Belleville",42,2,121,8,60,4,237,365
35006,"Bay of Quinte/Baie de Quinte"," 63","Belleville",42,5,84,12,48,0,191,537
35006,"Bay of Quinte/Baie de Quinte"," 64","Belleville",30,3,69,7,40,0,149,394
35006,"Bay of Quinte/Baie de Quinte"," 65","Belleville",28,4,66,13,31,2,144,372
35006,"Bay of Quinte/Baie de Quinte"," 66","Quinte West",28,4,30,6,86,0,154,414
35006,"Bay of Quinte/Baie de Quinte"," 67","Quinte West",16,3,34,4,70,0,127,415
35006,"Bay of Quinte/Baie de Quinte"," 68","Quinte West",33,2,56,8,88,0,187,427
35006,"Bay of Quinte/Baie de Quinte"," 69","Quinte West",36,1,40,11,71,1,160,407
35006,"Bay of Quinte/Baie de Quinte"," 70","Quinte West",20,3,35,13,67,0,138,430
35006,"Bay of Quinte/Baie de Quinte"," 71","Quinte West",39,7,42,7,90,1,186,490
35006,"Bay of Quinte/Baie de Quinte"," 72","Belleville",37,5,36,16,58,2,154,448
35006,"Bay of Quinte/Baie de Quinte"," 73","Belleville",34,5,19,14,37,0,109,493
35006,"Bay of Quinte/Baie de Quinte"," 74","Belleville",26,1,56,14,54,1,152,465
35006,"Bay of Quinte/Baie de Quinte"," 75","Belleville",41,3,45,9,43,0,141,484
35006,"Bay of Quinte/Baie de Quinte"," 76","Belleville",42,5,51,18,58,0,174,537
35006,"Bay of Quinte/Baie de Quinte"," 77","Belleville",46,8,45,17,43,1,160,476
35006,"Bay of Quinte/Baie de Quinte"," 78","Belleville",39,7,45,16,51,0,158,467
35006,"Bay of Quinte/Baie de Quinte"," 79","Belleville",47,8,51,9,54,1,170,489
35006,"Bay of Quinte/Baie de Quinte"," 80","Belleville",39,5,44,4,58,2,152,450
35006,"Bay of Quinte/Baie de Quinte"," 81","Belleville",45,6,59,10,60,0,180,506
35006,"Bay of Quinte/Baie de Quinte"," 82","Belleville",33,1,90,6,56,3,189,527
35006,"Bay of Quinte/Baie de Quinte"," 83","Belleville",43,8,97,18,73,6,245,514
35006,"Bay of Quinte/Baie de Quinte"," 84","Belleville",21,3,44,7,48,0,123,426
35006,"Bay of Quinte/Baie de Quinte"," 85","Belleville",21,2,40,11,47,0,121,460
35006,"Bay of Quinte/Baie de Quinte"," 86","Belleville",36,8,57,11,29,1,142,441
35006,"Bay of Quinte/Baie de Quinte"," 87","Belleville",43,2,85,13,80,0,223,604
35006,"Bay of Quinte/Baie de Quinte"," 88A","Belleville",43,8,112,9,84,1,257,778
35006,"Bay of Quinte/Baie de Quinte"," 88B","Belleville",46,3,93,13,93,6,254,752
35006,"Bay of Quinte/Baie de Quinte"," 89","Belleville",33,3,78,12,72,1,199,597
35006,"Bay of Quinte/Baie de Quinte"," 90","Belleville",30,5,85,4,60,1,185,505
35006,"Bay of Quinte/Baie de Quinte"," 91","Belleville",11,2,33,2,24,1,73,169
35006,"Bay of Quinte/Baie de Quinte"," 92","Belleville",44,5,30,3,26,0,108,100
35006,"Bay of Quinte/Baie de Quinte"," 93","Prince Edward County",45,8,97,11,91,0,252,463
35006,"Bay of Quinte/Baie de Quinte"," 94","Prince Edward County",25,11,91,7,108,2,244,468
35006,"Bay of Quinte/Baie de Quinte"," 95","Prince Edward County",33,6,75,9,82,1,206,501
35006,"Bay of Quinte/Baie de Quinte"," 96","Prince Edward County",42,7,80,14,141,1,285,473
35006,"Bay of Quinte/Baie de Quinte"," 97","Prince Edward County",21,6,82,11,78,0,198,453
35006,"Bay of Quinte/Baie de Quinte"," 98","Prince Edward County",14,4,67,16,99,2,202,407
35006,"Bay of Quinte/Baie de Quinte"," 99","Prince Edward County",21,0,68,11,82,0,182,406
35006,"Bay of Quinte/Baie de Quinte"," 100","Prince Edward County",32,3,65,15,110,1,226,428
35006,"Bay of Quinte/Baie de Quinte"," 101","Quinte West",33,5,60,6,78,1,183,497
35006,"Bay of Quinte/Baie de Quinte"," 102","Quinte West",47,6,58,7,70,0,188,514
35006,"Bay of Quinte/Baie de Quinte"," 103","Quinte West",25,2,96,8,95,2,228,735
35006,"Bay of Quinte/Baie de Quinte"," 104","Quinte West",16,1,36,2,48,1,104,376
35006,"Bay of Quinte/Baie de Quinte"," 105","Quinte West",26,6,68,15,87,4,206,427
35006,"Bay of Quinte/Baie de Quinte"," 106","Quinte West",19,4,56,5,58,2,144,335
35006,"Bay of Quinte/Baie de Quinte"," 107","Quinte West",19,4,52,6,76,1,158,481
