Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Darryl Boisson,Colin Krieger,Jordan Francis MacDougall,Leslie Penny,Gail Ungstad,Arnold Viersen,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48028,"Peace River--Westlock/Peace River--Westlock"," 1","Child Lake 164A",2,0,2,17,31,5,2,59,94
48028,"Peace River--Westlock/Peace River--Westlock"," 2","Rocky Lane",16,5,0,19,11,53,0,104,284
48028,"Peace River--Westlock/Peace River--Westlock"," 3","Child Lake 164A",35,13,1,6,16,127,0,198,306
48028,"Peace River--Westlock/Peace River--Westlock"," 4","Boyer 164",Merged with No./Fusionné avec le n°1,,,,,,,,92
48028,"Peace River--Westlock/Peace River--Westlock"," 5","Jean d'Or Prairie 215",3,1,1,16,49,7,0,77,537
48028,"Peace River--Westlock/Peace River--Westlock"," 6","La Crête",70,4,0,0,2,92,1,169,492
48028,"Peace River--Westlock/Peace River--Westlock"," 7","Garden Creek",Merged with No./Fusionné avec le n°5,,,,,,,,153
48028,"Peace River--Westlock/Peace River--Westlock"," 8","La Crête",50,2,0,0,0,62,0,114,477
48028,"Peace River--Westlock/Peace River--Westlock"," 9","La Crête",56,2,0,0,3,92,0,153,504
48028,"Peace River--Westlock/Peace River--Westlock"," 10","La Crête",62,3,0,2,9,68,1,145,590
48028,"Peace River--Westlock/Peace River--Westlock"," 11","La Crête",42,2,0,4,5,63,0,116,562
48028,"Peace River--Westlock/Peace River--Westlock"," 12","La Crête",46,1,1,2,3,75,0,128,522
48028,"Peace River--Westlock/Peace River--Westlock"," 13","La Crête",49,2,1,2,6,78,0,138,589
48028,"Peace River--Westlock/Peace River--Westlock"," 14","La Crête",50,2,0,1,0,88,0,141,643
48028,"Peace River--Westlock/Peace River--Westlock"," 15","Fort Vermilion",11,2,3,9,35,56,0,116,329
48028,"Peace River--Westlock/Peace River--Westlock"," 16","Fort Vermilion",24,4,0,0,6,39,0,73,259
48028,"Peace River--Westlock/Peace River--Westlock"," 17","Fort Vermilion",12,2,1,6,22,49,0,92,391
48028,"Peace River--Westlock/Peace River--Westlock"," 18","Tall Cree 173A",2,0,0,3,27,1,3,36,74
48028,"Peace River--Westlock/Peace River--Westlock"," 19","Buffalo Head Prairie",56,1,0,0,2,69,0,128,937
