Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Michael Bayer,Ewan DeSilva,Iqra Khalid,James Nguyen,Kaukab Usman,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 1","Mississauga",4,1,76,78,25,0,184,508
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 2A","Mississauga",5,5,26,30,12,0,78,276
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 2B","Mississauga",Merged with No./Fusionné avec le n°408,,,,,,,166
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 3","Mississauga",2,2,87,57,19,1,168,527
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 4","Mississauga",3,0,81,65,12,2,163,530
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 5","Mississauga",14,9,117,74,20,1,235,571
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 6","Mississauga",5,7,69,44,12,0,137,472
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 7","Mississauga",11,2,96,63,26,2,200,619
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 8","Mississauga",4,4,85,35,11,0,139,410
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 9","Mississauga",2,2,90,60,18,4,176,582
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 10","Mississauga",8,6,125,92,33,0,264,566
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 11","Mississauga",14,5,178,181,43,4,425,346
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 12","Mississauga",Merged with No./Fusionné avec le n°11,,,,,,,458
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 13","Mississauga",2,6,91,54,20,2,175,397
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 14","Mississauga",8,4,93,80,25,1,211,437
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 15","Mississauga",3,4,90,85,18,1,201,475
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 16","Mississauga",9,3,80,79,13,0,184,448
