Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Marcos Alves,Marc Audet,Marie-Laurence Desgagné,Engineer-Ingénieur Hu,Alexandra Mendès,Brenda Ross,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24017,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 1","Saint-Lambert",12,43,81,1,79,2,3,221,496
24017,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 2","Saint-Lambert",14,18,23,0,90,0,1,146,371
24017,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 3","Saint-Lambert",9,39,46,3,66,1,1,165,321
24017,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 4","Saint-Lambert",20,31,55,0,90,3,4,203,442
24017,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 5","Saint-Lambert",11,29,51,1,87,1,1,181,398
24017,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 6","Saint-Lambert",13,19,29,0,83,1,1,146,345
24017,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 7","Saint-Lambert",17,27,60,0,78,3,3,188,376
24017,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 8","Saint-Lambert",11,32,46,0,74,1,1,165,353
24017,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 9","Saint-Lambert",5,16,40,1,44,4,2,112,406
24017,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 10","Saint-Lambert",10,20,27,1,71,0,2,131,383
24017,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 11","Saint-Lambert",6,18,29,4,57,6,1,121,465
24017,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 12","Saint-Lambert",6,7,27,1,31,1,0,73,253
24017,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 13A","Saint-Lambert",16,29,41,6,98,3,3,196,538
24017,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 13B","Saint-Lambert",5,20,34,2,79,4,2,146,487
24017,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 14","Saint-Lambert",13,32,41,3,76,2,1,168,388
24017,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 15","Saint-Lambert",19,23,58,0,104,2,2,208,540
24017,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 16","Saint-Lambert",16,32,46,1,65,0,0,160,397
24017,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 17","Saint-Lambert",9,35,36,2,49,5,2,138,381
24017,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 18","Saint-Lambert",15,19,37,3,52,2,6,134,499
24017,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 19","Saint-Lambert",7,29,46,1,70,2,2,157,502
24017,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 20","Saint-Lambert",9,28,35,2,80,1,5,160,453
24017,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 21","Saint-Lambert",24,26,43,2,85,0,0,180,418
24017,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 22","Saint-Lambert",8,18,14,0,51,2,0,93,233
24017,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 23","Saint-Lambert",14,37,36,3,91,3,2,186,412
24017,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 24","Saint-Lambert",8,33,35,0,90,0,1,167,416
24017,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 25","Saint-Lambert",15,20,36,4,76,6,0,157,493
24017,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 26","Saint-Lambert",19,12,21,1,63,5,0,121,486
24017,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 27","Saint-Lambert",20,23,33,0,77,9,3,165,355
24017,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 28","Saint-Lambert",33,29,39,0,106,3,0,210,463
24017,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 29","Saint-Lambert",8,7,39,3,133,1,7,198,322
24017,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 30","Brossard",9,28,30,1,77,9,5,159,469
24017,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 31","Brossard",9,16,36,2,71,5,3,142,322
