Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Diane Boskovic,Mary Henein Thorn,Mike Morrice,Ellen Papenburg,Raj Saini,Beisan Zubi,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35045,"Kitchener Centre/Kitchener-Centre"," 60","Kitchener",6,42,64,0,32,18,3,165,412
35045,"Kitchener Centre/Kitchener-Centre"," 61","Kitchener",13,20,97,0,12,27,0,169,332
35045,"Kitchener Centre/Kitchener-Centre"," 62","Kitchener",4,50,58,1,35,21,2,171,340
35045,"Kitchener Centre/Kitchener-Centre"," 63","Kitchener",14,14,40,0,16,36,1,121,345
35045,"Kitchener Centre/Kitchener-Centre"," 64","Kitchener",13,72,86,1,41,29,3,245,503
35045,"Kitchener Centre/Kitchener-Centre"," 65","Kitchener",8,36,69,1,30,21,0,165,393
35045,"Kitchener Centre/Kitchener-Centre"," 66","Kitchener",1,31,31,0,18,25,2,108,315
35045,"Kitchener Centre/Kitchener-Centre"," 67","Kitchener",6,54,30,1,24,32,1,148,376
35045,"Kitchener Centre/Kitchener-Centre"," 68","Kitchener",5,35,31,1,32,20,2,126,298
35045,"Kitchener Centre/Kitchener-Centre"," 69","Kitchener",3,55,32,0,23,6,0,119,296
35045,"Kitchener Centre/Kitchener-Centre"," 70","Kitchener",14,42,29,0,32,18,1,136,354
35045,"Kitchener Centre/Kitchener-Centre"," 71","Kitchener",9,55,17,1,15,11,0,108,315
35045,"Kitchener Centre/Kitchener-Centre"," 72","Kitchener",9,49,59,2,29,13,0,161,423
35045,"Kitchener Centre/Kitchener-Centre"," 73","Kitchener",7,36,66,1,17,37,0,164,341
35045,"Kitchener Centre/Kitchener-Centre"," 74","Kitchener",13,37,83,1,18,31,2,185,365
35045,"Kitchener Centre/Kitchener-Centre"," 75","Kitchener",15,29,140,0,15,23,0,222,380
35045,"Kitchener Centre/Kitchener-Centre"," 76","Kitchener",6,27,79,0,13,36,1,162,413
35045,"Kitchener Centre/Kitchener-Centre"," 77","Kitchener",2,16,83,1,10,33,2,147,419
35045,"Kitchener Centre/Kitchener-Centre"," 78","Kitchener",3,19,63,0,13,22,0,120,336
35045,"Kitchener Centre/Kitchener-Centre"," 79","Kitchener",8,18,27,0,15,42,1,111,329
35045,"Kitchener Centre/Kitchener-Centre"," 80","Kitchener",6,30,95,0,25,51,0,207,528
35045,"Kitchener Centre/Kitchener-Centre"," 81","Kitchener",8,25,43,1,23,35,1,136,437
35045,"Kitchener Centre/Kitchener-Centre"," 82","Kitchener",16,33,35,0,20,34,1,139,479
35045,"Kitchener Centre/Kitchener-Centre"," 83","Kitchener",7,22,78,0,27,66,0,200,462
35045,"Kitchener Centre/Kitchener-Centre"," 84","Kitchener",11,25,104,2,22,51,0,215,469
35045,"Kitchener Centre/Kitchener-Centre"," 85","Kitchener",14,41,118,1,30,42,0,246,491
35045,"Kitchener Centre/Kitchener-Centre"," 86","Kitchener",3,32,97,1,16,20,2,171,414
35045,"Kitchener Centre/Kitchener-Centre"," 87","Kitchener",9,56,95,1,42,49,0,252,439
35045,"Kitchener Centre/Kitchener-Centre"," 88","Kitchener",13,58,82,0,25,29,3,210,437
35045,"Kitchener Centre/Kitchener-Centre"," 89","Kitchener",8,56,95,0,24,32,1,216,466
35045,"Kitchener Centre/Kitchener-Centre"," 90","Kitchener",9,52,79,0,26,20,1,187,417
35045,"Kitchener Centre/Kitchener-Centre"," 91","Kitchener",11,67,100,1,37,27,0,243,467
35045,"Kitchener Centre/Kitchener-Centre"," 92","Kitchener",6,46,49,0,29,30,0,160,349
35045,"Kitchener Centre/Kitchener-Centre"," 93","Kitchener",8,41,29,1,33,11,1,124,363
35045,"Kitchener Centre/Kitchener-Centre"," 94","Kitchener",9,42,57,0,42,36,2,188,430
35045,"Kitchener Centre/Kitchener-Centre"," 95","Kitchener",13,30,109,0,5,20,3,180,428
35045,"Kitchener Centre/Kitchener-Centre"," 96","Kitchener",4,28,68,0,15,28,0,143,439
35045,"Kitchener Centre/Kitchener-Centre"," 97","Kitchener",9,26,67,0,27,32,0,161,447
35045,"Kitchener Centre/Kitchener-Centre"," 98","Kitchener",7,56,44,0,23,12,0,142,311
35045,"Kitchener Centre/Kitchener-Centre"," 99","Kitchener",12,59,45,0,21,16,0,153,339
35045,"Kitchener Centre/Kitchener-Centre"," 100","Kitchener",16,68,53,0,37,31,1,206,451
35045,"Kitchener Centre/Kitchener-Centre"," 101","Kitchener",15,83,37,0,41,32,1,209,490
35045,"Kitchener Centre/Kitchener-Centre"," 102","Kitchener",10,37,39,1,25,39,1,152,346
35045,"Kitchener Centre/Kitchener-Centre"," 103","Kitchener",13,61,99,2,49,44,1,269,613
35045,"Kitchener Centre/Kitchener-Centre"," 104","Kitchener",12,30,53,1,23,32,5,156,482
35045,"Kitchener Centre/Kitchener-Centre"," 105","Kitchener",9,18,47,1,16,15,1,107,391
35045,"Kitchener Centre/Kitchener-Centre"," 106","Kitchener",3,27,57,3,25,63,2,180,574
35045,"Kitchener Centre/Kitchener-Centre"," 107","Kitchener",7,24,36,2,23,38,0,130,312
35045,"Kitchener Centre/Kitchener-Centre"," 108","Kitchener",12,41,61,1,46,43,3,207,357
35045,"Kitchener Centre/Kitchener-Centre"," 109","Kitchener",9,26,65,1,7,33,0,141,435
35045,"Kitchener Centre/Kitchener-Centre"," 110","Kitchener",17,29,53,1,20,25,0,145,404
35045,"Kitchener Centre/Kitchener-Centre"," 111","Kitchener",7,31,66,2,25,21,0,152,399
35045,"Kitchener Centre/Kitchener-Centre"," 112","Kitchener",3,43,36,0,23,29,1,135,433
35045,"Kitchener Centre/Kitchener-Centre"," 113","Kitchener",3,28,47,1,34,33,2,148,482
35045,"Kitchener Centre/Kitchener-Centre"," 114","Kitchener",5,26,69,0,20,23,1,144,430
35045,"Kitchener Centre/Kitchener-Centre"," 115","Kitchener",6,23,92,0,27,25,3,176,464
35045,"Kitchener Centre/Kitchener-Centre"," 116","Kitchener",11,38,136,0,17,62,0,264,609
35045,"Kitchener Centre/Kitchener-Centre"," 117","Kitchener",12,25,77,0,21,48,2,185,592
35045,"Kitchener Centre/Kitchener-Centre"," 118","Kitchener",13,69,73,1,48,73,1,278,888
35045,"Kitchener Centre/Kitchener-Centre"," 119","Kitchener",12,26,24,0,30,27,3,122,499
35045,"Kitchener Centre/Kitchener-Centre"," 120","Kitchener",6,18,49,1,28,17,0,119,354
35045,"Kitchener Centre/Kitchener-Centre"," 121","Kitchener",5,16,48,1,16,26,4,116,303
35045,"Kitchener Centre/Kitchener-Centre"," 122","Kitchener",1,20,10,0,19,17,1,68,297
35045,"Kitchener Centre/Kitchener-Centre"," 123","Kitchener",13,23,26,0,28,39,1,130,354
35045,"Kitchener Centre/Kitchener-Centre"," 124","Kitchener",11,46,68,1,38,35,0,199,439
35045,"Kitchener Centre/Kitchener-Centre"," 125","Kitchener",13,66,42,0,28,36,4,189,438
35045,"Kitchener Centre/Kitchener-Centre"," 126","Kitchener",6,27,32,1,16,39,1,122,343
35045,"Kitchener Centre/Kitchener-Centre"," 127","Kitchener",11,32,50,0,20,32,1,146,317
35045,"Kitchener Centre/Kitchener-Centre"," 128","Kitchener",12,20,61,0,10,30,0,133,429
35045,"Kitchener Centre/Kitchener-Centre"," 129","Kitchener",14,30,44,1,23,33,3,148,397
35045,"Kitchener Centre/Kitchener-Centre"," 130","Kitchener",19,43,74,1,31,30,1,199,507
35045,"Kitchener Centre/Kitchener-Centre"," 131","Kitchener",11,45,50,0,28,32,0,166,488
35045,"Kitchener Centre/Kitchener-Centre"," 132","Kitchener",9,40,54,0,19,34,1,157,396
35045,"Kitchener Centre/Kitchener-Centre"," 133","Kitchener",8,49,36,0,19,28,1,141,429
35045,"Kitchener Centre/Kitchener-Centre"," 134","Kitchener",2,68,61,0,15,10,0,156,432
35045,"Kitchener Centre/Kitchener-Centre"," 135","Kitchener",14,43,53,1,31,30,1,173,505
35045,"Kitchener Centre/Kitchener-Centre"," 136","Kitchener",15,40,39,0,21,34,2,151,455
35045,"Kitchener Centre/Kitchener-Centre"," 137","Kitchener",15,45,66,0,42,75,3,246,717
35045,"Kitchener Centre/Kitchener-Centre"," 138","Kitchener",22,40,62,1,42,31,3,201,581
35045,"Kitchener Centre/Kitchener-Centre"," 139","Kitchener",14,31,25,0,34,22,1,127,339
35045,"Kitchener Centre/Kitchener-Centre"," 140","Kitchener",11,26,33,0,32,29,1,132,338
35045,"Kitchener Centre/Kitchener-Centre"," 141","Kitchener",17,31,26,2,51,49,3,179,468
35045,"Kitchener Centre/Kitchener-Centre"," 142","Kitchener",18,25,45,0,32,40,4,164,449
35045,"Kitchener Centre/Kitchener-Centre"," 143","Kitchener",16,36,19,1,35,44,3,154,369
35045,"Kitchener Centre/Kitchener-Centre"," 144","Kitchener",13,53,38,2,37,25,2,170,352
35045,"Kitchener Centre/Kitchener-Centre"," 145","Kitchener",10,31,44,1,15,33,0,134,372
35045,"Kitchener Centre/Kitchener-Centre"," 146","Kitchener",14,44,53,0,46,37,3,197,446
35045,"Kitchener Centre/Kitchener-Centre"," 147","Kitchener",20,51,42,1,32,35,0,181,415
35045,"Kitchener Centre/Kitchener-Centre"," 148","Kitchener",4,21,44,0,13,24,1,107,340
35045,"Kitchener Centre/Kitchener-Centre"," 149","Kitchener",4,28,72,0,16,20,2,142,342
35045,"Kitchener Centre/Kitchener-Centre"," 150","Kitchener",7,20,30,1,14,22,0,94,337
35045,"Kitchener Centre/Kitchener-Centre"," 151","Kitchener",9,36,50,0,33,35,1,164,435
35045,"Kitchener Centre/Kitchener-Centre"," 152","Kitchener",15,23,51,0,12,27,1,129,368
35045,"Kitchener Centre/Kitchener-Centre"," 153","Kitchener",17,25,63,1,27,25,1,159,494
35045,"Kitchener Centre/Kitchener-Centre"," 154","Kitchener",5,25,8,1,29,19,2,89,302
35045,"Kitchener Centre/Kitchener-Centre"," 155","Kitchener",12,21,18,0,30,16,0,97,266
35045,"Kitchener Centre/Kitchener-Centre"," 156","Kitchener",11,24,66,0,26,23,0,150,355
35045,"Kitchener Centre/Kitchener-Centre"," 157","Kitchener",11,25,63,1,23,32,4,159,427
35045,"Kitchener Centre/Kitchener-Centre"," 158","Kitchener",11,36,76,2,39,29,2,195,456
35045,"Kitchener Centre/Kitchener-Centre"," 159","Kitchener",16,34,30,0,29,26,0,135,399
35045,"Kitchener Centre/Kitchener-Centre"," 160","Kitchener",11,23,35,1,42,25,1,138,394
35045,"Kitchener Centre/Kitchener-Centre"," 161","Kitchener",9,35,30,0,31,39,3,147,387
35045,"Kitchener Centre/Kitchener-Centre"," 162","Kitchener",12,23,42,0,32,34,4,147,400
35045,"Kitchener Centre/Kitchener-Centre"," 163","Kitchener",12,46,58,0,56,56,5,233,529
35045,"Kitchener Centre/Kitchener-Centre"," 164","Kitchener",15,46,45,0,33,31,2,172,467
35045,"Kitchener Centre/Kitchener-Centre"," 165","Kitchener",7,31,39,2,24,41,1,145,454
35045,"Kitchener Centre/Kitchener-Centre"," 166","Kitchener",9,39,28,1,23,24,2,126,364
35045,"Kitchener Centre/Kitchener-Centre"," 167","Kitchener",15,26,25,0,28,28,3,125,413
35045,"Kitchener Centre/Kitchener-Centre"," 168","Kitchener",8,28,11,0,31,34,3,115,370
35045,"Kitchener Centre/Kitchener-Centre"," 169","Kitchener",8,24,31,0,29,13,4,109,370
35045,"Kitchener Centre/Kitchener-Centre"," 170","Kitchener",14,32,25,0,40,12,2,125,415
35045,"Kitchener Centre/Kitchener-Centre"," 171","Kitchener",4,22,26,1,19,27,0,99,345
35045,"Kitchener Centre/Kitchener-Centre"," 172","Kitchener",17,39,30,2,34,29,3,154,462
35045,"Kitchener Centre/Kitchener-Centre"," 173","Kitchener",4,41,37,1,35,36,3,157,489
35045,"Kitchener Centre/Kitchener-Centre"," 174","Kitchener",4,49,39,0,20,36,2,150,394
35045,"Kitchener Centre/Kitchener-Centre"," 175","Kitchener",11,42,18,1,28,25,2,127,376
35045,"Kitchener Centre/Kitchener-Centre"," 176","Kitchener",17,41,48,0,30,46,3,185,585
35045,"Kitchener Centre/Kitchener-Centre"," 177","Kitchener",15,36,40,0,35,42,1,169,480
35045,"Kitchener Centre/Kitchener-Centre"," 178","Kitchener",14,44,30,1,26,22,1,138,374
35045,"Kitchener Centre/Kitchener-Centre"," 179","Kitchener",12,38,24,0,25,12,1,112,446
35045,"Kitchener Centre/Kitchener-Centre"," 180","Kitchener",12,26,60,1,20,24,2,145,380
35045,"Kitchener Centre/Kitchener-Centre"," 181","Kitchener",15,40,42,0,24,25,0,146,390
35045,"Kitchener Centre/Kitchener-Centre"," 182","Kitchener",19,43,85,0,30,22,2,201,498
35045,"Kitchener Centre/Kitchener-Centre"," 183","Kitchener",10,44,64,1,28,31,0,178,454
35045,"Kitchener Centre/Kitchener-Centre"," 184","Kitchener",3,34,71,0,23,14,1,146,361
35045,"Kitchener Centre/Kitchener-Centre"," 185","Kitchener",9,42,40,0,22,20,0,133,378
35045,"Kitchener Centre/Kitchener-Centre"," 186","Kitchener",12,55,63,0,30,32,2,194,418
35045,"Kitchener Centre/Kitchener-Centre"," 187","Kitchener",11,44,34,0,27,19,1,136,365
35045,"Kitchener Centre/Kitchener-Centre"," 188","Kitchener",11,48,52,0,39,20,1,171,356
35045,"Kitchener Centre/Kitchener-Centre"," 400","Kitchener",Merged with No./Fusionné avec le n°401,,,,,,,,290
35045,"Kitchener Centre/Kitchener-Centre"," 401","Kitchener",10,38,37,1,41,36,4,167,313
35045,"Kitchener Centre/Kitchener-Centre"," 402","Kitchener",5,18,53,0,22,19,0,117,204
35045,"Kitchener Centre/Kitchener-Centre"," 403","Kitchener",5,9,51,0,19,28,0,112,183
35045,"Kitchener Centre/Kitchener-Centre"," 404","Kitchener",9,25,35,1,21,33,0,124,282
35045,"Kitchener Centre/Kitchener-Centre"," 405","Kitchener",Merged with No./Fusionné avec le n°408,,,,,,,,118
35045,"Kitchener Centre/Kitchener-Centre"," 406","Kitchener",4,42,48,0,45,24,4,167,277
35045,"Kitchener Centre/Kitchener-Centre"," 407","Kitchener",9,16,17,1,25,33,1,102,216
35045,"Kitchener Centre/Kitchener-Centre"," 408","Kitchener",3,11,40,0,6,33,0,93,162
35045,"Kitchener Centre/Kitchener-Centre"," 500","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°58,,,,,,,,69
35045,"Kitchener Centre/Kitchener-Centre"," 501","Kitchener",Merged with No./Fusionné avec le n°107,,,,,,,,54
35045,"Kitchener Centre/Kitchener-Centre"," 502","Mobile poll/Bureau itinérant",13,101,45,2,94,32,9,296,22
