Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Doug Bebb,Terry Grimwood,Gordon Jeffrey,Avi Lewis,Chris MacGregor,Mike Simpson,Patrick Weiler,John Weston,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 81","Sunshine Coast B",4,0,0,49,2,7,35,36,0,133,379
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 82","Sunshine Coast B",11,0,1,72,1,6,25,32,0,148,322
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 83","Welcome Beach",10,0,0,68,1,5,39,40,1,164,360
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 84","Welcome Beach",12,0,2,85,0,10,68,73,0,250,317
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 85","Sechelt",11,1,1,70,1,5,54,32,0,175,419
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 86","Sechelt",6,0,0,64,0,2,40,50,1,163,370
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 87","Sechelt",6,0,0,52,5,8,39,54,0,164,392
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 88","Sechelt",5,1,0,72,0,12,41,20,0,151,342
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 89","Sechelt",5,1,0,72,0,12,41,20,0,151,438
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 90","Sechelt",5,2,0,74,0,10,72,62,1,226,534
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 91","Sechelt",9,0,0,76,2,7,48,40,3,185,478
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 92","Sechelt",4,1,0,82,0,9,61,65,0,222,512
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 93","Sechelt",4,0,1,57,0,13,51,51,3,180,472
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 94","Sechelt",7,0,0,48,0,9,49,39,0,152,452
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 95","Sechelt",0,0,0,41,0,13,47,51,0,152,419
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 96","Langdale",9,0,0,94,1,14,73,58,2,251,320
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 97","Gibsons",8,0,0,58,0,10,37,19,0,132,322
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 98","Langdale",Merged with No./Fusionné avec le n°96,,,,,,,,,,278
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 99","Sechelt",5,0,0,89,0,3,9,4,0,110,398
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 100","Sechelt",7,0,0,57,1,7,48,40,1,161,523
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 101","Sechelt",13,0,2,26,0,4,43,41,0,129,500
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 102","Squamish",6,0,0,74,0,25,89,56,2,252,540
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 103","Squamish",10,0,0,81,0,17,69,33,1,211,522
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 104","Squamish",15,1,0,122,0,24,77,47,3,289,652
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 105","Squamish",8,0,1,73,1,19,49,54,1,206,464
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 106","Squamish",3,0,1,92,1,25,59,42,1,224,494
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 107","Squamish",7,0,0,21,1,14,34,24,0,101,291
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 108","Furry Creek",9,0,0,16,0,4,25,28,0,82,269
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 109","Gambier Harbour",Merged with No./Fusionné avec le n°119,,,,,,,,,,127
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 110","Roberts Creek",Merged with No./Fusionné avec le n°116,,,,,,,,,,353
