Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ben Henderson,Nigel Logan,Paul Edward McCormack,Naomi Rankin,Tim Uppal,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48017,"Edmonton Mill Woods/Edmonton Mill Woods"," 1","Edmonton",46,40,23,1,87,1,198,406
48017,"Edmonton Mill Woods/Edmonton Mill Woods"," 2","Edmonton",47,26,12,0,53,0,138,321
48017,"Edmonton Mill Woods/Edmonton Mill Woods"," 3","Edmonton",39,47,9,0,61,0,156,348
48017,"Edmonton Mill Woods/Edmonton Mill Woods"," 4","Edmonton",68,47,12,1,97,2,227,401
48017,"Edmonton Mill Woods/Edmonton Mill Woods"," 5","Edmonton",68,34,6,0,75,0,183,403
48017,"Edmonton Mill Woods/Edmonton Mill Woods"," 6","Edmonton",53,46,11,2,56,0,168,332
48017,"Edmonton Mill Woods/Edmonton Mill Woods"," 7","Edmonton",64,26,2,0,19,1,112,322
48017,"Edmonton Mill Woods/Edmonton Mill Woods"," 8","Edmonton",42,36,12,0,51,0,141,335
48017,"Edmonton Mill Woods/Edmonton Mill Woods"," 9","Edmonton",78,48,17,0,70,0,213,423
48017,"Edmonton Mill Woods/Edmonton Mill Woods"," 10","Edmonton",84,27,8,0,63,3,185,337
48017,"Edmonton Mill Woods/Edmonton Mill Woods"," 11","Edmonton",85,56,17,3,84,0,245,511
48017,"Edmonton Mill Woods/Edmonton Mill Woods"," 12","Edmonton",70,35,9,2,68,1,185,376
48017,"Edmonton Mill Woods/Edmonton Mill Woods"," 13","Edmonton",81,32,6,0,60,2,181,351
48017,"Edmonton Mill Woods/Edmonton Mill Woods"," 14","Edmonton",64,42,14,0,67,3,190,421
48017,"Edmonton Mill Woods/Edmonton Mill Woods"," 15","Edmonton",110,59,5,0,58,1,233,420
48017,"Edmonton Mill Woods/Edmonton Mill Woods"," 16","Edmonton",88,19,9,0,46,0,162,337
48017,"Edmonton Mill Woods/Edmonton Mill Woods"," 17","Edmonton",83,45,19,0,139,2,288,535
48017,"Edmonton Mill Woods/Edmonton Mill Woods"," 18","Edmonton",74,55,19,0,64,0,212,380
48017,"Edmonton Mill Woods/Edmonton Mill Woods"," 19","Edmonton",66,53,14,0,120,0,253,453
48017,"Edmonton Mill Woods/Edmonton Mill Woods"," 20","Edmonton",40,59,8,3,46,0,156,341
48017,"Edmonton Mill Woods/Edmonton Mill Woods"," 21","Edmonton",72,48,20,1,82,3,226,454
48017,"Edmonton Mill Woods/Edmonton Mill Woods"," 22","Edmonton",45,24,7,0,37,0,113,322
48017,"Edmonton Mill Woods/Edmonton Mill Woods"," 23","Edmonton",61,36,22,0,73,0,192,410
48017,"Edmonton Mill Woods/Edmonton Mill Woods"," 24","Edmonton",84,19,5,1,28,0,137,352
48017,"Edmonton Mill Woods/Edmonton Mill Woods"," 25","Edmonton",62,34,13,1,58,0,168,356
48017,"Edmonton Mill Woods/Edmonton Mill Woods"," 26","Edmonton",95,35,13,0,57,0,200,449
48017,"Edmonton Mill Woods/Edmonton Mill Woods"," 27","Edmonton",65,36,17,2,56,0,176,429
48017,"Edmonton Mill Woods/Edmonton Mill Woods"," 28","Edmonton",54,30,13,0,83,2,182,376
48017,"Edmonton Mill Woods/Edmonton Mill Woods"," 29","Edmonton",66,50,10,2,87,1,216,502
48017,"Edmonton Mill Woods/Edmonton Mill Woods"," 30","Edmonton",89,42,8,1,66,3,209,464
48017,"Edmonton Mill Woods/Edmonton Mill Woods"," 31","Edmonton",40,29,16,0,56,2,143,384
