Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Steven Guilbeault,Cyril Julien,Serge Lachapelle,Kimberly Lamontagne,Jean-Michel Lavarenne,Nimâ Machouf,Marie-Eve-Lyne Michel,Julie Morin,Ronan Reich,Daniel Tanguay,Adrien Welsh,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24039,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 1","Montréal",61,1,0,2,0,55,38,2,5,4,0,1,169,452
24039,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 2","Montréal",60,0,1,1,4,67,38,3,13,13,0,4,204,520
24039,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 3","Montréal",37,1,1,0,2,70,38,3,6,0,0,2,160,432
24039,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 4","Montréal",52,0,0,3,4,78,36,2,11,3,1,3,193,537
24039,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 5","Montréal",52,0,0,0,11,77,52,0,8,3,1,4,208,602
24039,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 6","Montréal",90,2,0,0,5,52,33,2,7,1,1,3,196,568
24039,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 7","Montréal",55,0,0,0,7,34,34,5,9,0,0,4,148,503
24039,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 8","Montréal",53,0,1,2,4,100,37,0,9,5,1,1,213,566
24039,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 9","Montréal",67,0,0,1,3,91,33,1,6,4,1,3,210,603
24039,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 10","Montréal",39,0,1,3,4,17,24,4,10,2,0,1,105,323
24039,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 11","Montréal",39,0,0,0,5,32,15,1,6,2,0,4,104,301
24039,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 12","Montréal",78,0,0,0,4,57,25,3,7,5,0,3,182,545
24039,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 13","Montréal",73,1,0,0,2,74,32,4,6,6,1,0,199,542
24039,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 14","Montréal",76,0,0,1,1,53,34,0,4,4,0,6,179,492
24039,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 15","Montréal",25,0,0,1,2,29,13,0,2,2,2,1,77,216
24039,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 16","Montréal",93,0,1,0,5,69,50,1,6,8,0,1,234,577
24039,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 17","Montréal",60,0,1,0,9,140,31,1,2,4,1,4,253,615
24039,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 18","Montréal",66,0,0,0,4,50,51,1,4,3,1,1,181,458
24039,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 19","Montréal",46,0,0,0,3,64,21,0,1,3,0,2,140,412
24039,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 20","Montréal",58,0,1,0,6,97,52,0,3,5,0,4,226,585
24039,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 21","Montréal",56,1,0,2,8,90,41,0,5,0,1,3,207,496
24039,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 22","Montréal",59,0,0,3,5,134,34,1,4,0,1,2,243,588
24039,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 23","Montréal",84,0,1,3,5,101,38,0,4,6,1,1,244,545
24039,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 24","Montréal",60,0,0,4,8,90,45,0,3,3,0,1,214,570
24039,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 25","Montréal",51,1,1,0,8,97,34,2,2,3,0,1,200,583
