Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Corneliu Chisu,Eileen Higdon,Jacob Mantle,Jennifer O'Connell,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 1","Uxbridge",5,58,14,33,0,110,274
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 2","Uxbridge",2,14,46,20,0,82,226
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 3","Uxbridge",19,49,175,86,1,330,400
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 4","Uxbridge",14,25,80,49,2,170,426
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 5","Uxbridge",11,9,42,25,1,88,251
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 6","Uxbridge",16,19,79,37,0,151,419
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 7","Uxbridge",5,15,58,25,1,104,245
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 8","Uxbridge",Merged with No./Fusionné avec le n°32,,,,,,324
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 9","Uxbridge",Merged with No./Fusionné avec le n°31,,,,,,318
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 10","Uxbridge",Merged with No./Fusionné avec le n°3,,,,,,285
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 11","Uxbridge",7,48,169,144,2,370,419
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 12","Uxbridge",Merged with No./Fusionné avec le n°15,,,,,,292
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 13","Uxbridge",13,57,162,102,0,334,411
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 14","Uxbridge",Merged with No./Fusionné avec le n°13,,,,,,412
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 15","Uxbridge",10,32,169,136,1,348,426
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 16","Uxbridge",Merged with No./Fusionné avec le n°11,,,,,,374
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 17","Uxbridge",9,38,117,108,0,272,401
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 18","Uxbridge",10,26,87,69,0,192,475
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 19","Uxbridge",13,44,102,81,0,240,405
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 20","Uxbridge",9,20,91,63,0,183,408
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 21","Uxbridge",15,49,134,92,2,292,438
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 22","Uxbridge",4,27,75,51,1,158,445
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 23","Uxbridge",Merged with No./Fusionné avec le n°21,,,,,,279
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 24","Uxbridge",5,36,117,108,0,266,327
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 25","Uxbridge",Merged with No./Fusionné avec le n°24,,,,,,322
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 26","Uxbridge",Merged with No./Fusionné avec le n°17,,,,,,308
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 27","Uxbridge",Merged with No./Fusionné avec le n°19,,,,,,346
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 28","Uxbridge",4,19,72,38,0,133,348
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 29","Uxbridge",2,18,117,48,0,185,451
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 30A","Uxbridge",Merged with No./Fusionné avec le n°38,,,,,,173
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 30B","Uxbridge",Electors voted by special ballot in Group 2./Les électeurs ont voté par bulletin de vote spécial dans le Groupe 2.,,,,,,47
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 31","Uxbridge",15,25,158,120,0,318,350
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 32","Uxbridge",12,16,146,76,0,250,351
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 33","Uxbridge",9,40,89,82,4,224,305
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 34","Uxbridge",Merged with No./Fusionné avec le n°33,,,,,,372
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 35","Uxbridge",8,38,81,79,0,206,413
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 36","Uxbridge",Merged with No./Fusionné avec le n°35,,,,,,241
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 37","Uxbridge",Merged with No./Fusionné avec le n°39,,,,,,346
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 38","Uxbridge",5,24,55,63,0,147,341
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 39","Uxbridge",3,25,94,91,1,214,328
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 40","Uxbridge",9,12,56,43,0,120,368
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 41","Uxbridge",16,27,90,72,0,205,479
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 42","Uxbridge",Merged with No./Fusionné avec le n°44,,,,,,275
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 43","Uxbridge",Merged with No./Fusionné avec le n°45,,,,,,234
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 44","Uxbridge",15,17,101,94,1,228,346
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 45","Uxbridge",15,25,131,85,1,257,440
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 46","Uxbridge",Merged with No./Fusionné avec le n°48,,,,,,284
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 47","Uxbridge",11,20,97,60,0,188,450
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 48","Uxbridge",14,34,114,73,3,238,417
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 49","Pickering",11,33,125,108,0,277,431
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 50","Pickering",9,21,121,94,0,245,361
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 51","Pickering",22,19,90,47,0,178,410
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 52","Pickering",9,31,87,83,0,210,384
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 53","Pickering",8,27,77,83,0,195,500
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 54","Pickering",6,28,74,80,2,190,424
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 55","Pickering",6,20,46,66,1,139,345
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 56","Pickering",4,34,57,142,0,237,499
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 57","Pickering",2,25,52,172,1,252,569
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 58A","Pickering",6,37,45,145,2,235,631
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 58B","Pickering",9,43,37,150,0,239,687
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 59","Pickering",9,35,120,193,0,357,574
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 60A","Pickering",8,37,78,148,1,272,662
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 60B","Pickering",9,43,42,188,1,283,699
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 60C","Pickering",7,36,87,130,2,262,568
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 60D","Pickering",12,50,49,175,1,287,698
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 61","Pickering",5,39,75,185,4,308,530
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 62","Pickering",15,49,75,149,1,289,504
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 63","Pickering",19,44,76,156,0,295,583
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 64","Pickering",Merged with No./Fusionné avec le n°91,,,,,,406
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 65","Pickering",Merged with No./Fusionné avec le n°111,,,,,,425
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 66","Pickering",14,51,116,194,5,380,463
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 67","Pickering",8,44,63,153,1,269,465
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 68","Pickering",Merged with No./Fusionné avec le n°61,,,,,,358
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 69","Pickering",7,44,67,185,2,305,485
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 70","Pickering",Merged with No./Fusionné avec le n°73,,,,,,476
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 71","Pickering",5,41,48,166,1,261,858
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 72","Pickering",Merged with No./Fusionné avec le n°59,,,,,,418
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 73","Pickering",18,55,79,162,4,318,478
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 74","Pickering",4,49,57,130,2,242,476
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 75","Pickering",Merged with No./Fusionné avec le n°74,,,,,,456
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 76","Pickering",Merged with No./Fusionné avec le n°69,,,,,,452
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 77","Pickering",4,16,63,69,1,153,461
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 78","Pickering",11,45,58,135,2,251,466
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 79","Pickering",5,16,33,59,1,114,397
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 80","Pickering",12,51,110,160,0,333,510
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 81","Pickering",Merged with No./Fusionné avec le n°86,,,,,,392
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 82","Pickering",Merged with No./Fusionné avec le n°84,,,,,,429
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 83","Pickering",17,59,86,122,4,288,646
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 84","Pickering",25,56,121,134,2,338,444
