Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Peter Michael DeVita,Mario Greco,Muhammad Hassan Khan,Luca Mele,Angela Panacci,Francesco Sorbara,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 52","Vaughan",3,1,1,0,69,38,3,115,290
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 53","Vaughan",8,12,2,1,78,49,0,150,344
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 54","Vaughan",6,7,1,2,47,69,4,136,433
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 55","Vaughan",9,4,1,0,71,59,0,144,379
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 56","Vaughan",6,6,1,2,74,42,0,131,357
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 57","Vaughan",15,8,3,0,78,62,0,166,483
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 58","Vaughan",13,5,2,1,78,94,1,194,438
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 59","Vaughan",11,15,1,0,83,99,1,210,501
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 60","Vaughan",15,6,0,0,77,53,4,155,555
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 61","Vaughan",14,9,2,0,83,82,1,191,527
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 62","Vaughan",20,5,3,0,102,65,2,197,417
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 63","Vaughan",19,6,2,0,84,58,2,171,434
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 64","Vaughan",13,8,2,0,88,69,1,181,449
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 65","Vaughan",8,2,1,0,86,62,0,159,353
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 66","Vaughan",6,8,1,0,61,62,2,140,406
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 67","Vaughan",8,3,1,0,55,64,1,132,314
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 68","Vaughan",7,7,0,0,99,42,2,157,423
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 69","Vaughan",5,20,1,1,102,55,0,184,461
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 70","Vaughan",6,17,2,0,59,72,2,158,471
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 71","Vaughan",11,13,5,1,71,73,2,176,482
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 72","Vaughan",10,12,0,0,59,74,0,155,474
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 73","Vaughan",17,10,3,0,90,64,3,187,512
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 74","Vaughan",7,10,1,0,57,67,1,143,460
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 75","Vaughan",11,8,2,0,84,45,2,152,453
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 76","Vaughan",17,13,3,0,102,80,2,217,509
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 77","Vaughan",12,13,0,1,65,64,0,155,373
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 78","Vaughan",4,5,2,0,105,66,4,186,499
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 79","Vaughan",8,4,1,1,70,48,1,133,335
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 80","Vaughan",9,7,5,1,74,47,2,145,382
