Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jerome Adamo,Anita Anand,Kerry Colborne,Oriana Knox,JD Meaney,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35072,"Oakville/Oakville"," 1","Oakville",11,54,44,2,7,0,118,439
35072,"Oakville/Oakville"," 2","Oakville",11,51,39,0,0,0,101,368
35072,"Oakville/Oakville"," 3","Oakville",14,43,73,3,5,1,139,553
35072,"Oakville/Oakville"," 4","Oakville",14,56,69,0,4,1,144,586
35072,"Oakville/Oakville"," 5","Oakville",5,42,54,0,5,0,106,495
35072,"Oakville/Oakville"," 6","Oakville",15,68,51,5,1,1,141,426
35072,"Oakville/Oakville"," 7","Oakville",10,60,54,1,5,0,130,391
35072,"Oakville/Oakville"," 8","Oakville",19,67,42,3,2,0,133,351
35072,"Oakville/Oakville"," 9","Oakville",11,52,48,1,1,0,113,367
35072,"Oakville/Oakville"," 10","Oakville",14,70,43,2,7,0,136,415
35072,"Oakville/Oakville"," 11","Oakville",17,56,50,2,3,0,128,345
35072,"Oakville/Oakville"," 12","Oakville",12,75,74,2,3,2,168,419
35072,"Oakville/Oakville"," 13","Oakville",8,51,51,2,2,2,116,348
35072,"Oakville/Oakville"," 14","Oakville",13,65,64,2,5,2,151,342
35072,"Oakville/Oakville"," 15","Oakville",10,49,42,1,6,0,108,280
35072,"Oakville/Oakville"," 16","Oakville",28,57,65,3,8,0,161,345
35072,"Oakville/Oakville"," 17","Oakville",22,56,71,4,10,1,164,330
35072,"Oakville/Oakville"," 18","Oakville",8,47,35,0,0,1,91,238
35072,"Oakville/Oakville"," 19","Oakville",23,66,27,0,9,0,125,299
35072,"Oakville/Oakville"," 20","Oakville",8,96,47,1,0,1,153,427
35072,"Oakville/Oakville"," 21","Oakville",14,70,46,4,6,1,141,301
35072,"Oakville/Oakville"," 22","Oakville",18,80,69,2,4,3,176,454
35072,"Oakville/Oakville"," 23","Oakville",6,59,47,0,2,0,114,240
35072,"Oakville/Oakville"," 24","Oakville",5,32,23,0,4,1,65,225
35072,"Oakville/Oakville"," 25","Oakville",10,53,46,4,5,0,118,369
35072,"Oakville/Oakville"," 26","Oakville",16,70,61,3,2,0,152,414
35072,"Oakville/Oakville"," 27","Oakville",12,90,108,6,4,1,221,487
35072,"Oakville/Oakville"," 28","Oakville",13,81,61,3,7,2,167,332
35072,"Oakville/Oakville"," 29","Oakville",10,79,62,4,2,0,157,353
35072,"Oakville/Oakville"," 30","Oakville",8,88,68,6,1,0,171,325
35072,"Oakville/Oakville"," 31","Oakville",11,79,74,2,2,1,169,366
35072,"Oakville/Oakville"," 32","Oakville",13,51,59,3,3,1,130,401
35072,"Oakville/Oakville"," 33","Oakville",11,54,67,1,1,0,134,437
35072,"Oakville/Oakville"," 34","Oakville",6,46,43,2,2,0,99,339
35072,"Oakville/Oakville"," 35","Oakville",13,57,43,0,3,1,117,418
35072,"Oakville/Oakville"," 36","Oakville",11,39,38,5,0,0,93,321
35072,"Oakville/Oakville"," 37","Oakville",14,37,31,1,0,0,83,235
35072,"Oakville/Oakville"," 38","Oakville",24,79,59,3,12,0,177,460
35072,"Oakville/Oakville"," 39","Oakville",20,47,44,3,13,2,129,318
35072,"Oakville/Oakville"," 40","Oakville",11,58,43,1,3,0,116,348
35072,"Oakville/Oakville"," 41","Oakville",12,44,65,3,6,0,130,378
35072,"Oakville/Oakville"," 42","Oakville",10,54,53,3,0,1,121,330
35072,"Oakville/Oakville"," 43","Oakville",8,56,53,0,2,0,119,368
35072,"Oakville/Oakville"," 44","Oakville",10,45,57,3,9,0,124,284
35072,"Oakville/Oakville"," 45","Oakville",21,73,67,1,4,1,167,369
35072,"Oakville/Oakville"," 46","Oakville",18,100,51,3,3,2,177,462
35072,"Oakville/Oakville"," 47","Oakville",14,57,51,3,3,0,128,319
35072,"Oakville/Oakville"," 48","Oakville",9,56,75,3,0,0,143,338
35072,"Oakville/Oakville"," 49","Oakville",5,53,62,3,1,0,124,256
35072,"Oakville/Oakville"," 50","Oakville",4,68,60,5,3,0,140,320
35072,"Oakville/Oakville"," 51","Oakville",7,49,73,0,3,0,132,346
35072,"Oakville/Oakville"," 52","Oakville",14,95,82,1,2,3,197,421
35072,"Oakville/Oakville"," 53","Oakville",5,80,95,1,9,0,190,452
35072,"Oakville/Oakville"," 54","Oakville",13,84,83,5,5,1,191,421
35072,"Oakville/Oakville"," 55","Oakville",18,70,68,4,8,2,170,450
35072,"Oakville/Oakville"," 56","Oakville",7,74,104,1,3,0,189,408
35072,"Oakville/Oakville"," 57","Oakville",18,45,52,2,3,0,120,316
35072,"Oakville/Oakville"," 58","Oakville",8,65,76,3,7,0,159,378
35072,"Oakville/Oakville"," 59","Oakville",16,86,78,3,3,6,192,426
35072,"Oakville/Oakville"," 60","Oakville",36,79,68,1,18,2,204,510
35072,"Oakville/Oakville"," 61","Oakville",17,78,49,3,7,0,154,373
