Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Chylow Hall,David McGuinty,Huda Mukbil,Les Schram,Eli Tannis,Larry Wasslen,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35077,"Ottawa South/Ottawa-Sud"," 1","Ottawa",6,56,43,4,36,0,3,148,358
35077,"Ottawa South/Ottawa-Sud"," 2","Ottawa",12,66,50,11,61,0,1,201,456
35077,"Ottawa South/Ottawa-Sud"," 3","Ottawa",8,94,30,3,21,0,5,161,592
35077,"Ottawa South/Ottawa-Sud"," 4","Ottawa",7,80,44,7,35,0,1,174,439
35077,"Ottawa South/Ottawa-Sud"," 5","Ottawa",9,86,46,3,53,2,1,200,511
35077,"Ottawa South/Ottawa-Sud"," 6","Ottawa",2,112,43,5,36,0,0,198,389
35077,"Ottawa South/Ottawa-Sud"," 7","Ottawa",10,87,56,2,47,0,1,203,409
35077,"Ottawa South/Ottawa-Sud"," 8","Ottawa",3,104,35,8,48,0,2,200,387
35077,"Ottawa South/Ottawa-Sud"," 9","Ottawa",10,119,44,1,52,3,1,230,448
35077,"Ottawa South/Ottawa-Sud"," 10","Ottawa",6,55,28,3,9,0,3,104,318
35077,"Ottawa South/Ottawa-Sud"," 11","Ottawa",10,75,28,3,23,0,4,143,436
35077,"Ottawa South/Ottawa-Sud"," 12A","Ottawa",8,82,33,4,38,1,1,167,384
35077,"Ottawa South/Ottawa-Sud"," 12B","Ottawa",4,98,26,2,36,1,3,170,332
35077,"Ottawa South/Ottawa-Sud"," 13","Ottawa",13,114,31,2,23,0,2,185,491
35077,"Ottawa South/Ottawa-Sud"," 14","Ottawa",8,68,34,2,20,0,2,134,379
35077,"Ottawa South/Ottawa-Sud"," 15","Ottawa",5,60,42,0,17,0,2,126,453
35077,"Ottawa South/Ottawa-Sud"," 16","Ottawa",3,128,63,10,59,0,2,265,375
35077,"Ottawa South/Ottawa-Sud"," 17","Ottawa",2,73,52,13,40,1,0,181,456
35077,"Ottawa South/Ottawa-Sud"," 18","Ottawa",11,87,58,8,34,0,2,200,358
35077,"Ottawa South/Ottawa-Sud"," 19","Ottawa",16,119,100,4,64,0,1,304,365
35077,"Ottawa South/Ottawa-Sud"," 20","Ottawa",7,105,38,7,65,0,1,223,446
35077,"Ottawa South/Ottawa-Sud"," 21","Ottawa",12,117,39,4,38,0,0,210,429
35077,"Ottawa South/Ottawa-Sud"," 22","Ottawa",2,59,36,6,31,1,0,135,423
35077,"Ottawa South/Ottawa-Sud"," 23","Ottawa",11,54,22,7,48,1,2,145,253
35077,"Ottawa South/Ottawa-Sud"," 24A","Ottawa",Merged with No./Fusionné avec le n°16,,,,,,,,324
35077,"Ottawa South/Ottawa-Sud"," 24B","Mobile poll/Bureau itinérant",0,29,2,1,23,0,0,55,81
35077,"Ottawa South/Ottawa-Sud"," 25","Ottawa",10,95,50,7,52,0,1,215,471
35077,"Ottawa South/Ottawa-Sud"," 26","Ottawa",3,71,48,4,31,0,1,158,407
35077,"Ottawa South/Ottawa-Sud"," 27","Ottawa",4,119,41,3,35,0,1,203,446
35077,"Ottawa South/Ottawa-Sud"," 28","Ottawa",7,102,21,3,57,0,1,191,431
35077,"Ottawa South/Ottawa-Sud"," 29","Ottawa",4,70,15,0,44,0,2,135,298
35077,"Ottawa South/Ottawa-Sud"," 30","Ottawa",8,77,43,5,46,0,0,179,434
35077,"Ottawa South/Ottawa-Sud"," 31","Ottawa",18,105,72,11,45,1,2,254,364
35077,"Ottawa South/Ottawa-Sud"," 32","Ottawa",8,60,45,5,10,0,4,132,432
35077,"Ottawa South/Ottawa-Sud"," 33","Ottawa",11,87,22,5,37,0,0,162,489
35077,"Ottawa South/Ottawa-Sud"," 34","Ottawa",7,74,51,2,49,0,0,183,534
35077,"Ottawa South/Ottawa-Sud"," 35","Ottawa",4,68,60,6,29,1,1,169,266
35077,"Ottawa South/Ottawa-Sud"," 36","Ottawa",5,94,41,4,50,0,1,195,426
