Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Terry Beech,Peter Dolling,Jim Hanson,Brad Nickerson,Kelsey Shein,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 1","North Vancouver",49,4,33,0,56,0,142,410
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 2","North Vancouver",65,6,38,5,45,0,159,474
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 3","North Vancouver",82,11,32,2,43,0,170,429
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 4","North Vancouver",67,6,40,0,30,0,143,375
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 5","North Vancouver",67,7,32,1,47,0,154,417
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 6","North Vancouver",46,9,33,2,51,1,142,408
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 7","North Vancouver",87,10,29,1,34,0,161,429
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 8","North Vancouver",56,3,42,1,43,0,145,405
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 9","North Vancouver",50,11,47,4,35,0,147,429
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 10","North Vancouver",50,9,43,2,31,1,136,451
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 11","North Vancouver",51,5,36,3,67,0,162,452
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 12","North Vancouver",70,3,36,2,51,0,162,418
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 13","North Vancouver",62,6,45,2,44,0,159,497
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 14","North Vancouver",56,3,21,4,35,0,119,404
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 15","North Vancouver",80,9,39,1,34,0,163,493
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 16","North Vancouver",75,2,19,0,50,0,146,444
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 17","North Vancouver",34,4,35,2,24,0,99,285
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 18","North Vancouver",96,7,59,3,25,0,190,621
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 19","North Vancouver",76,8,28,1,46,0,159,505
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 20","North Vancouver",73,10,58,8,42,0,191,456
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 21","North Vancouver",78,8,87,8,46,0,227,688
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 22","North Vancouver",83,6,75,2,51,0,217,467
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 23","North Vancouver",79,4,30,2,44,0,159,380
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 24","North Vancouver",67,11,40,0,37,2,157,420
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 25","North Vancouver",86,5,51,5,40,1,188,453
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 26","North Vancouver",63,3,38,2,42,0,148,389
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 27","North Vancouver",69,7,41,5,50,0,172,571
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 28","North Vancouver",82,13,30,1,48,0,174,397
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 29","North Vancouver",65,9,53,7,26,0,160,386
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 30","North Vancouver",58,8,45,3,35,0,149,375
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 31","North Vancouver",87,6,55,2,36,0,186,385
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 32","North Vancouver",69,6,44,1,39,2,161,386
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 33","North Vancouver",73,6,60,1,31,0,171,381
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 34","North Vancouver",71,14,48,5,39,1,178,428
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 35","North Vancouver",86,7,34,2,46,2,177,437
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 36","North Vancouver",81,14,55,3,51,1,205,503
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 37","North Vancouver",90,8,114,7,47,2,268,744
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 38","Burrard Inlet 3",94,8,44,3,43,0,192,540
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 39","Burrard Inlet 3",43,7,43,2,25,1,121,402
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 40","Burrard Inlet 3",34,2,30,3,30,0,99,404
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 41","Burnaby",52,5,46,6,48,1,158,463
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 42","Burnaby",69,3,66,3,45,0,186,509
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 43","North Vancouver",53,3,51,2,41,0,150,418
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 44","North Vancouver",57,6,22,3,27,0,115,281
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 45","North Vancouver",66,2,34,2,50,1,155,430
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 46","North Vancouver",73,17,46,2,48,0,186,452
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 47","North Vancouver",74,14,38,6,57,0,189,513
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 48","North Vancouver",49,4,33,6,40,0,132,449
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 49","Burnaby",65,3,46,4,50,2,170,423
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 50","Burnaby",82,8,53,7,36,1,187,488
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 51","Burnaby",63,10,52,8,33,1,167,482
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 52","Burnaby",85,11,45,4,50,0,195,451
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 53","Burnaby",64,7,62,4,33,1,171,409
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 54","Burnaby",59,13,68,4,32,2,178,456
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 55","Burnaby",72,1,61,3,35,0,172,438
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 56","Burnaby",70,7,51,3,37,1,169,429
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 57","Burnaby",93,6,90,3,53,0,245,662
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 58","Burnaby",59,2,37,2,57,0,157,432
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 59","Burnaby",62,2,38,5,45,2,154,424
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 60","Burnaby",73,7,55,5,39,1,180,495
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 61","Burnaby",66,3,61,1,43,0,174,433
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 62","Burnaby",68,4,60,3,58,0,193,435
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 63","Burnaby",68,7,58,7,28,1,169,511
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 64","Burnaby",81,5,53,4,30,3,176,425
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 65","Burnaby",57,8,43,4,22,0,134,407
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 66","Burnaby",65,8,52,4,26,0,155,379
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 67","Burnaby",45,5,23,5,29,0,107,371
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 68","Burnaby",50,4,55,8,53,1,171,375
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 69","Burnaby",59,1,58,9,64,1,192,423
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 70","Burnaby",51,4,62,12,39,4,172,412
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 71","Burnaby",61,4,55,7,40,0,167,410
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 72","Burnaby",70,10,48,2,30,2,162,422
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 73","Burnaby",69,5,52,6,31,0,163,393
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 74","Burnaby",61,5,60,7,18,0,151,447
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 75","Burnaby",63,3,59,2,42,0,169,454
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 76","Burnaby",68,5,45,7,38,0,163,452
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 77","Burnaby",64,5,45,2,36,0,152,462
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 78","Burnaby",75,5,67,6,43,3,199,436
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 79","Burnaby",57,4,46,4,52,0,163,466
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 80","Burnaby",47,1,46,1,29,1,125,464
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 81","Burnaby",45,6,35,5,25,1,117,435
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 82","Burnaby",55,4,48,7,40,1,155,471
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 83","Burnaby",52,2,35,2,31,1,123,389
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 84","Burnaby",77,6,43,3,38,2,169,467
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 85","Burnaby",72,4,39,1,27,0,143,432
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 86","Burnaby",55,3,41,2,27,3,131,473
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 87","Burnaby",64,10,57,1,21,0,153,459
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 88","Burnaby",39,1,51,5,24,2,122,468
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 89","Burnaby",76,8,44,2,53,0,183,473
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 90","Burnaby",46,4,50,4,46,1,151,432
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 91","Burnaby",63,4,62,1,54,1,185,461
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 92","Burnaby",137,6,81,10,99,1,334,855
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 93","Burnaby",42,5,37,10,30,2,126,444
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 94","Burnaby",115,2,63,7,68,3,258,786
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 95","Burnaby",80,4,26,2,32,3,147,473
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 96","Burnaby",46,3,32,1,29,0,111,461
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 97","Burnaby",56,6,51,6,43,0,162,463
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 98","Burnaby",58,8,56,3,41,0,166,472
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 99","Burnaby",54,3,43,0,35,0,135,465
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 100","Burnaby",49,4,38,6,32,1,130,401
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 101","Burnaby",56,8,49,6,42,1,162,472
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 102","Burnaby",55,9,39,3,29,1,136,480
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 103A","Burnaby",127,4,91,15,69,0,306,838
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 103B","Burnaby",95,13,53,5,72,1,239,646
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 104","Burnaby",67,9,56,4,50,1,187,557
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 105","Burnaby",38,5,54,2,17,0,116,312
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 106","Burnaby",58,6,61,4,26,0,155,446
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 107","Burnaby",41,3,38,4,41,0,127,404
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 108","Burnaby",64,2,46,10,47,0,169,454
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 109","Burnaby",78,6,53,2,49,0,188,466
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 110","Burnaby",84,4,47,2,61,0,198,549
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 111","Burnaby",60,8,54,4,28,0,154,485
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 112","Burnaby",59,4,44,5,38,0,150,458
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 113","Burnaby",48,9,36,9,46,1,149,403
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 114","Burnaby",40,3,39,5,50,0,137,433
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 115","Burnaby",45,5,36,4,42,0,132,431
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 116","Burnaby",44,4,56,6,27,0,137,418
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 117","Burnaby",54,3,31,13,47,2,150,380
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 118","Burnaby",43,8,34,2,38,0,125,452
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 119","Burnaby",43,2,29,6,55,0,135,411
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 120","Burnaby",47,7,40,7,39,1,141,425
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 121","Burnaby",63,2,21,6,44,1,137,409
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 122","Burnaby",58,5,49,8,22,1,143,425
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 123","Burnaby",60,2,36,14,39,0,151,513
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 124","Burnaby",67,9,54,3,31,1,165,582
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 125","Burnaby",52,4,48,8,54,0,166,485
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 126","Burnaby",59,5,30,10,24,0,128,435
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 127","Burnaby",37,1,28,3,36,0,105,456
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 128","Burnaby",67,4,39,5,35,1,151,535
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 129","Burnaby",63,4,39,3,45,1,155,429
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 130","Burnaby",46,2,54,4,32,0,138,436
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 131","Burnaby",83,1,33,1,49,0,167,433
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 132","Burnaby",49,2,29,2,33,0,115,406
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 133","Burnaby",49,5,37,5,18,1,115,397
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 134","Burnaby",39,5,32,3,54,1,134,463
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 135","Burnaby",35,2,39,6,36,1,119,445
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 136","Burnaby",Merged with No./Fusionné avec le n°137A,,,,,,,12
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 137A","Burnaby",36,4,52,3,27,2,124,301
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 137B","Burnaby",62,9,39,5,35,1,151,357
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 137C","Burnaby",57,2,50,6,35,0,150,365
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 138A","Burnaby",67,8,93,3,34,1,206,368
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 138B","Burnaby",54,5,69,4,25,1,158,294
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 139","Burnaby",104,16,142,4,48,1,315,536
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 140","Burnaby",41,6,32,5,49,0,133,470
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 141","Burnaby",56,4,45,4,26,1,136,573
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 142","Burnaby",49,5,36,2,42,0,134,463
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 143","Burnaby",39,1,29,8,29,0,106,382
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 144","Burnaby",48,6,45,3,41,1,144,465
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 145","Burnaby",69,4,40,7,47,0,167,493
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 146","Burnaby",67,5,38,1,30,1,142,411
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 147","Burnaby",50,1,34,4,30,1,120,470
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 148","Burnaby",37,4,46,1,15,0,103,401
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 149","Burnaby",71,1,31,5,27,0,135,409
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 150","Burnaby",71,4,26,2,35,1,139,458
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 151","Burnaby",63,10,45,2,38,0,158,461
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 152","Burnaby",53,4,42,3,30,0,132,586
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 153","Burnaby",33,5,53,7,23,1,122,480
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 154","Burnaby",64,10,83,25,41,1,224,494
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 155","Burnaby",46,4,37,2,50,1,140,422
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 156","Burnaby",73,11,95,7,38,2,226,486
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 157","Burnaby",62,16,83,5,32,0,198,421
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 158","Burnaby",63,2,80,12,32,0,189,424
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 159","Burnaby",71,8,71,9,23,1,183,455
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 160","Burnaby",49,3,65,4,36,1,158,442
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 161","Burnaby",47,5,74,12,26,0,164,427
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 162","Burnaby",45,6,71,4,40,1,167,450
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 163","Burnaby",70,9,61,2,49,1,192,464
