Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Nicole Bellay,Geet Grewal,Tyler Niles,Lynn Perrin,Brad Vis,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 1","Gold Bridge",8,22,9,24,31,0,94,168
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 2","Seton Portage",22,4,5,33,5,0,69,204
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 3","Lillooet",12,12,10,56,45,4,139,413
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 4","Fountain Valley",9,27,14,78,49,2,179,537
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 5","Lillooet",12,19,17,38,63,2,151,396
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 6","Lillooet",13,23,7,31,22,0,96,348
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 7","Lillooet",Merged with No./Fusionné avec le n°9,,,,,,,228
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 8","Lillooet",5,23,6,31,42,0,107,439
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 9","Lillooet",7,21,15,51,44,0,138,273
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 10","Lillooet",19,25,8,44,26,0,122,363
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 11","Cache Creek",9,29,14,35,75,1,163,500
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 12","Cache Creek",6,18,8,21,50,0,103,316
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 13","Cache Creek",5,23,5,32,39,0,104,368
