Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Niklas Brake,Karen Cox,Ginette Destrempes,Peter Schiefke,Cameron Stiff,Thierry Vadnais-Lapierre,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 1","Pointe-Fortune",23,16,0,43,4,53,0,139,257
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 2","Pointe-Fortune",11,25,4,60,5,33,3,141,263
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 3","Hudson",22,22,0,99,17,15,2,177,482
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 4","Hudson",26,12,4,78,8,5,0,133,403
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 5","Hudson",25,30,3,84,10,10,2,164,417
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 6","Hudson",30,22,4,97,9,1,1,164,389
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 7","Hudson",28,30,4,109,3,10,1,185,460
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 8","Rigaud",5,16,4,36,0,42,5,108,320
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 9","Rigaud",8,17,4,47,5,26,0,107,370
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 10","Rigaud",20,18,1,47,7,44,3,140,399
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 11","Rigaud",10,15,8,47,2,42,6,130,345
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 12","Hudson",9,17,1,43,4,13,1,88,306
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 13","Rigaud",14,19,11,51,6,56,11,168,506
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 14","Rigaud",16,37,4,58,5,57,2,179,432
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 15","Rigaud",9,20,5,37,2,35,0,108,279
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 16","Rigaud",23,13,5,43,4,42,1,131,489
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 17","Rigaud",13,16,1,35,6,43,2,116,379
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 18","L'Île-Cadieux",7,15,4,48,4,17,3,98,286
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 19","Vaudreuil-sur-le-Lac",6,6,0,34,4,16,1,67,283
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 20","Vaudreuil-sur-le-Lac",19,16,7,76,4,59,0,181,419
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 21","Vaudreuil-sur-le-Lac",16,39,4,90,1,29,1,180,417
