Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Amir Alavi,Ryan Dyck,Phil Hewkin,David Jeffers,Catharine Kendall,Cory Grizz Longley,Bob Zimmer,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 1","Toad River",2,1,0,5,0,2,14,0,24,85
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 2","Fort Nelson",22,7,0,5,4,16,115,0,169,379
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 3","Fort Nelson",7,18,0,6,1,16,97,0,145,653
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 4","Fort Nelson",5,21,0,7,5,29,165,0,232,939
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 5","Fort Nelson",17,17,0,3,1,28,96,0,162,695
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 6","Fort Nelson",Merged with No./Fusionné avec le n°2,,,,,,,,,306
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 7","Fort Ware 1",14,1,3,2,5,26,7,0,58,232
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 8","Prophet River",5,0,0,1,3,2,12,4,27,60
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 9","Ingenika Point",9,2,2,2,8,10,17,0,50,149
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 10","Pink Mountain",1,3,0,7,0,1,24,0,36,57
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 11","Buick",2,43,0,4,1,6,61,1,118,264
