Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Nataël Bureau,Marjolaine Delisle,Alexandre Desmarais,Nadine Fougeron,Alain Rayes,Louis Richard,Diego Scalzo,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 1","Saint-Louis-de-Blandford",2,2,17,11,76,2,25,1,136,264
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 2","Saint-Louis-de-Blandford",6,4,24,4,112,12,43,3,208,358
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 3","Saint-Louis-de-Blandford",1,2,12,7,56,6,20,0,104,225
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 4","Maddington",6,0,20,5,76,5,38,2,152,384
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 5","Maddington",6,0,20,10,68,1,24,3,132,303
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 6","Daveluyville",10,0,23,6,52,2,23,0,116,355
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 7","Sainte-Anne-du-Sault",4,0,10,7,63,6,21,4,115,301
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 8","Sainte-Anne-du-Sault",4,2,21,12,83,1,29,4,156,358
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 9","Sainte-Anne-du-Sault",2,0,13,1,109,7,25,1,158,380
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 10","Defoy",0,0,9,4,60,2,13,0,88,235
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 11","Saint-Rosaire",7,0,18,9,133,2,19,1,189,333
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 12","Saint-Rosaire",9,2,20,15,140,3,31,6,226,356
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 13","Saint-Norbert-d'Arthabaska",11,0,19,6,129,9,32,2,208,354
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 14","Saint-Norbert-d'Arthabaska",6,0,15,1,95,4,30,3,154,272
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 15","Saint-Norbert-d'Arthabaska",9,1,8,2,128,0,17,2,167,333
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 16","Victoriaville",8,0,20,11,126,3,40,2,210,485
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 17","Victoriaville",12,1,21,11,141,6,55,4,251,581
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 18","Victoriaville",7,0,19,9,146,3,42,4,230,553
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 19","Victoriaville",8,1,24,5,132,4,57,1,232,589
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 20","Victoriaville",6,0,22,3,127,3,45,3,209,498
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 21","Chester-Est",17,2,8,4,101,6,47,2,187,311
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 22","Victoriaville",8,1,14,7,126,3,46,2,207,495
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 23","Victoriaville",8,1,15,5,126,2,32,4,193,474
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 24","Victoriaville",10,0,19,5,109,4,31,2,180,578
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 25A","Victoriaville",13,0,17,6,114,2,35,1,188,483
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 25B","Victoriaville",14,0,28,4,103,2,28,1,180,457
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 26","Victoriaville",9,0,22,7,123,2,36,6,205,506
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 27","Victoriaville",11,1,23,5,161,2,55,9,267,659
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 28","Victoriaville",5,0,19,4,78,2,61,5,174,387
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 29","Victoriaville",5,2,15,2,108,4,55,8,199,471
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 30","Victoriaville",3,1,21,5,73,1,45,2,151,413
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 31","Victoriaville",7,0,14,5,93,4,37,3,163,378
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 32","Victoriaville",8,0,19,2,85,0,35,2,151,423
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 33","Victoriaville",3,2,13,2,83,0,28,2,133,414
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 34","Victoriaville",10,2,32,8,98,1,19,8,178,436
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 35","Victoriaville",0,0,16,4,76,2,23,1,122,429
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 36","Victoriaville",4,0,30,7,95,2,28,3,169,423
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 37","Victoriaville",7,2,21,3,119,1,31,8,192,427
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 38A","Victoriaville",5,0,27,6,81,1,31,3,154,313
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 38B","Victoriaville",Merged with No./Fusionné avec le n°401,,,,,,,,,86
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 39","Victoriaville",7,3,14,3,75,0,20,5,127,438
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 40","Victoriaville",5,2,15,5,98,3,43,2,173,466
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 41","Victoriaville",8,1,26,4,69,1,48,1,158,389
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 42","Victoriaville",9,0,17,3,79,0,19,3,130,402
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 43","Victoriaville",3,1,12,2,55,4,13,2,92,343
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 44","Victoriaville",3,1,20,0,78,5,31,0,138,352
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 45","Victoriaville",6,1,6,5,39,1,16,1,75,341
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 46","Victoriaville",5,1,14,2,64,1,41,2,130,374
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 47","Victoriaville",10,0,16,2,49,3,24,1,105,359
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 48","Victoriaville",0,0,6,1,18,2,14,0,41,189
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 49","Victoriaville",1,2,7,1,21,1,4,0,37,181
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 50","Victoriaville",5,0,6,5,33,1,10,0,60,205
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 51","Victoriaville",1,2,3,2,9,0,8,0,25,240
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 52","Victoriaville",11,1,11,6,62,2,24,3,120,359
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 53","Victoriaville",4,1,13,5,73,0,23,2,121,436
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 54","Victoriaville",16,3,10,9,44,1,17,2,102,358
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 55","Victoriaville",12,2,15,1,55,1,20,2,108,350
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 56","Victoriaville",2,1,22,2,52,0,30,2,111,391
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 57A","Victoriaville",9,4,8,8,57,1,30,2,119,365
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 57B","Victoriaville",Merged with No./Fusionné avec le n°402,,,,,,,,,45
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 58","Victoriaville",4,0,23,6,45,3,14,2,97,327
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 59","Victoriaville",6,1,15,6,106,5,31,2,172,427
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 60","Victoriaville",4,0,17,5,41,0,18,2,87,342
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 61","Victoriaville",7,0,6,3,86,3,29,4,138,396
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 62","Victoriaville",2,0,14,4,71,1,32,2,126,335
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 63","Victoriaville",7,1,13,4,75,0,30,1,131,381
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 64","Victoriaville",10,0,16,2,71,0,41,2,142,361
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 65","Victoriaville",11,2,9,1,82,1,32,0,138,357
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 66","Victoriaville",17,0,35,9,110,5,37,6,219,520
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 67","Victoriaville",7,1,28,11,107,4,35,3,196,513
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 68","Victoriaville",6,0,15,4,73,2,21,6,127,340
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 69","Victoriaville",5,0,8,2,64,3,21,3,106,315
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 70","Victoriaville",22,1,29,8,123,2,46,7,238,593
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 71","Victoriaville",9,2,25,9,126,2,40,2,215,510
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 72","Victoriaville",2,2,32,1,78,3,37,5,160,535
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 73","Victoriaville",7,1,23,0,80,0,43,5,159,369
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 74","Victoriaville",8,3,10,6,50,1,45,4,127,305
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 75","Victoriaville",19,1,14,5,66,3,37,6,151,497
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 76","Victoriaville",10,1,23,8,85,4,32,4,167,422
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 77","Victoriaville",5,0,16,7,69,3,18,1,119,399
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 78","Victoriaville",10,2,17,2,43,3,26,6,109,429
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 79","Victoriaville",9,0,12,11,111,1,32,2,178,408
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 80","Victoriaville",5,1,18,1,43,1,17,1,87,410
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 81","Victoriaville",4,0,20,6,55,1,30,0,116,343
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 82","Victoriaville",4,0,19,3,60,0,31,2,119,330
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 83","Victoriaville",5,0,25,2,66,1,37,1,137,369
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 84","Victoriaville",7,2,20,3,60,3,32,2,129,397
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 85","Saint-Valère",1,2,14,10,116,5,33,5,186,342
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 86","Saint-Valère",13,0,19,7,126,1,22,4,192,331
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 87","Saint-Valère",4,0,14,7,111,3,33,4,176,314
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 88","Victoriaville",14,4,25,3,95,0,50,3,194,475
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 89","Victoriaville",9,4,11,12,75,0,22,0,133,405
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 90","Saint-Christophe-d'Arthabaska",9,1,15,8,74,6,31,0,144,355
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 91","Saint-Christophe-d'Arthabaska",9,3,25,3,66,0,33,3,142,366
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 92","Victoriaville",3,0,20,5,105,4,25,4,166,363
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 93","Victoriaville",8,0,25,4,113,0,31,6,187,381
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 94","Victoriaville",6,0,23,13,88,1,52,2,185,378
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 95","Victoriaville",4,1,21,4,158,4,47,7,246,455
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 96","Victoriaville",3,0,12,12,151,5,36,4,223,442
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 97","Victoriaville",4,0,23,8,110,1,43,2,191,445
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 98","Victoriaville",5,2,9,5,109,3,32,3,168,404
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 99","Victoriaville",6,0,19,9,124,1,29,0,188,449
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 100","Victoriaville",8,2,20,4,68,0,37,4,143,388
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 101","Victoriaville",9,0,16,6,73,2,42,11,159,383
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 102","Victoriaville",4,4,12,7,108,2,43,5,185,426
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 103","Victoriaville",9,1,13,8,114,1,47,2,195,453
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 104","Victoriaville",5,1,14,1,114,2,51,6,194,446
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 105","Victoriaville",6,1,14,15,105,1,28,1,171,432
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 106","Victoriaville",7,0,31,3,99,4,28,0,172,415
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 107","Victoriaville",6,2,15,4,141,1,31,0,200,431
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 108","Saint-Christophe-d'Arthabaska",9,1,5,6,72,2,23,3,121,359
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 109","Saint-Christophe-d'Arthabaska",8,1,13,4,117,4,35,3,185,429
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 110","Saint-Christophe-d'Arthabaska",11,4,9,4,116,1,34,2,181,461
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 111","Saint-Christophe-d'Arthabaska",11,1,12,3,90,2,27,3,149,372
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 112","Saint-Christophe-d'Arthabaska",2,1,7,4,67,2,28,4,115,311
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 113","Chesterville",8,5,18,7,133,5,42,2,220,360
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 114","Chesterville",6,2,17,5,66,1,44,3,144,309
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 115","Saint-Samuel",9,4,16,17,109,3,38,2,198,341
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 116","Saint-Samuel",5,0,14,8,96,1,41,2,167,289
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 117","Saint-Albert",9,0,16,7,117,4,38,8,199,425
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 118","Saint-Albert",3,1,15,12,83,5,25,2,146,318
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 119","Saint-Albert",9,2,27,11,84,5,29,4,171,382
