Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ghada Chaabi,Manon Chevalier,Steven Duarte,Luc Joli-Coeur,Mélanie Joly,Anna Simonyan,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 1","Montréal",11,2,6,2,54,18,3,96,304
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 2","Montréal",33,6,12,4,99,33,1,188,488
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 3","Montréal",35,4,9,8,85,77,0,218,502
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 4","Montréal",12,5,3,5,78,14,3,120,316
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 5","Montréal",42,1,2,12,87,53,3,200,450
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 6","Montréal",41,1,19,8,84,51,0,204,432
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 7","Montréal",20,4,13,8,65,58,5,173,401
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 8","Montréal",17,11,6,5,54,39,3,135,331
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 9","Montréal",18,5,13,2,62,43,3,146,304
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 10","Montréal",18,7,10,9,139,42,3,228,518
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 11","Montréal",25,4,7,5,106,40,2,189,426
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 12","Montréal",28,3,8,10,101,48,4,202,480
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 13","Montréal",27,2,8,4,72,25,2,140,338
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 14","Montréal",25,3,4,7,70,50,4,163,363
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 15","Montréal",28,2,20,15,99,72,8,244,427
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 16","Montréal",35,3,7,3,72,37,1,158,369
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 17","Montréal",31,5,10,12,98,65,3,224,389
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 18","Montréal",21,2,10,5,87,42,3,170,346
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 19","Montréal",32,8,10,5,74,60,2,191,378
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 20","Montréal",37,3,7,6,69,170,3,295,419
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 21","Montréal",28,2,16,10,108,83,5,252,385
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 22","Montréal",26,5,6,6,87,64,5,199,381
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 23","Montréal",1,1,3,0,41,37,0,83,312
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 24A","Montréal",7,1,6,3,144,9,7,177,382
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 24B","Montréal",0,1,8,1,72,32,3,117,166
