Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Matthieu Couture,Fayçal El-Khoury,Guillaume Jolivet,Spyridonas Pettas,Ahmed Taleb,Rowan Woodmass,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24040,"Laval--Les Îles/Laval--Les Îles"," 168","Laval",11,76,28,32,1,12,4,164,365
24040,"Laval--Les Îles/Laval--Les Îles"," 169","Laval",14,101,27,49,5,33,2,231,523
24040,"Laval--Les Îles/Laval--Les Îles"," 170","Laval",8,66,26,40,1,10,3,154,416
24040,"Laval--Les Îles/Laval--Les Îles"," 171","Laval",4,109,28,53,0,12,3,209,490
24040,"Laval--Les Îles/Laval--Les Îles"," 172","Laval",3,57,36,20,6,19,5,146,360
24040,"Laval--Les Îles/Laval--Les Îles"," 173","Laval",6,73,47,28,4,24,4,186,473
24040,"Laval--Les Îles/Laval--Les Îles"," 174","Laval",6,116,27,52,4,27,5,237,546
24040,"Laval--Les Îles/Laval--Les Îles"," 175","Laval",4,68,45,25,4,20,4,170,428
24040,"Laval--Les Îles/Laval--Les Îles"," 176","Laval",2,84,56,32,6,19,1,200,551
24040,"Laval--Les Îles/Laval--Les Îles"," 177","Laval",3,97,36,32,6,11,3,188,405
24040,"Laval--Les Îles/Laval--Les Îles"," 178","Laval",3,69,27,32,6,13,2,152,439
24040,"Laval--Les Îles/Laval--Les Îles"," 179","Laval",4,97,34,59,2,13,3,212,452
24040,"Laval--Les Îles/Laval--Les Îles"," 180","Laval",2,54,60,25,10,10,0,161,407
24040,"Laval--Les Îles/Laval--Les Îles"," 181","Laval",3,108,97,34,5,28,0,275,487
24040,"Laval--Les Îles/Laval--Les Îles"," 400","Laval",Results combined with no. 39/Résultats combinés au n° 39,,,,,,,,364
24040,"Laval--Les Îles/Laval--Les Îles"," 401","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°44,,,,,,,,61
24040,"Laval--Les Îles/Laval--Les Îles"," 402","Laval",Results combined with no. 97/Résultats combinés au n° 97,,,,,,,,297
24040,"Laval--Les Îles/Laval--Les Îles"," 403","Laval",Results combined with no. 97/Résultats combinés au n° 97,,,,,,,,197
24040,"Laval--Les Îles/Laval--Les Îles"," 404","Laval",Results combined with no. 97/Résultats combinés au n° 97,,,,,,,,228
24040,"Laval--Les Îles/Laval--Les Îles"," 405","Laval",Results combined with no. 97/Résultats combinés au n° 97,,,,,,,,180
24040,"Laval--Les Îles/Laval--Les Îles"," 406","Laval",Results combined with no. 121B/Résultats combinés au n° 121B,,,,,,,,296
24040,"Laval--Les Îles/Laval--Les Îles"," 407","Laval",5,35,12,18,3,7,3,83,429
24040,"Laval--Les Îles/Laval--Les Îles"," 408","Laval",Results combined with no. 134/Résultats combinés au n° 134,,,,,,,,94
24040,"Laval--Les Îles/Laval--Les Îles"," 409","Mobile poll/Bureau itinérant",Results combined with no. 134/Résultats combinés au n° 134,,,,,,,,102
24040,"Laval--Les Îles/Laval--Les Îles"," 500","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°35,,,,,,,,46
24040,"Laval--Les Îles/Laval--Les Îles"," 501","Mobile poll/Bureau itinérant",1,5,0,2,0,0,1,9,11
24040,"Laval--Les Îles/Laval--Les Îles"," 502","Mobile poll/Bureau itinérant",0,13,7,0,1,0,1,22,57
24040,"Laval--Les Îles/Laval--Les Îles"," 503","Mobile poll/Bureau itinérant",2,48,2,12,0,0,1,65,80
24040,"Laval--Les Îles/Laval--Les Îles"," 504","Laval",Merged with No./Fusionné avec le n°98,,,,,,,,6
24040,"Laval--Les Îles/Laval--Les Îles"," 505","Mobile poll/Bureau itinérant",1,17,11,9,0,0,4,42,49
24040,"Laval--Les Îles/Laval--Les Îles"," 506","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°126,,,,,,,,32
24040,"Laval--Les Îles/Laval--Les Îles"," 507","Mobile poll/Bureau itinérant",2,4,3,1,0,0,2,12,32
24040,"Laval--Les Îles/Laval--Les Îles"," 508","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°21,,,,,,,,102
24040,"Laval--Les Îles/Laval--Les Îles"," 600","Laval",41,394,270,132,18,48,25,928,
24040,"Laval--Les Îles/Laval--Les Îles"," 601","Laval",39,401,344,115,17,74,19,1009,
24040,"Laval--Les Îles/Laval--Les Îles"," 602","Laval",66,397,387,121,8,52,19,1050,
24040,"Laval--Les Îles/Laval--Les Îles"," 603","Laval",48,418,355,170,23,80,16,1110,
24040,"Laval--Les Îles/Laval--Les Îles"," 604","Laval",53,488,322,165,2,51,12,1093,
24040,"Laval--Les Îles/Laval--Les Îles"," 605","Laval",29,475,150,199,9,84,5,951,
24040,"Laval--Les Îles/Laval--Les Îles"," 606","Laval",55,340,70,131,6,41,8,651,
24040,"Laval--Les Îles/Laval--Les Îles"," 607","Laval",35,365,69,142,4,44,10,669,
24040,"Laval--Les Îles/Laval--Les Îles"," 608","Laval",41,430,22,184,10,61,14,762,
24040,"Laval--Les Îles/Laval--Les Îles"," 609","Laval",42,235,18,122,2,33,9,461,
24040,"Laval--Les Îles/Laval--Les Îles"," 610","Laval",40,516,242,202,6,38,9,1053,
24040,"Laval--Les Îles/Laval--Les Îles"," 611","Laval",41,516,218,196,20,29,18,1038,
24040,"Laval--Les Îles/Laval--Les Îles"," 612","Laval",42,429,169,161,12,41,7,861,
24040,"Laval--Les Îles/Laval--Les Îles"," 613","Laval",54,453,273,141,14,66,14,1015,
24040,"Laval--Les Îles/Laval--Les Îles"," 614","Laval",59,469,316,215,12,73,9,1153,
24040,"Laval--Les Îles/Laval--Les Îles"," 615","Laval",33,585,385,193,21,97,10,1324,
24040,"Laval--Les Îles/Laval--Les Îles"," 616","Laval",42,316,12,120,9,25,8,532,
24040,"Laval--Les Îles/Laval--Les Îles",,Group 1/Groupe 1, 14,153,53,35,6,24,17,302,93
24040,"Laval--Les Îles/Laval--Les Îles",,Group 2/Groupe 2, 59,1271,370,269,15,108,97,2189,
